0	Index      	 *	Score 	Summary	Detail	
117	31536 23311	   	194.71	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	12TLV|2BPWR|3RCR|4ASPD|5FEWX|6RCVC|7DMG|8BEXP|9SELL|aBASARM
118	62146 23322	   	194.60	ACR|2ASPD|2BEXP|1DMG|1CDMG|1AART	1DUR|2aBEXP|3CGEN|4AART|5RCR|6DMG|7aASPD|8CDMG|9aLWND|aBPWR
119	32543 33612	   	194.59	ACR|2VULN|2ASPD|1DMG|1BEXP	1TLV|2RCVC|3RCR|4aVULN|5DMG|6LIT|7aASPD|8BEXP|9aFEWX|aBPWR
120	32531 41431	   	194.39	ACR|2ASPD|2BEXP|1DMG|1AART	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6DMG|7CGEN|8AART|9aBEXP
121	32531 42232	   	194.39	ACR|2ASPD|2BEXP|1DMG|1AART	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6DMG|7FEWX|8AART|9aBEXP
122	32531 53232	   	194.39	ACR|2ASPD|2BEXP|1DMG|1AART	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6FEWX|7DMG|8AART|9aBEXP
123	32534 63232	   	194.39	ACR|2ASPD|2BEXP|1DMG|1AART	1TLV|2RCVC|3RCR|46ASPD|5DUR|7DMG|8AART|9aBEXP
124	32535 43133	   	194.39	ACR|2ASPD|2VULN|1DMG|1BEXP	16aTLV|2RCVC|3RCR|4aASPD|5BEXP|7DMG|8RMIN|9aVULN|aBPWR
125	32536 63232	   	194.39	ACR|2ASPD|2BEXP|1DMG|1AART	1TLV|2RCVC|3RCR|46ASPD|5FEWX|7DMG|8AART|9aBEXP
126	32531 43431	   	194.29	ACR|2ASPD|2BEXP|1DMG|1AART	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6DMG|7ERES|8AART|9aBEXP
127	32535 61211	   	194.29	ACR|2ASPD|2BEXP|1DMG|1AART	1TLV|2RCVC|3RCR|46ASPD|5aBEXP|7NUKE|8AART|9DMG
128	32535 63233	   	194.29	ACR|2ASPD|2BEXP|1DMG|1AART	1TLV|2RCVC|3RCR|46ASPD|59BEXP|7DMG|8AART|aMDPS
129	32531 32235	   	194.18	ACR|1BASARM|2ASPD|1AART	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6AAC|7FEWX|8AART|9CGEN|aBASARM
130	32531 51235	   	194.18	ACR|1BASARM|2ASPD|1AART	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6FEWX|7NUKE|8AART|9CGEN|aBASARM
131	31116 52311	   	194.09	ACR|1BASARM|2DMG|1VULN|1BEXP	12TLV|2BPWR|3RPLT|49DMG|5RCR|6VULN|7BEXP|8BASARM|aLWND
132	31116 52313	   	194.09	ACR|1BASARM|2DMG|1VULN|1BEXP	12TLV|2BPWR|3RPLT|49DMG|5RCR|6VULN|7BEXP|8BASARM|aDUR
133	31116 52314	   	194.09	ACR|1BASARM|2DMG|1VULN|1BEXP	12TLV|2BPWR|3RPLT|49DMG|5RCR|6VULN|7BEXP|8BASARM|aFEWX
134	31116 52315	   	194.09	ACR|1BASARM|2DMG|1VULN|1BEXP	12TLV|2BPWR|3RPLT|49DMG|5RCR|6VULN|7BEXP|8BASARM|aLHND
135	32531 32255	   	194.08	ACR|1BASARM|2ASPD|1AART	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6AAC|7FEWX|8AART|9ERES|aBASARM
