0	Index      	 *	Score 	Summary	Detail	
66	25134 21621	   	190.10	ACR|3VULN|2ASPD|1AART|3DUR	127DUR|27BPWR|3MBVNT|4RCR|579VULN|67ASPD|8BEXP|aAART
67	25134 21721	   	190.10	ACR|3VULN|2ASPD|1AART|3DUR	127DUR|27BPWR|3MBVNT|4RCR|579VULN|67ASPD|8FEWX|aAART
68	25136 21521	   	190.10	ACR|3VULN|2ASPD|1AART|3DUR	127DUR|27BPWR|3MBVNT|4RCR|57ASPD|679VULN|8LWND|aAART
69	25136 21621	   	190.10	ACR|3VULN|2ASPD|1AART|3DUR	127DUR|27BPWR|3MBVNT|4RCR|57ASPD|679VULN|8BEXP|aAART
70	25136 21721	   	190.10	ACR|3VULN|2ASPD|1AART|3DUR	127DUR|27BPWR|3MBVNT|4RCR|57ASPD|679VULN|8FEWX|aAART
71	16512 62111	 * 	189.78	DCR|2VULN|2AART|1DMG|1DUR|1SELL	1SELL|2DUR|34AART|5RCVC|69VULN|7RCR|8SNIFST|aDMG
72	26232 67442	 * 	189.65	DCR|2ASPD|1VULN|1AART|1DMG|1AAC|1DUR	1DUR|2LWND|3MBVNT|4AAC|5AART|6RCR|7DMG|89ASPD|aVULN
73	11252 26261	 * 	189.59	DCR|2VULN|2DMG|2ASPD|1SELL	1SELL|28DMG|3ERES|4RCVC|58ASPD|6RMIN|78VULN|8BPWR|9RCR|aFEWX
74	11252 26263	 * 	189.59	DCR|2VULN|2DMG|2ASPD|1SELL	1SELL|28DMG|3ERES|4RCVC|58ASPD|6RMIN|78VULN|8BPWR|9RCR|aLWND
75	11542 33262	 * 	189.59	DCR|2VULN|2DMG|2ASPD|1NUKE|1SELL	1SELL|28DMG|3aVULN|4NUKE|58CGEN|6RCVC|78ASPD|8BPWR|9RCR
76	62313 31661	 * 	189.56	ACR|3VULN|2ASPD|2CDMG|1DMG	19CDMG|2FEWX|349VULN|5RCR|6BEXP|7LWND|89ASPD|9BPWR|aDMG
77	13121 21616	 * 	189.53	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR|1SELL	1SELL|2LIT|3AART|4ASPD|5CDMG|6MBVNT|7RCR|8VULN|9DMG|aDUR
78	26232 67133	 * 	189.20	DCR|2DMG|1VULN|1AART|1CDMG|1AAC|1DUR	1DUR|2LWND|3MBVNT|4AAC|5AART|6RCR|79DMG|8VULN|aCDMG
79	61112 26211	   	188.96	DCR|2VULN|3CDMG|1ASPD|1DMG	138CDMG|238aCGEN|38BPWR|4DMG|5ASPD|6RMIN|78VULN|9RCR
80	61112 26215	   	188.96	DCR|2VULN|3CDMG|1ASPD|1DMG	138CDMG|238CGEN|38BPWR|4DMG|5ASPD|6RMIN|78VULN|9RCR|aAME
81	61112 26212	   	188.86	DCR|2VULN|3CDMG|1ASPD|1DMG	138CDMG|238CGEN|38BPWR|4DMG|5ASPD|6RMIN|78VULN|9RCR|aERES
82	61341 32214	   	188.86	DCR|2VULN|3CDMG|1ASPD|1DMG	168CDMG|2CGEN|38BEXP|4DMG|5AELBLL|78VULN|8BPWR|9RCR|aASPD
83	25134 21318	 * 	188.52	ACR|2VULN|2ASPD|1AART|3DUR|1CDMG	127DUR|27BPWR|3MBVNT|4RCR|57VULN|67ASPD|8CDMG|9LHND|aAART
84	25134 21358	   	188.52	ACR|2VULN|2ASPD|1AART|3DUR|1CDMG	127DUR|27BPWR|3MBVNT|4RCR|57VULN|67ASPD|8CDMG|9BEXP|aAART
85	25136 21318	   	188.52	ACR|2VULN|2ASPD|1AART|3DUR|1CDMG	127DUR|27BPWR|3MBVNT|4RCR|57ASPD|67VULN|8CDMG|9LHND|aAART
86	25134 21338	   	188.42	ACR|2VULN|2ASPD|1AART|3DUR|1CDMG	127DUR|27BPWR|3MBVNT|4RCR|57VULN|67ASPD|8CDMG|9DUST|aAART
87	25136 21338	   	188.42	ACR|2VULN|2ASPD|1AART|3DUR|1CDMG	127DUR|27BPWR|3MBVNT|4RCR|57ASPD|67VULN|8CDMG|9DUST|aAART
88	25184 52112	 * 	188.23	DCR|2VULN|1MDPS|2ASPD|3DUR|2ZMB	124DUR|2aBPWR|3MBVNT|5MDPS|6aASPD|7RCR|8aVULN|9aZMB
89	26252 61133	 * 	187.79	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1DUR|2LWND|3MBVNT|4DMG|59AART|6RCR|7MLV|8VULN|aCDMG
90	26252 62434	   	187.79	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1DUR|2LWND|3MBVNT|4DMG|59AART|6RCR|7FEWX|8VULN|aCDMG
91	26212 67133	   	187.79	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1DUR|2LWND|3MBVNT|4MLV|59AART|6RCR|7DMG|8VULN|aCDMG
92	11252 26252	 * 	187.59	DCR|2VULN|2DMG|2ASPD|1SELL	1SELL|28DMG|3ERES|4RCVC|58ASPD|6RMIN|78VULN|8BPWR|9SNIFST|aRCR
93	11542 24122	 * 	187.39	DCR|3VULN|2DMG|1NUKE|1CDMG|1SELL	1SELL|29DMG|379VULN|4NUKE|5CGEN|6CDMG|89AME|9BPWR|aRCR
94	11541 24122	 * 	187.29	DCR|3VULN|2DMG|1NUKE|1CDMG|1SELL	1SELL|29DMG|379VULN|4NUKE|5TLV|6CDMG|89AME|9BPWR|aRCR
95	26224 81152	   	187.16	DCR|2VULN|2DMG|1ASPD|2DUR	17DUR|24LWND|3MBVNT|57VULN|67DMG|7BPWR|8CGEN|9ASPD|aRCR
96	13131 21811	   	187.06	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1SELL	1SELL|2LIT|3AART|49DMG|5CDMG|6MBVNT|7RCR|8DUR|aVULN
97	13131 21616	   	187.06	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1SELL	1SELL|2LIT|3AART|49DMG|5CDMG|6MBVNT|7RCR|8VULN|aDUR
98	11366 31211	 * 	186.79	DCR|3DMG|1VULN|1ASPD|1CDMG|1SELL	1SELL|247DMG|3ASPD|5FEWX|6CDMG|8VULN|9RCR|aCGEN
99	11366 31513	 * 	186.79	DCR|3DMG|1VULN|1ASPD|1CDMG|1SELL	1SELL|247DMG|3ASPD|5FEWX|6CDMG|8BEXP|9RCR|aVULN
100	62511 31314	   	186.73	DCR|2AART|1VULN|1ASPD|1CDMG|1AAC|1DUR|1SPLREG	1CDMG|2FEWX|34AART|5ASPD|6DUR|7AAC|8SPLREG|9VULN|aRCR
101	11366 31212	 * 	186.69	DCR|3DMG|1VULN|1ASPD|1CDMG|1SELL	1SELL|247DMG|3ASPD|5FEWX|6CDMG|8VULN|9RCR|aTLV
102	11513 12364	 * 	186.69	DCR|3VULN|2DMG|2DUR|1SELL	1SELL|2aDMG|346VULN|56DUR|6BPWR|7AME|8BEXP|9RCR
103	21136 21734	 * 	186.58	ACR|3VULN|2ASPD|1DMG|3DUR	179DUR|2DMSP|3MBVNT|4RCR|57ASPD|679VULN|79BPWR|89FEWX|aDMG
104	23136 21734	   	186.58	ACR|3VULN|2ASPD|1DMG|3DUR	179DUR|2RCVC|3MBVNT|4RCR|57ASPD|679VULN|79BPWR|89FEWX|aDMG
105	64312 35213	   	186.53	DCR|3VULN|3CDMG|1DMG|1AAC	178CDMG|2LWND|348VULN|58CGEN|6AAC|8BPWR|9RCR|aDMG
106	66312 26213	 * 	186.53	DCR|3VULN|3CDMG|1NUKE|1DMG	168CDMG|2LHND|348VULN|58CGEN|7NUKE|8BPWR|9RCR|aDMG
107	25134 21524	   	186.38	ACR|3VULN|2ASPD|1DMG|3DUR	127DUR|27BPWR|3MBVNT|4RCR|579VULN|67ASPD|8LWND|aDMG
108	25134 21624	   	186.38	ACR|3VULN|2ASPD|1DMG|3DUR	127DUR|27BPWR|3MBVNT|4RCR|579VULN|67ASPD|8BEXP|aDMG
109	25134 21724	   	186.38	ACR|3VULN|2ASPD|1DMG|3DUR	127DUR|27BPWR|3MBVNT|4RCR|579VULN|67ASPD|8FEWX|aDMG
110	25136 21524	   	186.38	ACR|3VULN|2ASPD|1DMG|3DUR	127DUR|27BPWR|3MBVNT|4RCR|57ASPD|679VULN|8LWND|aDMG
