0	Index      	 *	Score 	Summary	Detail	
133	13156 51332	 * 	156.88	ACR|2VULN|1AART|1DMG|2DUR	1RMIN|2RCVC|3aLWND|4AART|5RCR|6DMG|7aDUR|8RPLT|9aVULN|aBPWR
134	31363 31241	   	156.79	DCR|2VULN|1AART|1CDMG|1ASPD|1DUR	1LEGI|2BELT|3AART|4ASPD|5aVULN|6RCR|7CDMG|8RPLT|9DUR
135	31363 36225	   	156.62	DCR|1AART|1VULN|1DMG|1ZMB|1ASPD|1DUR	1LEGI|2BELT|3AART|4ASPD|5VULN|6RCR|7DMG|8ZMB|9MLV|aDUR
136	36132 53431	   	156.60	DCR|1AART|1DMG|2CDMG|1VULN|1ZMB	1LEGI|2LWND|3MBVNT|46CDMG|5VULN|7RCR|8ZMB|9AART|aDMG
137	31363 51252	 * 	156.50	DCR|2AART|2VULN|1CDMG|1ASPD	1LEGI|2BELT|37AART|4ASPD|59VULN|6RCVC|8RCR|aCDMG
138	31363 31543	 * 	156.46	DCR|2VULN|1AART|2ASPD|1CDMG	1LEGI|2BELT|3AART|48ASPD|59VULN|6RCR|7CDMG|aBEXP
139	21324 43161	   	156.45	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ERES|2ZMB|3AIRHEL|4VULN|5RCR|6LIT|7AART|8CDMG|9DMG|aASPD
140	31313 36212	   	156.39	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|7DMG|8ZMB|9CDMG|aCGEN
141	31313 36213	   	156.39	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|7DMG|8ZMB|9CDMG|aLWND
142	31313 36214	   	156.39	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|7DMG|8ZMB|9CDMG|aRMIN
143	31313 36216	   	156.39	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|7DMG|8ZMB|9CDMG|aRPLT
144	31313 36242	   	156.39	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|7DMG|8ZMB|9FEWX|aCDMG
145	31313 31116	   	156.39	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|7CDMG|8LHND|9ZMB|aDMG
146	31313 31416	   	156.39	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|7CDMG|8FEWX|9ZMB|aDMG
147	31313 33416	   	156.39	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|7FEWX|8CDMG|9ZMB|aDMG
148	31363 31542	   	156.36	DCR|2VULN|1AART|2ASPD|1CDMG	1LEGI|2BELT|3AART|48ASPD|59VULN|6RCR|7CDMG|aERES
149	31312 35232	   	156.29	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1LEGI|2BELT|3AART|4MLV|5DUST|6RCR|7DMG|8ZMB|9VULN|aCDMG
150	31313 32211	   	156.29	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|7NUKE|8ZMB|9CDMG|aDMG
151	31313 34211	   	156.29	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|7TLV|8ZMB|9CDMG|aDMG
152	31313 36215	   	156.29	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|7DMG|8ZMB|9CDMG|aERES
153	31363 36224	   	156.29	DCR|1AART|1VULN|1DMG|2ASPD|1ZMB	1LEGI|2BELT|3AART|4aASPD|5VULN|6RCR|7DMG|8ZMB|9MLV
154	31312 34416	   	156.29	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1LEGI|2BELT|3AART|4MLV|5DUST|6RCR|7VULN|8CDMG|9ZMB|aDMG
155	31313 34531	   	156.29	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|7TLV|8CDMG|9ZMB|aDMG
