0	Index      	 *	Score 	Summary	Detail	
72	21436 13251	   	192.38	ACR|1BASARM|2DMG|1CDMG	1MLV|25DMG|3LIT|4RCR|6CDMG|7LEGI|8VULN|9BASARM|aAME
73	21436 13253	   	192.38	ACR|1BASARM|2DMG|1CDMG	1MLV|25DMG|3LIT|4RCR|6CDMG|7LEGI|8VULN|9BASARM|aERES
74	36422 23413	   	192.35	ACR|3ASPD|1BASARM	1SNIHEL|2MBVNT|3RCR|4BELT|567ASPD|8DLOT|9BASARM|aMLV
75	36422 23414	   	192.35	ACR|3ASPD|1BASARM	1SNIHEL|2MBVNT|3RCR|4BELT|567ASPD|8DLOT|9BASARM|aLWND
76	36422 23415	   	192.35	ACR|3ASPD|1BASARM	1SNIHEL|2MBVNT|3RCR|4BELT|567ASPD|8DLOT|9BASARM|aDMSP
77	36422 23417	   	192.35	ACR|3ASPD|1BASARM	1SNIHEL|2MBVNT|3RCR|4BELT|567ASPD|8DLOT|9BASARM|aLHND
78	36441 28531	   	192.35	ACR|1BASARM|2AART|1BEXP|1CDMG	1SNIHEL|2MBVNT|3RCR|46AART|5aDUST|7BASARM|8BEXP|9CDMG
79	36441 28532	   	192.35	ACR|1BASARM|2AART|1BEXP|1CDMG	1SNIHEL|2MBVNT|3RCR|46AART|5DUST|7BASARM|8BEXP|9CDMG|aERES
80	36441 28534	   	192.35	ACR|1BASARM|2AART|1BEXP|1CDMG	1SNIHEL|2MBVNT|3RCR|46AART|5DUST|7BASARM|8BEXP|9CDMG|aMSLREG
81	21436 21252	   	192.34	ACR|1BASARM|2DMG|1BEXP|1SELL	1MLV|25DMG|3LIT|4RCR|6SELL|7BEXP|8VULN|9BASARM|aLHND
82	36422 23411	   	192.25	ACR|3ASPD|1BASARM	1SNIHEL|2MBVNT|3RCR|4BELT|567ASPD|8DLOT|9BASARM|aTLV
83	36422 23412	   	192.25	ACR|3ASPD|1BASARM	1SNIHEL|2MBVNT|3RCR|4BELT|567ASPD|8DLOT|9BASARM|aERES
84	21436 21251	   	192.24	ACR|1BASARM|2DMG|1BEXP|1SELL	1MLV|25DMG|3LIT|4RCR|6SELL|7BEXP|8VULN|9BASARM|aAME
85	21436 21253	   	192.24	ACR|1BASARM|2DMG|1BEXP|1SELL	1MLV|25DMG|3LIT|4RCR|6SELL|7BEXP|8VULN|9BASARM|aERES
86	36441 28732	   	192.15	ACR|1BASARM|2AART|1ASPD	1SNIHEL|2MBVNT|3RCR|46AART|5DUST|7BASARM|8RPLT|9ASPD|aVULN
87	13262 23323	 * 	192.07	ACR|2DMG|2BEXP|1BASICY|2CDMG	1LIT|29BEXP|36DMG|4RCR|5DUR|7BASICY|8aCDMG
88	13262 23262	 * 	191.99	ACR|3BEXP|2DMG|2BASICY	1aLIT|29aBEXP|36DMG|4RCR|5DUR|7aBASICY|8RMIN|aBPWR
89	22423 13463	 * 	191.57	ACR|3ASPD|2VULN|1BEXP|1CDMG	19MLV|2DMSP|3RCR|469ASPD|5CDMG|7DUST|89VULN|9BPWR|aBEXP
90	13262 23344	   	190.98	ACR|2DMG|1ASPD|1BASICY|1BEXP|1CDMG	1LIT|2BEXP|36DMG|4RCR|5DUR|7BASICY|8CDMG|9MLV|aASPD
91	41134 42113	 * 	190.95	ACR|2DMG|2BASICY|1ASPD|1BEXP	124FEWX|3RCR|59DMG|6ASPD|79BASICY|89LHND|9BPWR|aBEXP
92	13262 23334	   	190.88	ACR|2DMG|1ASPD|1BASICY|1BEXP|1CDMG	1LIT|2BEXP|36DMG|4RCR|5DUR|7BASICY|8CDMG|9AME|aASPD
93	13262 23361	   	190.88	ACR|2DMG|1BASICY|2CDMG|1BEXP|1AART	1LIT|2BEXP|36DMG|4RCR|5DUR|7BASICY|8aCDMG|9AART
94	64112 31522	   	190.85	ACR|2DMG|2BEXP|2CDMG|1AART	129DUR|3RCR|47DMG|59CDMG|69BEXP|8RPLT|9BPWR|aAART
95	22423 12245	   	190.54	ACR|1BASARM|2ASPD|1CDMG	1MLV|2DMSP|3RCR|46ASPD|5CDMG|7LHND|8ERES|9CGEN|aBASARM
96	22423 11416	   	190.44	ACR|1BASARM|2ASPD|1CDMG	1MLV|2DMSP|3RCR|46ASPD|5CDMG|7CGEN|8MBVNT|9ERES|aBASARM
97	22423 12225	   	190.44	ACR|1BASARM|2ASPD|1CDMG	1MLV|2DMSP|3RCR|46ASPD|5CDMG|7LHND|8ERES|9AME|aBASARM
98	22423 13245	   	190.44	ACR|1BASARM|2ASPD|1CDMG	1MLV|2DMSP|3RCR|46ASPD|5CDMG|7DUST|8ERES|9CGEN|aBASARM
99	22423 13225	   	190.34	ACR|1BASARM|2ASPD|1CDMG	1MLV|2DMSP|3RCR|46ASPD|5CDMG|7DUST|8ERES|9AME|aBASARM
100	36427 32283	   	190.34	ACR|1BASARM|2ASPD|1BEXP	1SNIHEL|2MBVNT|3RCR|4BELT|5MDPS|6BEXP|7CGEN|8BASARM|9aASPD
101	36441 28613	 * 	190.24	ACR|1BASARM|3AART|1CDMG	1SNIHEL|2MBVNT|3RCR|468AART|5DUST|7BASARM|9CGEN|aCDMG
102	36441 28633	   	190.14	ACR|1BASARM|3AART|1CDMG	1SNIHEL|2MBVNT|3RCR|468AART|5DUST|7BASARM|9AME|aCDMG
103	64112 31353	 * 	189.47	ACR|2DMG|2VULN|1AART|1CDMG|1BEXP	12DUR|3RCR|47DMG|5CDMG|6BEXP|8aVULN|9AART
104	36444 64212	   	189.37	ACR|2ASPD|2VULN|1BEXP|1AART|1CDMG	18SNIHEL|2MBVNT|3RCR|4AART|5LWND|68VULN|78ASPD|8BPWR|9CDMG|aBEXP
105	36441 64215	   	189.27	ACR|2ASPD|2VULN|1AART|1BEXP|1CDMG	18SNIHEL|2MBVNT|3RCR|4AART|5DUST|68VULN|78ASPD|8BPWR|9CDMG|aBEXP
106	12243 24221	   	189.06	ACR|1BASARM|2AART|1DMG|1CDMG	1LIT|2LWND|3MBVNT|4LHND|5RCR|6DMG|79AART|8BASARM|aCDMG
107	36445 14347	   	188.91	ACR|1BASARM|2CDMG|2AAC|1AART	1SNIHEL|2MBVNT|3RCR|4AART|5aAAC|67CDMG|8BASARM|9RPLT
108	36445 14352	   	188.91	ACR|1BASARM|2CDMG|2AAC|1AART	1SNIHEL|2MBVNT|3RCR|4AART|59AAC|67CDMG|8BASARM|aRPLT
109	36445 14353	   	188.91	ACR|1BASARM|2CDMG|2AAC|1AART	1SNIHEL|2MBVNT|3RCR|4AART|59AAC|67CDMG|8BASARM|aRCVC
110	36445 14354	   	188.81	ACR|1BASARM|2CDMG|2AAC|1AART	1SNIHEL|2MBVNT|3RCR|4AART|59AAC|67CDMG|8BASARM|aAME
111	41142 26333	 * 	188.57	ACR|3BEXP|2ASPD|1DMG	129FEWX|3RCR|49aBEXP|5DMG|68LWND|79ASPD|9BPWR
