0	Index      	 *	Score 	Summary	Detail	
117	66333 12521	   	195.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2ERES|38VULN|4DUR|5AART|6RCR|7DMG|9DUST|aASPD
118	22313 62345	   	195.76	DCR|2VULN|2DMG|1ASPD|1CDMG	14VULN|2LHND|3ASPD|5LWND|6aDMG|7RCR|8BEXP|9CDMG
119	21445 22213	 * 	195.72	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	13VULN|23LWND|3BPWR|4aCDMG|5AART|6DUR|7DMG|8RCR|9BEXP
120	21433 35213	   	195.54	DCR|3VULN|2DMG|1ASPD	137VULN|235LWND|37BPWR|47DMG|6RPLT|8RCR|9ASPD|aCGEN
121	21433 35215	   	195.54	DCR|3VULN|2DMG|1ASPD	137VULN|235LWND|37BPWR|47DMG|6RPLT|8RCR|9ASPD|aAME
122	21433 35252	 * 	195.54	DCR|3VULN|2DMG|1NUKE	137VULN|235LWND|37BPWR|47DMG|69RPLT|8RCR|aNUKE
123	21433 35262	   	195.54	DCR|3VULN|2DMG|1NUKE	137VULN|235LWND|37BPWR|47DMG|6RPLT|8RCR|9DMSP|aNUKE
124	63433 35213	   	195.54	DCR|3VULN|2DMG|1ASPD	135LWND|237VULN|37BPWR|47DMG|6RPLT|8RCR|9ASPD|aCGEN
125	31123 46111	 * 	195.47	DCR|3ASPD|1VULN|2CDMG|1DMG|1AAC	1CGEN|2AAC|369ASPD|4RCVC|56CDMG|6BPWR|7RCR|8DMG|aVULN
126	51213 12531	   	195.46	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|2LWND|3AME|48VULN|5AART|6RCR|7aDMG|9ZMB
127	51613 12531	   	195.46	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|2LWND|3CGEN|48VULN|5AART|6RCR|7aDMG|9ZMB
128	21433 35212	   	195.44	DCR|3VULN|2DMG|1ASPD|1MSE	137VULN|235LWND|37BPWR|47DMG|6RPLT|8RCR|9ASPD|aMSE
129	63433 35212	   	195.44	DCR|3VULN|2DMG|1ASPD|1MSE	135LWND|237VULN|37BPWR|47DMG|6RPLT|8RCR|9ASPD|aMSE
130	11123 46111	   	195.37	DCR|3ASPD|1VULN|2CDMG|1DMG|1AAC	1TLV|2AAC|369ASPD|4RCVC|56CDMG|6BPWR|7RCR|8DMG|aVULN
