0	Index      	 *	Score 	Summary	Detail	
62	12463 31353	   	191.14	ACR|1BASARM|1VULN|1ASPD|1DMG	1FEWX|23CGEN|4RCR|5DUR|6DMG|7BASARM|8VULN|9ASPD|aERES
63	22162 31353	   	191.14	ACR|1BASARM|1VULN|1ASPD|1DMG	12CGEN|3LHND|4RCR|5DUR|6DMG|7BASARM|8VULN|9ASPD|aERES
64	24362 31353	   	191.14	ACR|1BASARM|1VULN|1ASPD|1DMG	13CGEN|2LWND|4RCR|5DUR|6DMG|7BASARM|8VULN|9ASPD|aERES
65	52263 31335	   	191.14	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUST|2CGEN|3DMSP|4RCR|5DUR|6DMG|7BASARM|8VULN|9BELT|aASPD
66	22663 31622	   	191.10	ACR|1BASARM|2BEXP|1DMG|1AAC	12CGEN|3aBEXP|4RCR|5DUR|6DMG|7BASARM|8ERES|9AAC
67	52263 31353	   	191.04	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUST|2CGEN|3DMSP|4RCR|5DUR|6DMG|7BASARM|8VULN|9ASPD|aERES
68	22663 31236	 * 	190.95	ACR|2BASARM|1DMG|1BEXP|1AAC	12CGEN|3BEXP|4RCR|5DUR|6DMG|7aBASARM|8LIT|9AAC
69	12262 33361	   	190.70	ACR|1BASARM|2VULN|1AART|1AAC	1FEWX|2CGEN|3DMSP|4RCR|5AART|6LHND|7AAC|89VULN|aBASARM
70	12462 33361	   	190.70	ACR|1BASARM|2VULN|1AART|1AAC	1FEWX|23CGEN|4RCR|5AART|6LHND|7AAC|89VULN|aBASARM
71	24363 33361	   	190.70	ACR|1BASARM|2VULN|1AART|1AAC	13CGEN|2LWND|4RCR|5AART|6LHND|7AAC|89VULN|aBASARM
72	22666 33111	 * 	190.56	ACR|2DMG|2BEXP|1ASPD|1AART	12CGEN|38BEXP|4RCR|5RCVC|6aDMG|7ASPD|9AART
73	12112 43242	 * 	190.08	ACR|2DMG|1ASPD|2CDMG|1AART|1BEXP	1FEWX|2aCGEN|3VENTOX|4BEXP|5RCR|6aDMG|7AART|8ASPD|9aCDMG|aBPWR
74	32533 15325	   	189.86	ACR|2ASPD|2BEXP|2CDMG|2AAC	1aCDMG|26AAC|3LIT|4RCR|5aBEXP|7aASPD|8LEGI|9RCVC|aBPWR
75	32533 51325	   	189.86	ACR|2DMG|2BEXP|2CDMG|2AAC	1aCDMG|27AAC|3LIT|4RCR|5aBEXP|6LEGI|8aDMG|9RCVC|aBPWR
