0	Index      	 *	Score 	Summary	Detail	
133	14214 41333	   	176.78	ACR|3DMG|2VULN|2ZMB|1DUR	1RCVC|27VULN|3NUKE|47ZMB|5RCR|678DMG|7BPWR|9FEWX|aDUR
134	25421 31123	   	176.71	DCR|3VULN|1AART|1DMG|2DUR	13BEXP|2DMG|4AART|579VULN|6RCR|8aDUR
135	12421 35222	 * 	176.69	DCR|3AART|2VULN|1DMG|1DUR	1RCVC|28aAART|3DMG|4BEXP|59VULN|6RCR|7DUR
136	35513 31313	   	176.67	ACR|2DMG|1AART|2FLTHEA|1CDMG|1DUR|1ASPD	1DUST|26DMG|3RCR|4AART|56FLTHEA|6BPWR|7LWND|8ASPD|9DUR|aCDMG
137	12421 31121	   	176.62	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2AART|3DMG|4aBEXP|579VULN|6RCR|8DUR
138	12421 31125	   	176.62	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2AART|3DMG|4BEXP|579VULN|6RCR|8DUR|aCGEN
139	12421 31441	   	176.62	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2AART|3DMG|4BEXP|57aVULN|6RCR|8RPLT|9DUR
140	12421 31323	   	176.62	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2AART|3DMG|4BEXP|579VULN|6RCR|8LHND|aDUR
141	64262 12223	   	176.52	ACR|3VULN|2AART|2DUR|1ZMB	1aDUR|239VULN|4RCR|58AART|6BEXP|7ZMB
142	22416 61132	   	176.48	ACR|2AART|2DMG|1VULN|1CDMG|1ASPD	1BEXP|2FEWX|36DMG|4aAART|5RCR|7VULN|8CDMG|9ASPD
143	12221 34222	   	176.48	DCR|2AART|2VULN|1DMG|1ZMB	1RCVC|2aAART|3ZMB|4BEXP|59VULN|6RCR|7CGEN|8DMG
144	12651 34222	   	176.48	DCR|2AART|2VULN|1DMG|1ZMB	1RCVC|2aAART|3BEXP|4ZMB|59VULN|6RCR|7CGEN|8DMG
145	35513 14323	 * 	176.45	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1DUST|2DMG|3RCR|4AART|5FLTHEA|6FEWX|78VULN|9MLV|aCDMG
146	35513 14333	   	176.45	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1DUST|2DMG|3RCR|4AART|5FLTHEA|6FEWX|78VULN|9CGEN|aCDMG
147	24253 43323	   	176.41	DCR|3VULN|2DMG|1AART|1DUR	15BEXP|237VULN|4DUR|68DMG|9AART|aRCR
148	64422 31121	   	176.32	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2VULN|36DMG|4CDMG|5ZMB|7RCR|8FEWX|9AART|aRCVC
149	35513 32413	   	176.23	ACR|2DMG|1AART|2FLTHEA|2ZMB|2DUR	1DUST|26DMG|3RCR|4AART|56FLTHEA|6BPWR|7aZMB|89DUR
150	64262 12132	   	176.16	ACR|2VULN|2AART|1CDMG|1ZMB|1ASPD|1DUR	1DUR|23VULN|4RCR|5aAART|6BEXP|7ZMB|8CDMG|9ASPD
151	64262 22132	   	176.16	ACR|2VULN|2AART|1CDMG|1ZMB|1ASPD|1DUR	1DUR|23VULN|4RCR|5aAART|6FEWX|7ZMB|8CDMG|9ASPD
152	35513 31351	   	176.15	ACR|2DMG|1AART|1VULN|2FLTHEA|1ASPD	1DUST|26DMG|3RCR|4AART|56FLTHEA|6BPWR|7LWND|8ASPD|9RMIN|aVULN
153	35513 31361	   	176.15	ACR|2DMG|1AART|1VULN|2FLTHEA|1ASPD	1DUST|26DMG|3RCR|4AART|56FLTHEA|6BPWR|7LWND|8ASPD|9CGEN|aVULN
154	35513 35112	   	176.15	ACR|2DMG|1AART|1VULN|2FLTHEA|1DUR	1DUST|26DMG|3RCR|4AART|56FLTHEA|6BPWR|7MLV|8LHND|9DUR|aVULN
155	35513 36112	   	176.15	ACR|2DMG|1AART|1VULN|2FLTHEA|1DUR	1DUST|26DMG|3RCR|4AART|56FLTHEA|6BPWR|7CGEN|8LHND|9DUR|aVULN
156	63422 31125	 * 	176.10	DCR|3DMG|1AART|1CDMG|2DUR|1ZMB	1aDUR|2LHND|36aDMG|4CDMG|5ZMB|7RCR|8aFEWX|9AART|aBPWR
157	35513 31231	   	176.05	ACR|2DMG|1AART|1VULN|2FLTHEA|1DUR	18DUST|26DMG|3RCR|4AART|56FLTHEA|6BPWR|7LWND|9DUR|aVULN
158	35531 51312	   	175.95	ACR|2VULN|2DMG|1AART|1ASPD	17DUST|27DMG|3RCR|45RCVC|67VULN|7BPWR|8ASPD|9CGEN|aAART
159	25421 31322	   	175.93	DCR|3VULN|2AART|1DMG	13BEXP|2DMG|4aAART|579VULN|6RCR|8LHND
160	35513 32261	   	175.80	ACR|3DMG|1AART|2FLTHEA|1ZMB	1DUST|269DMG|3RCR|4AART|56FLTHEA|6BPWR|7ZMB|8LIT|aMLV
161	35513 32263	   	175.80	ACR|3DMG|1AART|2FLTHEA|1ZMB	1DUST|269DMG|3RCR|4AART|56FLTHEA|6BPWR|7ZMB|8LIT|aLWND
