0	Index      	 *	Score 	Summary	Detail	
85	33251 13611	   	180.86	ACR|3VULN|1AART|1DMG|2CDMG	159VULN|29CGEN|3DMG|4RCR|6LHND|7AART|89CDMG|9BPWR|aLIT
86	33251 13612	   	180.86	ACR|3VULN|1AART|1DMG|2CDMG	159VULN|29CGEN|3DMG|4RCR|6LHND|7AART|89CDMG|9BPWR|aMLV
87	33251 43611	   	180.86	ACR|3VULN|1AART|1DMG|2CDMG	159VULN|29CGEN|3DMG|4RCR|6LWND|7AART|89CDMG|9BPWR|aLIT
88	33251 43612	   	180.86	ACR|3VULN|1AART|1DMG|2CDMG	159VULN|29CGEN|3DMG|4RCR|6LWND|7AART|89CDMG|9BPWR|aMLV
89	33256 13611	   	180.86	ACR|3VULN|1AART|1DMG|2CDMG	169VULN|29CGEN|3DMG|4RCR|5LHND|7AART|89CDMG|9BPWR|aLIT
90	33256 13612	   	180.86	ACR|3VULN|1AART|1DMG|2CDMG	169VULN|29CGEN|3DMG|4RCR|5LHND|7AART|89CDMG|9BPWR|aMLV
91	32511 51135	   	180.84	DCR|3VULN|1AART|1DMG|2CDMG	123VULN|23BPWR|4DMG|58CDMG|6RCR|7DMSP|9BEXP|aAART
92	33251 13616	   	180.76	ACR|3VULN|1AART|1DMG|2CDMG	159VULN|29CGEN|3DMG|4RCR|6LHND|7AART|89CDMG|9BPWR|aNUKE
93	32531 11514	   	180.70	DCR|5VULN|2DMG	1236aVULN|23aBPWR|4RCVC|5FEWX|7aLWND|8RCR|9aDMG
94	32531 12514	   	180.70	DCR|5VULN|2DMG	1236aVULN|23aBPWR|4RCVC|5FEWX|7aLHND|8RCR|9aDMG
95	33254 14321	   	180.54	ACR|4VULN|1AART|1DMG|1ASPD	167aVULN|2CGEN|3DMG|4RCR|5BEXP|8ASPD|9AART
96	53251 14321	   	180.54	ACR|4VULN|1AART|1DMG|1ASPD	1BEXP|2CGEN|3DMG|4RCR|567aVULN|8ASPD|9AART
97	32254 34323	   	180.54	ACR|4VULN|1AART|1DMG|1ASPD	1267VULN|2BPWR|3FEWX|4RCR|5BEXP|8DMG|9AART|aASPD
98	32652 34323	   	180.54	ACR|4VULN|1AART|1DMG|1ASPD	1267VULN|2BPWR|3BEXP|4RCR|5FEWX|8DMG|9AART|aASPD
99	31251 64321	   	180.44	ACR|4VULN|1AART|1DMG|1ASPD	157aVULN|2MLV|3DMG|4RCR|6DUST|8ASPD|9AART
100	33251 64321	   	180.44	ACR|4VULN|1AART|1DMG|1ASPD	157aVULN|2CGEN|3DMG|4RCR|6DUST|8ASPD|9AART
101	33255 14321	   	180.44	ACR|4VULN|1AART|1DMG|1ASPD	167aVULN|2CGEN|3DMG|4RCR|5DUST|8ASPD|9AART
102	32251 14214	   	180.41	ACR|5VULN|2DMG	1257aVULN|2aBPWR|38FEWX|4RCR|6aLHND|9aDMG
103	32254 33334	   	180.41	ACR|5VULN|2DMG	1269aVULN|2aBPWR|3FEWX|4RCR|57aBEXP|8aDMG
104	32652 33334	   	180.41	ACR|5VULN|2DMG	1269aVULN|2aBPWR|37BEXP|4RCR|5aFEWX|8aDMG
105	32111 55321	   	180.21	DCR|3VULN|1AART|1DMG|1CDMG	12aVULN|2BPWR|38RCVC|4DMG|5CDMG|6RCR|7LEGI|9AART
106	32511 16222	   	180.13	DCR|4VULN|1AART|1DMG|1CDMG	1236VULN|23BPWR|4DMG|5CDMG|7LSRREG|8AART|9RMIN|aRCR
107	32261 23514	   	180.10	DCR|5VULN|2DMG	1257aVULN|2aBPWR|3FEWX|4aBEXP|6RCVC|8RCR|9aDMG
108	32621 23514	   	180.10	DCR|5VULN|2DMG	1257aVULN|2aBPWR|3BEXP|4aFEWX|6RCVC|8RCR|9aDMG
109	32365 34323	   	179.99	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	127VULN|2BPWR|3TLV|4RCR|5CDMG|6RPLT|8DMG|9AART|aASPD
110	44231 73331	   	179.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1NUKE|26VULN|3MBVNT|4RCR|56DMG|6BPWR|7FEWX|8AART|9DUR|aZMB
111	32253 22523	   	179.84	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	126VULN|2BPWR|3FEWX|4RCR|5AART|7ZMB|8LIT|9DMG|aASPD
112	32253 22663	   	179.84	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	126VULN|2BPWR|3FEWX|4RCR|5AART|7ZMB|8LHND|9DUR|aDMG
113	32656 22122	   	179.82	ACR|4VULN|2DMG|2DUR	1279VULN|27BPWR|3BEXP|4RCR|57DMG|67DUR|8BELT|aFEWX
114	32656 22222	   	179.82	ACR|4VULN|2DMG|2DUR	1279VULN|27BPWR|3BEXP|4RCR|57DMG|67DUR|8LWND|aMLV
115	31251 26131	   	179.79	ACR|3VULN|2DMG|1AART	158VULN|2MLV|38DMG|4RCR|6RCVC|78LSRICY|8BPWR|9AART|aFEWX
116	31251 26132	   	179.79	ACR|3VULN|2DMG|1AART	158VULN|2MLV|38DMG|4RCR|6RCVC|78LSRICY|8BPWR|9AART|aLWND
117	31253 26133	   	179.79	ACR|3DMG|2VULN|1AART	18VULN|25MLV|38aDMG|4RCR|6RCVC|78LSRICY|8BPWR|9AART
118	32253 22263	   	179.74	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	126VULN|2BPWR|3FEWX|4RCR|5AART|7ZMB|8DUST|9DUR|aDMG
119	32253 22463	   	179.74	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	126VULN|2BPWR|3FEWX|4RCR|5AART|7ZMB|8LEGI|9DUR|aDMG
120	32111 52541	   	179.74	DCR|4VULN|1DMG|1CDMG|1ZMB	1279VULN|2BPWR|3RCVC|4DMG|5CDMG|6RCR|8MBVNT|aZMB
121	32656 22121	   	179.72	ACR|4VULN|2DMG|2DUR	1279VULN|27BPWR|3BEXP|4RCR|57DMG|67DUR|8BELT|aDUST
122	32656 22123	   	179.72	ACR|4VULN|2DMG|2DUR	1279VULN|27BPWR|3BEXP|4RCR|57DMG|67DUR|8BELT|aVENICY
123	31251 26134	   	179.69	ACR|3VULN|2DMG|1AART	158VULN|2MLV|38DMG|4RCR|6RCVC|78LSRICY|8BPWR|9AART|aNUKE
124	32111 52255	   	179.61	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	127VULN|2BPWR|3RCVC|4DMG|5CDMG|6RCR|8ASPD|9ZMB|aDUR
125	32512 42236	   	179.46	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	123VULN|23BPWR|4DMG|5ERES|68DUR|7CDMG|9RCR|aAART
126	32511 52541	   	179.46	DCR|5VULN|1DMG|1CDMG	12379VULN|23BPWR|4DMG|5CDMG|6RCR|8MBVNT|aRCVC
127	32512 13121	   	179.43	DCR|4VULN|1AART|1DMG|1CDMG	1236VULN|23BPWR|4DMG|58ERES|7CDMG|9AART|aRCR
128	32656 22313	   	179.37	ACR|3VULN|2DMG|1CDMG|2DUR	127VULN|27BPWR|3aBEXP|4RCR|57DMG|67DUR|8CGEN|9CDMG
129	32512 12662	 * 	179.31	DCR|5VULN|1AART|1DMG	12369VULN|23BPWR|4DMG|5ERES|7LHND|8AART|aRCR
130	32511 52241	   	179.31	DCR|4VULN|1DMG|1CDMG|1DUR|1ASPD	1237VULN|23BPWR|4DMG|5CDMG|6RCR|8ASPD|9DUR|aLWND
131	32511 52243	   	179.31	DCR|4VULN|1DMG|1CDMG|1DUR|1ASPD	1237VULN|23BPWR|4DMG|5CDMG|6RCR|8ASPD|9DUR|aBEXP
132	32656 22311	   	179.27	ACR|3VULN|2DMG|1CDMG|2DUR	127VULN|27BPWR|3BEXP|4RCR|57DMG|67DUR|8CGEN|9CDMG|aTLV
133	32111 52312	   	179.26	DCR|3VULN|2DMG|1CDMG|1DUR	127VULN|2BPWR|3RCVC|49DMG|5CDMG|6RCR|8RPLT|aDUR
134	32511 52242	   	179.21	DCR|4VULN|1DMG|1CDMG|1ASPD|1DUR	1237VULN|23BPWR|4DMG|5CDMG|6RCR|8ASPD|9DUR|aLEGI
135	32222 41514	   	179.20	DCR|4VULN|2DMG|2DUR	125aVULN|2aBPWR|34FEWX|6aDUR|7RCVC|8RCR|9aDMG
136	44231 73311	   	179.19	ACR|3VULN|2DMG|1AART	1NUKE|26aVULN|3MBVNT|4RCR|56DMG|6BPWR|7FEWX|8AART|9RCVC
137	63232 23345	 * 	179.13	DCR|3VULN|2AART|1DMG|1ZMB	1ZMB|27aVULN|3DMG|4LIT|56AART|8BEXP|9RCR
138	34631 35212	 * 	178.87	DCR|3VULN|1AART|2ZMB|2ASPD|1FLTHEA	18aVULN|2LIT|38ASPD|4FEWX|5AART|6FLTHEA|78ZMB|8BPWR|9RCR
139	32511 52115	   	178.68	DCR|4VULN|1DMG|2CDMG|1DUR	1237VULN|23BPWR|4DMG|58CDMG|6RCR|9LWND|aDUR
140	32511 52261	   	178.68	DCR|4VULN|1DMG|2CDMG|1ASPD	1237VULN|23BPWR|4DMG|59CDMG|6RCR|8ASPD|aMLV
141	32511 52262	   	178.68	DCR|4VULN|1DMG|2CDMG|1ASPD	1237VULN|23BPWR|4DMG|59CDMG|6RCR|8ASPD|aLWND
142	32511 52263	   	178.68	DCR|4VULN|1DMG|2CDMG|1ASPD	1237VULN|23BPWR|4DMG|59CDMG|6RCR|8ASPD|aBELT
143	32511 52125	   	178.58	DCR|4VULN|1DMG|2CDMG|1DUR	1237VULN|23BPWR|4DMG|58CDMG|6RCR|9DUST|aDUR
144	32551 41424	   	178.47	DCR|4VULN|1DMG|1CDMG|1ZMB|1DUR	1239VULN|23BPWR|4ZMB|5CDMG|6DMG|7MBVNT|8RCR|aDUR
145	63311 32344	 * 	178.34	ACR|3VULN|1AART|1FLTHEA|1CDMG|1ZMB	1ZMB|28aVULN|3LIT|4AART|5RCR|6FLTHEA|7BEXP|9CDMG
146	32514 32135	   	178.33	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	123VULN|23BPWR|4DMG|5ZMB|6FEWX|7CDMG|8LWND|9RCR|aAART
147	32541 12135	   	178.33	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	123VULN|23BPWR|4BEXP|5ZMB|6DMG|7CDMG|8LWND|9RCR|aAART
148	32541 12335	   	178.33	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	123VULN|23BPWR|4BEXP|5ZMB|6DMG|7CDMG|8FEWX|9RCR|aAART
149	32525 31223	   	178.25	DCR|4VULN|1AART|1CDMG|1DUR|1ASPD	1236VULN|23BPWR|4RPLT|5CDMG|7DUR|8RCR|9AART|aASPD
150	32511 52542	   	178.16	DCR|5VULN|1DMG|1CDMG	12379VULN|23BPWR|4DMG|5CDMG|6RCR|8MBVNT|aFEWX
151	32511 52544	   	178.16	DCR|5VULN|1DMG|1CDMG	12379VULN|23BPWR|4DMG|5CDMG|6RCR|8MBVNT|aLIT
152	32134 11514	   	178.08	DCR|4VULN|2DMG|1DUR	126aVULN|2aBPWR|34RCVC|5DUR|7aLWND|8RCR|9aDMG
153	32134 12514	   	178.08	DCR|4VULN|2DMG|1DUR	126aVULN|2aBPWR|34RCVC|5DUR|7aLHND|8RCR|9aDMG
154	32134 33514	   	178.08	DCR|4VULN|2DMG|1DUR	127aVULN|2aBPWR|34RCVC|5DUR|6aFEWX|8RCR|9aDMG
155	35533 35212	   	178.06	DCR|3VULN|1AART|2ZMB|1FLTHEA|2DUR	18aVULN|28DUR|3LIT|4AART|5NUKE|6FLTHEA|78ZMB|8BPWR|9RCR
156	32111 52426	   	177.93	DCR|3VULN|1AART|1DMG|1CDMG	127VULN|2BPWR|3RCVC|4DMG|5CDMG|6RCR|8CGEN|9BEXP|aAART
157	32111 52537	   	177.73	DCR|3VULN|1AART|1DMG|1CDMG	127VULN|2BPWR|3RCVC|4DMG|5CDMG|6RCR|8MBVNT|9ERES|aAART
158	32551 31115	   	177.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	123VULN|23BPWR|4ZMB|5CDMG|6LHND|7AART|8FEWX|9DMG|aRCR
159	32551 31215	   	177.63	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	123VULN|23BPWR|4ZMB|5CDMG|6LHND|7AART|8DUST|9DMG|aRCR
160	32222 11514	   	177.59	DCR|5VULN|2DMG	1256aVULN|2aBPWR|34FEWX|7aLWND|8RCR|9aDMG
161	32222 12514	   	177.59	DCR|5VULN|2DMG	1256aVULN|2aBPWR|34FEWX|7aLHND|8RCR|9aDMG
162	32251 16242	   	177.59	ACR|3VULN|2DMG|1AART	125VULN|2BPWR|3FEWX|4RCR|6LHND|7CANSTR|8AART|9aDMG
163	44231 73343	   	177.59	ACR|3DMG|2VULN|1AART	1NUKE|26VULN|3MBVNT|4RCR|56aDMG|6BPWR|7FEWX|8AART|9CGEN
164	32112 42636	   	177.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	128VULN|2BPWR|3RCVC|4DMG|5ERES|6DUR|7CDMG|9RCR|aAART
165	32232 22155	 * 	177.56	DCR|2VULN|2DMG|1AART|1CDMG	12VULN|2BPWR|3FEWX|4AART|5ERES|69DMG|7RCR|8DMSP|aCDMG
166	44231 73323	   	177.49	ACR|3DMG|2VULN|1AART	1NUKE|26VULN|3MBVNT|4RCR|56aDMG|6BPWR|7FEWX|8AART|9ERES
167	32365 53322	 * 	177.45	ACR|3VULN|1AART|2CDMG|3DUR	12aVULN|2aBPWR|3TLV|4RCR|5aCDMG|67aDUR|8RCVC|9AART
168	61251 14323	   	177.44	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ZMB|2CGEN|3FEWX|4RCR|567VULN|8DMG|9AART|aASPD
169	44231 72321	   	176.99	ACR|3VULN|2DMG|1AART	1NUKE|26aVULN|3MBVNT|4RCR|56DMG|6BPWR|78CGEN|9AART
170	32511 55322	   	176.83	DCR|3VULN|1AART|1DMG|1CDMG	123VULN|23BPWR|4DMG|5CDMG|6RCR|7LEGI|8RCVC|9AART|aLSRREG
171	32511 53325	   	176.43	DCR|3VULN|1AART|1DMG|1CDMG	123VULN|23BPWR|4DMG|5CDMG|6RCR|7BEXP|8RCVC|9DMSP|aAART
172	32161 16521	   	176.42	DCR|4VULN|1AART|2CDMG|1ASPD	1267VULN|27BPWR|3RCVC|47CGEN|57CDMG|8ASPD|9AART|aRCR
173	32511 53336	   	176.33	DCR|3VULN|1AART|1DMG|1CDMG	123VULN|23BPWR|4DMG|5CDMG|6RCR|7BEXP|8RCVC|9ERES|aAART
