0	Index      	 *	Score 	Summary	Detail	
1	21425 27414	 * 	232.52	DCR|3VULN|2DMG|1MDPS|1ASPD|1CDMG	169VULN|29LHND|3ASPD|4CDMG|5MBVNT|7RCR|89DMG|9BPWR|aMDPS
166	23535 12621	   	203.71	DCR|4VULN|1ASPD|1DMG|1DUR	1369VULN|2DMG|4DLOT|5ASPD|7RCR|8ERES|aDUR
167	26532 12221	   	203.71	DCR|4VULN|1ASPD|1DMG|1AAC|1DUR	1368VULN|2ASPD|4DLOT|5AAC|7RCR|9DMG|aDUR
168	26533 42221	   	203.71	DCR|4VULN|1ASPD|1DMG|1DUR	1358VULN|2ASPD|4DLOT|6ERES|7RCR|9DMG|aDUR
169	26534 12231	   	203.71	DCR|4VULN|1ASPD|1DMG|1DUR	1368VULN|2ASPD|4DLOT|5DMG|7RCR|9ERES|aDUR
170	26534 12321	   	203.71	DCR|4VULN|1ASPD|1DMG|1AAC|1DUR	1369VULN|2ASPD|4DLOT|5DMG|7RCR|8AAC|aDUR
171	23261 15216	   	203.57	DCR|3VULN|3ZMB|2CDMG|1DMG	169VULN|2DMG|358ZMB|49CDMG|79LHND|9BPWR|aRCR
172	13262 41124	 * 	203.56	DCR|2DMG|2ASPD|1AART|2CDMG|1ZMB	18FEWX|28DMG|3ZMB|4aCDMG|5RPLT|6AART|78ASPD|8BPWR|9RCR
173	33262 41124	   	203.56	DCR|2DMG|2ASPD|1AART|2CDMG|1ZMB	18BEXP|28DMG|3ZMB|4aCDMG|5RPLT|6AART|78ASPD|8BPWR|9RCR
174	21341 53335	   	203.48	DCR|2VULN|2DMG|2ASPD|1ZMB	1aVULN|25LHND|3RCVC|4aASPD|6ZMB|7DUST|8aDMG|9RCR|aBPWR
175	23532 12443	   	203.33	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	136VULN|2DMG|4DLOT|5AAC|7RCR|8AART|9RPLT|aASPD
176	23533 12413	   	203.33	DCR|3VULN|1AART|1DMG|1ASPD	135VULN|2DMG|4DLOT|6AME|7RCR|8AART|9ERES|aASPD
177	23533 42423	   	203.33	DCR|3VULN|1AART|1ASPD|1DMG	135VULN|2DMG|4DLOT|6ERES|7RCR|8AART|9CGEN|aASPD
178	23535 12411	   	203.33	DCR|3VULN|1AART|1DMG|1ASPD	136VULN|2DMG|4DLOT|5ASPD|7RCR|8AART|9ERES|aMLV
179	23532 12413	   	203.23	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	136VULN|2DMG|4DLOT|5AAC|7RCR|8AART|9ERES|aASPD
180	23535 12432	   	203.23	DCR|3VULN|1AART|1ASPD|1DMG|1MSE	136VULN|2DMG|4DLOT|5ASPD|7RCR|8AART|9MSE|aFEWX
181	23535 12433	   	203.23	DCR|3VULN|1AART|1ASPD|1DMG|1MSE	136VULN|2DMG|4DLOT|5ASPD|7RCR|8AART|9MSE|aBEXP
182	24411 12334	   	203.11	DCR|3VULN|2ASPD|1DMG	149VULN|2RPLT|3RMIN|5FEWX|6RCR|79MULARM|89ASPD|9BPWR|aDMG
183	24412 12334	   	203.11	DCR|3VULN|2ASPD|1DMG	149VULN|2RPLT|3RMIN|5BEXP|6RCR|79MULARM|89ASPD|9BPWR|aDMG
184	23532 32443	   	203.09	DCR|2VULN|2DMG|1AART|1ASPD|1AAC	13VULN|26DMG|4DLOT|5AAC|7RCR|8AART|9RPLT|aASPD
185	23534 12413	   	203.09	DCR|2VULN|2DMG|1AART|1ASPD	13VULN|25DMG|4DLOT|6AME|7RCR|8AART|9ERES|aASPD
186	23535 32411	   	203.09	DCR|2VULN|2DMG|1AART|1ASPD	13VULN|26DMG|4DLOT|5ASPD|7RCR|8AART|9ERES|aMLV
187	23534 43133	   	203.08	DCR|3VULN|3DMG|1CDMG	137VULN|257DMG|4DLOT|67ERES|7BPWR|8LWND|9CDMG|aRCR
188	23534 43233	   	203.08	DCR|3VULN|3DMG|1CDMG	137VULN|257DMG|4DLOT|67ERES|7BPWR|8BEXP|9CDMG|aRCR
189	23243 42123	 * 	203.06	ACR|3VULN|2DMG|1MDPS|1AART|1ASPD|1ZMB	19aVULN|29DMG|3ZMB|4ASPD|5RCR|6AART|7MDPS|89DUST|9BPWR
190	23435 12413	   	203.03	DCR|2VULN|2ASPD|1AART|1DMG	16VULN|2DMG|3RCVC|4DLOT|5aASPD|7RCR|8AART|9ERES
191	23532 32413	   	202.99	DCR|2VULN|2DMG|1AART|1ASPD|1AAC	13VULN|26DMG|4DLOT|5AAC|7RCR|8AART|9ERES|aASPD
192	23535 32432	   	202.99	DCR|2VULN|2DMG|1AART|1ASPD|1MSE	13VULN|26DMG|4DLOT|5ASPD|7RCR|8AART|9MSE|aFEWX
193	23535 32433	   	202.99	DCR|2VULN|2DMG|1AART|1ASPD|1MSE	13VULN|26DMG|4DLOT|5ASPD|7RCR|8AART|9MSE|aBEXP
194	23212 56213	   	202.92	DCR|3VULN|2DMG|2DUR|1AAC|1ZMB|1SELL	19aVULN|29DMG|3ZMB|4ERES|5SELL|6RCR|7AAC|89DUR|9BPWR
