0	Index      	Bounty	 *	Score 	Summary	Detail	
106	21421 14343	1	   	244.90	DCR|3VULN|1TLV|1DUR|2LIT|1CDMG	15LIT|2DUR|3DUST|458VULN|5BPWR|6LWND|7CDMG|9RCR|aTLV
107	21423 32132	1	   	244.90	DCR|3VULN|1TLV|1DUR|2LIT|1CDMG	17LIT|2DUR|37DUST|467VULN|5RPLT|7BPWR|8CDMG|9RCR|aTLV
108	23321 64433	2	 * 	244.77	DCR|4VULN|3LIT|1DMG|1AART	156LIT|2FEWX|3BEXP|4567VULN|56BPWR|8DMG|9AART|aRCR
109	22561 63132	10	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LIT|2RCVC|357VULN|4MLV|6RCR|8TLV|9DUR|aDMG
110	53123 14477	5	 * 	244.61	DCR|2VULN|2DMG|2TLV|3ASPD|1SELL	1SELL|28TLV|348ASPD|58VULN|6MBVNT|7RCR|8BPWR|9aDMG
111	63326 11334	2	   	244.60	DCR|2VULN|3DUR|2DMG|1CDMG	1BEXP|2MBVNT|35DMG|45aDUR|5BPWR|6RCR|79VULN|8CDMG
112	13212 51221	1	   	244.57	DCR|2VULN|3DUR|1DMG|2ASPD|2LIT	1aASPD|247DUR|3aLIT|5LHND|6DMG|8RCR|9aVULN|aBPWR
113	15236 31325	1	   	244.30	DCR|2VULN|2DMG|1TLV|2ASPD|2LIT	17ASPD|27DMG|3DMSP|4ZMB|5TLV|67VULN|7BPWR|8RCR|9aLIT
114	15336 31325	1	   	244.30	DCR|2VULN|2DMG|1TLV|2ASPD|2LIT	17ASPD|27DMG|3RCVC|4ZMB|5TLV|67VULN|7BPWR|8RCR|9aLIT
115	51133 31462	2	 * 	243.96	DCR|3VULN|3DUR|3CDMG|1SELL	1SELL|278DUR|35ERES|478CDMG|678VULN|78BPWR|9RCR|aLWND
116	51133 31463	2	 * 	243.96	DCR|3VULN|3DUR|3CDMG|1SELL	1SELL|278DUR|35ERES|478CDMG|678VULN|78BPWR|9RCR|aRPLT
117	63326 11141	2	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1aBEXP|2MBVNT|35DMG|45DUR|5BPWR|6RCR|79VULN|8TLV
118	63326 11143	2	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2MBVNT|35DMG|45DUR|5BPWR|6RCR|79VULN|8TLV|aRCVC
119	63326 11148	2	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2MBVNT|35DMG|45DUR|5BPWR|6RCR|79VULN|8TLV|aBELT
120	63326 11144	2	   	243.83	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2MBVNT|35DMG|45DUR|5BPWR|6RCR|79VULN|8TLV|aERES
121	63326 11146	2	   	243.83	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2MBVNT|35DMG|45DUR|5BPWR|6RCR|79VULN|8TLV|aDUST
122	63326 11161	2	   	243.83	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2MBVNT|35DMG|45DUR|5BPWR|6RCR|7aVULN|8TLV|9TBNT
123	63326 11142	2	   	243.69	DCR|2VULN|2DMG|2DUR|1TLV|1SELL	1BEXP|2MBVNT|35DMG|45DUR|5BPWR|6RCR|79VULN|8TLV|aSELL
124	52621 63132	10	   	243.35	DCR|3VULN|3DMG|1DUR|1SELL	1SELL|2aBEXP|39aVULN|4DUR|5ERES|6RCR|78aDMG|aBPWR
125	53123 14474	5	 * 	243.27	DCR|2VULN|2TLV|3ASPD|1DMG|1DUR|1SELL	1SELL|28TLV|348ASPD|58VULN|6MBVNT|7RCR|8BPWR|9DMG|aDUR
126	53124 14474	4	 * 	243.27	DCR|2VULN|2TLV|3ASPD|1DMG|1DUR|1SELL	1SELL|28TLV|348ASPD|58VULN|6MBVNT|7RCR|8BPWR|9DMG|aDUR
127	22261 62331	10	   	243.15	DCR|4VULN|1TLV|1CDMG	1LIT|2RCVC|3LHND|4TLV|579aVULN|6CDMG|8RCR
128	22261 62332	9	   	243.15	DCR|4VULN|1TLV|1CDMG	1LIT|2RCVC|3LHND|4TLV|579aVULN|6CDMG|8RCR
129	25261 62331	10	   	243.15	DCR|4VULN|1TLV|1CDMG	1LIT|2DMSP|3LHND|4TLV|579aVULN|6CDMG|8RCR
130	25261 62332	9	   	243.15	DCR|4VULN|1TLV|1CDMG	1LIT|2DMSP|3LHND|4TLV|579aVULN|6CDMG|8RCR
131	21421 42532	1	   	243.00	DCR|2VULN|2TLV|1DMG|1DUR|2LIT	15LIT|2DUR|3DUST|45VULN|5BPWR|6aTLV|7DMG|8ASPD|9RCR
132	63324 14135	2	   	242.90	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1BEXP|2MBVNT|36DMG|4DUR|5TLV|79VULN|8CDMG|aRCR
133	21123 44322	1	 * 	242.64	DCR|2VULN|3DUR|2TLV|2LIT	1aLIT|27aDUR|3LHND|48VULN|5RPLT|6RCR|9aTLV|aBPWR
134	21323 44322	1	   	242.64	DCR|2VULN|3DUR|2TLV|2LIT	1aLIT|27aDUR|3BEXP|48VULN|5RPLT|6RCR|9aTLV|aBPWR
135	21323 44612	1	   	242.64	DCR|2VULN|3DUR|2TLV|2LIT	1aLIT|27aDUR|3BEXP|49VULN|5RPLT|6RCR|8aTLV|aBPWR
136	21623 44322	1	   	242.64	DCR|2VULN|3DUR|2TLV|2LIT	1aLIT|27aDUR|3FEWX|48VULN|5RPLT|6RCR|9aTLV|aBPWR
137	21423 44322	1	   	242.54	DCR|2VULN|3DUR|2TLV|2LIT	1aLIT|27aDUR|3DUST|48VULN|5RPLT|6RCR|9aTLV|aBPWR
138	15423 21231	1	   	242.48	DCR|2VULN|3DMG|3ASPD|1DUR	179ASPD|239DMG|4TBNT|5BELT|6RCR|89VULN|9BPWR|aDUR
139	21412 32663	8	   	242.30	DCR|3VULN|3DMG|2LIT	1aLIT|2LWND|35aDMG|4BEXP|6CGEN|7RCR|89aVULN|aBPWR
140	13133 33533	10	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1ASPD|2LHND|3FEWX|4CDMG|579VULN|6DMG|8TLV|aRCR
141	13133 36433	10	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1ASPD|2LHND|3FEWX|4CDMG|589VULN|6DMG|7TLV|aRCR
142	13633 33533	10	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1ASPD|2LHND|3CDMG|4FEWX|579VULN|6DMG|8TLV|aRCR
143	13633 36433	10	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1ASPD|2LHND|3CDMG|4FEWX|589VULN|6DMG|7TLV|aRCR
144	22261 62333	10	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1LIT|2RCVC|3LHND|4TLV|579VULN|6CDMG|8RCR|aDMG
145	25261 62333	10	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1LIT|2DMSP|3LHND|4TLV|579VULN|6CDMG|8RCR|aDMG
146	14622 25211	9	   	241.55	DCR|3VULN|2DUR|1DMG	1ASPD|23RCVC|467VULN|56DUR|6BPWR|8LIT|9DMG|aRCR
147	53313 31243	3	 * 	241.48	DCR|2VULN|2TLV|1DMG|2CDMG|1AART|1SELL	1SELL|27TLV|3DMG|4AART|57CDMG|67VULN|7BPWR|8LHND|9ASPD|aRCR
