0	Index      	 *	Score 	Summary	Detail	
108	63134 34133	   	177.69	ACR|3VULN|2DMG|1AART	19RPLT|268VULN|37DMG|4AART|5RCR|aBEXP
109	63134 34111	   	177.59	ACR|3VULN|2DMG|1AART	1RPLT|268VULN|37DMG|4AART|5RCR|9ERES|aCGEN
110	63134 34112	   	177.59	ACR|3VULN|2DMG|1AART	1RPLT|268VULN|37DMG|4AART|5RCR|9ERES|aLIT
111	63134 34131	   	177.59	ACR|3VULN|2DMG|1AART	19RPLT|268VULN|37DMG|4AART|5RCR|aDUST
112	63134 34113	   	177.49	ACR|3VULN|2DMG|1AART	1RPLT|268VULN|37DMG|4AART|5RCR|9ERES|aDUST
113	63133 53311	   	177.47	DCR|3DMG|2VULN|1AART	1RPLT|27VULN|367DMG|4AART|57LIT|7BPWR|8RCR|9aBEXP
114	63133 53351	   	177.47	DCR|3DMG|2VULN|1AART	1RPLT|27VULN|367DMG|4AART|57LIT|7BPWR|8RCR|9LHND|aBEXP
115	63133 53361	   	177.47	DCR|3DMG|2VULN|1AART	1RPLT|27VULN|367DMG|4AART|57LIT|7BPWR|8RCR|9FEWX|aBEXP
116	63133 53362	   	177.47	DCR|3DMG|2VULN|1AART	1RPLT|27VULN|367DMG|4AART|57LIT|7BPWR|8RCR|9FEWX|aLHND
117	63133 52223	   	177.39	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1RPLT|2VULN|36DMG|4AART|5LIT|7RCR|89CDMG|aZMB
118	63133 53314	   	177.37	DCR|3DMG|2VULN|1AART	1RPLT|27VULN|367DMG|4AART|57LIT|7BPWR|8RCR|9BEXP|aDUST
119	63133 53352	   	177.37	DCR|3DMG|2VULN|1AART	1RPLT|27VULN|367DMG|4AART|57LIT|7BPWR|8RCR|9LHND|aLEGI
120	63133 53353	   	177.37	DCR|3DMG|2VULN|1AART	1RPLT|27VULN|367DMG|4AART|57LIT|7BPWR|8RCR|9LHND|aERES
121	31133 11541	   	177.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CANSTR|2LIT|3DUR|45DMG|6aVULN|7CDMG|8AART|9RCR
122	33411 25215	   	176.93	DCR|3VULN|2AART|1DMG	1CANSTR|29AART|38aVULN|4TLV|5DMG|6RCR|7DMSP
123	33411 22215	   	176.83	DCR|3VULN|2AART|1DMG	1CANSTR|29AART|38aVULN|47TLV|5DMG|6RCR
124	33363 24124	   	176.48	DCR|3VULN|1AART|1DMG|1ZMB	1CANSTR|2AART|3DMG|49aVULN|5ERES|6RCR|7CGEN|8ZMB
125	33411 24124	   	176.48	DCR|3VULN|1AART|1DMG|1ZMB	1CANSTR|2AART|39aVULN|4TLV|5DMG|6RCR|7CGEN|8ZMB
126	33461 22124	   	176.48	DCR|3VULN|1AART|1DMG|1ZMB	1CANSTR|2AART|39aVULN|4MLV|5DMG|6RCR|7TLV|8ZMB
127	33561 22124	   	176.48	DCR|3VULN|1AART|1DMG|1ZMB	1CANSTR|2AART|3MLV|49aVULN|5DMG|6RCR|7TLV|8ZMB
128	33363 22124	   	176.38	DCR|3VULN|1AART|1DMG|1ZMB	1CANSTR|2AART|3DMG|49aVULN|5ERES|6RCR|7TLV|8ZMB
