0	Index      	 *	Score 	Summary	Detail	
124	21316 43314	 * 	185.73	ACR|1VULN|2BEXP|1ASPD|1DMG|1CDMG	1RMIN|2VULN|3ERES|4RCR|5aBEXP|6FLTARM|7ASPD|8DMG|9CDMG
125	31515 11125	 * 	185.72	ACR|2BASARM|2BEXP|1AAC	1aTLV|267DUR|3CGEN|4RCR|5AAC|8aBEXP|9aBASARM|aBPWR
126	53141 42232	   	185.70	ACR|1BASARM|2VULN|1DMG	1MLV|2MDPS|3RCR|49VULN|5BELT|68FEWX|7DMG|aBASARM
127	63141 42232	   	185.70	ACR|1BASARM|2VULN|1DMG	1CGEN|2MDPS|3RCR|49VULN|5BELT|68FEWX|7DMG|aBASARM
128	15315 36231	   	185.64	ACR|1BASARM|2DMG|1BEXP	17FEWX|2ERES|37CGEN|4RCR|57DMG|6RMIN|7BPWR|8BEXP|9BASARM|aMDPS
129	33141 42232	   	185.60	ACR|1BASARM|2VULN|1DMG	1TLV|2MDPS|3RCR|49VULN|5BELT|68FEWX|7DMG|aBASARM
130	53141 53232	   	185.60	ACR|1BASARM|2VULN|1ASPD	1MLV|2MDPS|3RCR|49VULN|5BELT|6DMSP|7MBVNT|8ASPD|aBASARM
131	53142 61232	   	185.60	ACR|1BASARM|2VULN|1ASPD	1MLV|2MDPS|3RCR|49VULN|5AEMAG|6FEWX|7BELT|8ASPD|aBASARM
132	53146 11122	   	185.60	ACR|2VULN|1BASARM|1BEXP|1AAC	1MLV|2MDPS|3RCR|46VULN|5BEXP|78BELT|9AAC|aBASARM
133	63143 11122	   	185.60	ACR|2VULN|1BASARM|1BEXP|1AAC	1CGEN|2MDPS|3RCR|46VULN|5BEXP|78BELT|9AAC|aBASARM
134	26312 63532	   	185.54	ACR|1BASARM|2ASPD|1BEXP	1RMIN|2LHND|3aCGEN|4RCR|5BEXP|6ERES|78ASPD|9BASARM
135	26312 63533	   	185.54	ACR|1BASARM|2ASPD|1BEXP	1RMIN|2LHND|3CGEN|4RCR|5BEXP|6ERES|78ASPD|9BASARM|aDUR
136	26313 53532	   	185.54	ACR|1BASARM|2ASPD|1BEXP	1RMIN|2LHND|3aCGEN|4RCR|5ERES|6BEXP|78ASPD|9BASARM
137	26313 53533	   	185.54	ACR|1BASARM|2ASPD|1BEXP	1RMIN|2LHND|3CGEN|4RCR|5ERES|6BEXP|78ASPD|9BASARM|aDUR
138	33141 53232	   	185.50	ACR|1BASARM|2VULN|1ASPD	1TLV|2MDPS|3RCR|49VULN|5BELT|6DMSP|7MBVNT|8ASPD|aBASARM
139	33142 61232	   	185.50	ACR|1BASARM|2VULN|1ASPD	1TLV|2MDPS|3RCR|49VULN|5AEMAG|6FEWX|7BELT|8ASPD|aBASARM
140	53136 32234	   	185.50	ACR|1BASARM|2BEXP|1VULN	1MLV|2MDPS|3RCR|4RCVC|5aBEXP|6LIT|7AME|8VULN|9BASARM
141	33146 11122	   	185.50	ACR|2VULN|1BASARM|1BEXP|1AAC	1TLV|2MDPS|3RCR|46VULN|5BEXP|78BELT|9AAC|aBASARM
142	26312 63531	   	185.44	ACR|1BASARM|2ASPD|1BEXP	1RMIN|2LHND|3CGEN|4RCR|5BEXP|6ERES|78ASPD|9BASARM|aMDPS
143	26313 53531	   	185.44	ACR|1BASARM|2ASPD|1BEXP	1RMIN|2LHND|3CGEN|4RCR|5ERES|6BEXP|78ASPD|9BASARM|aMDPS
144	33136 42234	   	185.40	ACR|1BASARM|2BEXP|1VULN	1TLV|2MDPS|3RCR|4RCVC|5aBEXP|6LIT|7AME|8VULN|9BASARM
145	21316 53143	 * 	185.36	ACR|2ASPD|1VULN|2BEXP|1AART	1RMIN|2VULN|3ERES|4RCR|59BEXP|67ASPD|8LHND|aAART
146	21316 53222	   	185.17	ACR|3ASPD|1VULN|1BEXP|1CDMG	1RMIN|2VULN|3ERES|4RCR|5BEXP|678ASPD|9CGEN|aCDMG
147	21516 53212	   	185.17	ACR|3ASPD|1VULN|1BEXP|1CDMG	1RMIN|2VULN|3CGEN|4RCR|5BEXP|678ASPD|9ERES|aCDMG
148	21516 53222	   	185.17	ACR|3ASPD|1VULN|1BEXP|1CDMG	1RMIN|2VULN|3CGEN|4RCR|5BEXP|678ASPD|9DUST|aCDMG
149	53115 53331	   	185.10	ACR|1BASARM|2ASPD|1AAC	1MLV|2MDPS|3RCR|4AEMAG|5AAC|67ASPD|8CGEN|9BASARM|aRMIN
150	53115 53332	   	185.10	ACR|1BASARM|2ASPD|1AAC	1MLV|2MDPS|3RCR|4AEMAG|5AAC|67ASPD|8aCGEN|9BASARM
151	53115 53333	   	185.10	ACR|1BASARM|2ASPD|1AAC	1MLV|2MDPS|3RCR|4AEMAG|5AAC|67ASPD|8CGEN|9BASARM|aDUR
152	21316 53212	   	185.07	ACR|3ASPD|1VULN|1BEXP|1CDMG	1RMIN|2VULN|39ERES|4RCR|5BEXP|678ASPD|aCDMG
153	33115 53331	   	185.00	ACR|1BASARM|2ASPD|1AAC	1TLV|2MDPS|3RCR|4AEMAG|5AAC|67ASPD|8CGEN|9BASARM|aRMIN
154	33115 53332	   	185.00	ACR|1BASARM|2ASPD|1AAC	1TLV|2MDPS|3RCR|4AEMAG|5AAC|67ASPD|8aCGEN|9BASARM
155	33115 53333	   	185.00	ACR|1BASARM|2ASPD|1AAC	1TLV|2MDPS|3RCR|4AEMAG|5AAC|67ASPD|8CGEN|9BASARM|aDUR
156	33115 53334	   	185.00	ACR|1BASARM|2ASPD|1AAC	1TLV|2MDPS|3RCR|4AEMAG|5AAC|67ASPD|8CGEN|9BASARM|aBELT
157	33165 53331	   	185.00	ACR|1BASARM|2ASPD|1AAC	14TLV|2MDPS|3RCR|4BPWR|5AAC|67ASPD|8CGEN|9BASARM|aRMIN
158	33165 53332	   	185.00	ACR|1BASARM|2ASPD|1AAC	14TLV|2MDPS|3RCR|4BPWR|5AAC|67ASPD|8aCGEN|9BASARM
159	33165 53333	   	185.00	ACR|1BASARM|2ASPD|1AAC	14TLV|2MDPS|3RCR|4BPWR|5AAC|67ASPD|8CGEN|9BASARM|aDUR
