0	Index      	 *	Score 	Summary	Detail	
83	26311 33432	   	181.18	DCR|2VULN|2DMG|1AART|2FLTHEA	17FLTHEA|26VULN|37BEXP|47DMG|5AART|7BPWR|8RCR|9BELT|aLWND
84	26311 33434	   	181.18	DCR|2VULN|2DMG|1AART|2FLTHEA	17FLTHEA|26VULN|37BEXP|47DMG|5AART|7BPWR|8RCR|9BELT|aLHND
85	26311 33443	   	181.18	DCR|2VULN|2DMG|1AART|2FLTHEA	17FLTHEA|26VULN|37BEXP|47DMG|5AART|7BPWR|8RCR|9RCVC|aLHND
86	26211 33433	   	181.08	DCR|2VULN|2DMG|1AART|2FLTHEA	17FLTHEA|26VULN|37FEWX|47DMG|5AART|7BPWR|8RCR|9BELT|aDUST
87	26211 33442	   	181.08	DCR|2VULN|2DMG|1AART|2FLTHEA	17FLTHEA|26VULN|37FEWX|47DMG|5AART|7BPWR|8RCR|9RCVC|aERES
88	26211 33461	   	181.08	DCR|2VULN|2DMG|1AART|2FLTHEA	17FLTHEA|26VULN|37FEWX|47DMG|5AART|7BPWR|8RCR|9ERES|aRCVC
89	26311 33433	   	181.08	DCR|2VULN|2DMG|1AART|2FLTHEA	17FLTHEA|26VULN|37BEXP|47DMG|5AART|7BPWR|8RCR|9BELT|aDUST
90	26311 33442	   	181.08	DCR|2VULN|2DMG|1AART|2FLTHEA	17FLTHEA|26VULN|37BEXP|47DMG|5AART|7BPWR|8RCR|9RCVC|aERES
91	26311 33461	   	181.08	DCR|2VULN|2DMG|1AART|2FLTHEA	17FLTHEA|26VULN|37BEXP|47DMG|5AART|7BPWR|8RCR|9ERES|aRCVC
92	26211 33462	   	180.98	DCR|2DMG|2VULN|1AART|2FLTHEA	17FLTHEA|26VULN|37FEWX|47DMG|5AART|7BPWR|8RCR|9ERES|aLEGI
93	26311 33462	   	180.98	DCR|2DMG|2VULN|1AART|2FLTHEA	17FLTHEA|26VULN|37BEXP|47DMG|5AART|7BPWR|8RCR|9ERES|aLEGI
94	23611 53422	   	180.76	DCR|2AART|2VULN|2FLTHEA|2ASPD|2DUR	17FLTHEA|26DUR|37ASPD|47VULN|5aAART|7BPWR|8RCR|9LWND
95	13121 31242	   	180.49	ACR|3VULN|2DMG|3ASPD|1DUR	17aASPD|2DUR|379FEWX|4RCR|5RPLT|67aVULN|7aBPWR|8aDMG
96	13621 21242	   	180.49	ACR|3VULN|2DMG|3ASPD|1DUR	17aASPD|2DUR|37aVULN|4RCR|5RPLT|679FEWX|7aBPWR|8aDMG
97	23511 33111	   	180.26	DCR|3VULN|1AART|2FLTHEA|1CDMG|2DUR	17FLTHEA|27DUR|38RMIN|467VULN|5AART|7BPWR|9CDMG|aRCR
