0	Index      	 *	Score 	Summary	Detail	
74	45343 23481	   	198.35	ACR|1BASARM|1ASPD|1CDMG|1AART	1LIT|2RCR|3MBVNT|4AEFBLL|5CDMG|6BASARM|7MDPS|8VULN|9AART|aASPD
75	45343 24235	   	198.35	ACR|1BASARM|1DMG|1CDMG|1AART	1LIT|2RCR|3MBVNT|4AEFBLL|5CDMG|6BASARM|7ERES|8AART|9VULN|aDMG
76	45343 24422	   	198.35	ACR|1BASARM|1ASPD|1CDMG|1AART	1LIT|2RCR|3MBVNT|4AEFBLL|5CDMG|6BASARM|7ERES|8ASPD|9VULN|aAART
77	45343 24622	   	198.35	ACR|1BASARM|1DMG|1CDMG|1AART	1LIT|2RCR|3MBVNT|4AEFBLL|5CDMG|6BASARM|7ERES|8DMG|9VULN|aAART
78	45343 25422	   	198.35	ACR|1BASARM|1ASPD|1CDMG|1AART	1LIT|2RCR|3MBVNT|4AEFBLL|5CDMG|6BASARM|7AME|8ASPD|9VULN|aAART
79	45211 13312	   	198.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LIT|2RCR|3ASPD|4FEWX|5SNIFST|6BEXP|7DMG|8RCVC|9DMSP|aBASARM
80	45231 13312	   	197.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LIT|2RCR|3ASPD|4DUST|5SNIFST|6BEXP|7DMG|8RCVC|9DMSP|aBASARM
81	45242 13312	   	197.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LIT|2RCR|3ASPD|4SNITOX|5DUST|6BEXP|7DMG|8RCVC|9DMSP|aBASARM
82	45314 83133	   	197.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LIT|2RCR|3MBVNT|4CGEN|5ASPD|6DMG|7BASARM|8MLV|9DUST|aBEXP
83	45314 83144	   	197.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LIT|2RCR|3MBVNT|4CGEN|5ASPD|6DMG|7BASARM|8MLV|9MDPS|aBEXP
84	45314 83323	   	197.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LIT|2RCR|3MBVNT|4CGEN|5ASPD|6DMG|7BASARM|8DUST|9RPLT|aBEXP
85	45314 83341	   	197.92	ACR|1BASARM|1ASPD|1DMG|1AART	1LIT|2RCR|3MBVNT|4aCGEN|5ASPD|6DMG|7BASARM|8DUST|9AART
86	45314 83342	   	197.92	ACR|1BASARM|1ASPD|1DMG|1AART	1LIT|2RCR|3MBVNT|4CGEN|5ASPD|6DMG|7BASARM|8DUST|9AART|aLHND
