0	Index      	 *	Score 	Summary	Detail	
117	51361 14122	   	183.48	ACR|1BASARM|1VULN|1ASPD|1BEXP|1SELL	1DUR|2MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8SELL|9FEWX|aZMB
118	51361 21112	   	183.46	ACR|2ASPD|1VULN|2BEXP|1CDMG	17aDUR|2MDPS|3VULN|4RCR|5aASPD|6AEMAG|8CDMG|9aBEXP|aBPWR
119	51361 31112	   	183.46	ACR|2ASPD|1VULN|2BEXP|1CDMG	17aDUR|2MDPS|3VULN|4RCR|5aASPD|6AEFBLL|8CDMG|9aBEXP|aBPWR
120	23522 42633	 * 	183.41	ACR|2DMG|2BEXP|1ASPD|1AART|1SELL	19DUST|2ASPD|39BEXP|4SELL|5RCR|6MDPS|79DMG|8AART|9BPWR|aCGEN
121	51361 14111	   	183.38	ACR|1BASARM|1VULN|1ASPD|1BEXP|1SELL	1DUR|29MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8SELL|aLHND
122	51361 14112	   	183.38	ACR|1BASARM|1VULN|1ASPD|1BEXP|1SELL	1aDUR|29MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8SELL
123	51361 14123	   	183.38	ACR|1BASARM|1VULN|1ASPD|1BEXP|1SELL	1DUR|2MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8SELL|9FEWX|aAME
124	51361 14131	   	183.38	ACR|1BASARM|1VULN|1ASPD|1BEXP|1SELL	1DUR|2MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8SELL|9TLV|aRMIN
125	51361 14132	   	183.38	ACR|1BASARM|1VULN|1ASPD|1BEXP|1SELL	1DUR|2MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8SELL|9TLV|aRPLT
126	51362 23261	   	183.36	ACR|2DMG|1VULN|2BEXP|1CDMG	1DUR|2MDPS|3VULN|4RCR|5aBEXP|6FEWX|78DMG|9CDMG
127	23522 42632	 * 	183.31	ACR|2DMG|2BEXP|1ASPD|1AART|1SELL	19DUST|2ASPD|39BEXP|4SELL|5RCR|6MDPS|79DMG|8AART|9BPWR|aNUKE
128	51361 14133	   	183.28	ACR|1BASARM|1VULN|1ASPD|1BEXP|1SELL	1DUR|2MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8SELL|9TLV|aAME
129	11387 44173	 * 	183.05	ACR|2ASPD|2BEXP|1DMG|2AAC	1MDPS|2DLOT|3MBVNT|49BEXP|5RCR|68AAC|79ASPD|9BPWR|aDMG
130	11317 42171	   	182.94	ACR|1BASARM|2DMG|2AAC	1MDPS|2DLOT|3MBVNT|49FEWX|5RCR|68AAC|79DMG|9BPWR|aBASARM
131	11317 44171	   	182.94	ACR|1BASARM|2ASPD|2AAC	1MDPS|2DLOT|3MBVNT|49FEWX|5RCR|68AAC|79ASPD|9BPWR|aBASARM
132	11347 42171	   	182.94	ACR|1BASARM|2DMG|2AAC	1MDPS|2DLOT|3MBVNT|49LWND|5RCR|68AAC|79DMG|9BPWR|aBASARM
133	11347 44171	   	182.94	ACR|1BASARM|2ASPD|2AAC	1MDPS|2DLOT|3MBVNT|49LWND|5RCR|68AAC|79ASPD|9BPWR|aBASARM
134	13385 12512	   	182.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MDPS|2ASPD|3MBVNT|4AME|5RCR|6CGEN|7MLV|8BASARM|9CDMG|aDMG
135	51361 11153	 * 	182.81	ACR|2VULN|2BEXP|1ASPD|1DMG	1DUR|2MDPS|3aVULN|4RCR|5ASPD|67BEXP|8LWND|9DMG
136	51362 33363	   	182.81	ACR|2VULN|2BEXP|1ASPD|1DMG	1DUR|2MDPS|36VULN|4RCR|58BEXP|7CGEN|9ASPD|aDMG
137	16372 11642	   	182.69	ACR|1BASARM|2BEXP|1ASPD	1MDPS|2CGEN|3MBVNT|4RCR|5DUR|67BEXP|8ASPD|9ZMB|aBASARM
138	16374 11642	   	182.69	ACR|1BASARM|2BEXP|1ASPD	1MDPS|2CGEN|3MBVNT|4RCR|56BEXP|7DUR|8ASPD|9ZMB|aBASARM
139	16374 31642	   	182.69	ACR|1BASARM|2BEXP|1ASPD	1MDPS|2CGEN|3MBVNT|4RCR|57BEXP|6DUR|8ASPD|9ZMB|aBASARM
140	21162 53321	   	182.57	ACR|1BASARM|1DMG|1AART|1AAC	1DUST|2MDPS|3RCVC|4RCR|5AAC|6DMSP|7DMG|8AART|9DUR|aBASARM
141	21162 53361	   	182.57	ACR|1BASARM|1DMG|1AART|1AAC	1DUST|2MDPS|3RCVC|4RCR|5AAC|6DMSP|7DMG|8AART|9LHND|aBASARM
142	21162 43321	   	182.47	ACR|1BASARM|1DMG|1AART|1AAC	16DUST|2MDPS|3RCVC|4RCR|5AAC|7DMG|8AART|9DUR|aBASARM
143	21162 43361	   	182.47	ACR|1BASARM|1DMG|1AART|1AAC	16DUST|2MDPS|3RCVC|4RCR|5AAC|7DMG|8AART|9LHND|aBASARM
144	21162 53311	   	182.47	ACR|1BASARM|1DMG|1AART|1AAC	1DUST|2MDPS|3RCVC|4RCR|5AAC|6DMSP|7DMG|8AART|9MBVNT|aBASARM
145	51361 11152	 * 	182.45	ACR|3BEXP|1VULN|1ASPD|1DMG	1DUR|2MDPS|3VULN|4RCR|5ASPD|67aBEXP|8LWND|9DMG
146	13374 32181	   	182.44	ACR|1BASARM|2ASPD|1AART	1MDPS|28ASPD|3MBVNT|4RMIN|5RCR|67DUR|9AART|aBASARM
147	33112 53512	 * 	182.42	ACR|2VULN|2ASPD|1DMG|1BEXP|1SELL	1LWND|28ASPD|3SELL|4aVULN|5RCR|6BEXP|7CGEN|9DMG
148	33322 53512	 * 	182.42	ACR|2VULN|2ASPD|1DMG|1BEXP|1SELL	1LWND|28ASPD|3aVULN|4SELL|5RCR|6BEXP|7CGEN|9DMG
149	21162 43311	   	182.37	ACR|1BASARM|1DMG|1AART|1AAC	16DUST|2MDPS|3RCVC|4RCR|5AAC|7DMG|8AART|9MBVNT|aBASARM
150	23522 25512	 * 	182.32	ACR|2ASPD|2VULN|1DMG|1BEXP|1SELL	1DUST|28ASPD|3BEXP|4SELL|5RCR|6CGEN|7aVULN|9DMG
