0	Index      	Bounty	 *	Score 	Summary	Detail	
83	22242 33146	2	   	244.62	DCR|3VULN|2DUR|1TLV|1CDMG	1aCGEN|2DUST|3BBNT|49aVULN|5CDMG|6RCR|7TLV|8aDUR|aBPWR
84	61232 52432	8	   	244.44	DCR|2VULN|2DMG|2TLV|2LIT	1aTLV|2ASPD|3aDMG|4ERES|5RPLT|68LIT|7aVULN|9RCR|aBPWR
85	61232 55232	7	   	244.44	DCR|2VULN|2DMG|2TLV|2LIT	1aTLV|2ASPD|3aDMG|4ERES|5RPLT|67LIT|8aVULN|9RCR|aBPWR
86	61223 34361	7	   	244.43	DCR|3VULN|2TLV|1DMG|2ASPD	17TLV|27ASPD|3DMG|4DUST|57aVULN|6LEGI|7BPWR|8LWND|9RCR
87	31154 12124	2	   	244.41	DCR|2VULN|2DUR|1TLV|1DMG|1AART	1BEXP|2RPLT|36DUR|46VULN|5AART|6BPWR|7RCR|8LIT|9TLV|aDMG
88	31324 12124	2	   	244.41	DCR|2VULN|2DUR|1TLV|1DMG|1AART	1BEXP|2RPLT|36VULN|46DUR|5AART|6BPWR|7RCR|8LIT|9TLV|aDMG
89	31354 12124	3	   	244.41	DCR|2VULN|2DUR|1TLV|1DMG|1AART	1BEXP|2RPLT|36DUR|46VULN|5AART|6BPWR|7RCR|8LIT|9TLV|aDMG
90	31524 12124	3	   	244.41	DCR|2VULN|2DUR|1TLV|1DMG|1AART	1BEXP|2RPLT|36VULN|46DUR|5AART|6BPWR|7RCR|8LIT|9TLV|aDMG
91	41154 12123	2	   	244.41	DCR|2VULN|2DUR|1TLV|1DMG|1AART	1FEWX|2RPLT|36DUR|46VULN|5AART|6BPWR|7RCR|8LIT|9TLV|aDMG
92	41324 12123	2	   	244.41	DCR|2VULN|2DUR|1TLV|1DMG|1AART	1FEWX|2RPLT|36VULN|46DUR|5AART|6BPWR|7RCR|8LIT|9TLV|aDMG
93	41524 12123	3	   	244.41	DCR|2VULN|2DUR|1TLV|1DMG|1AART	1FEWX|2RPLT|36VULN|46DUR|5AART|6BPWR|7RCR|8LIT|9TLV|aDMG
94	61223 34271	7	   	244.33	DCR|3VULN|2TLV|1DMG|2ASPD	17TLV|27ASPD|3DMG|4DUST|57aVULN|6LEGI|7BPWR|8MBVNT|9RCR
95	63322 25611	7	   	244.32	DCR|4VULN|3TLV|2LIT	167TLV|25LIT|378aVULN|467BEXP|67BPWR|9RCR
96	41325 16322	2	   	244.30	DCR|3VULN|3DUR|1TLV	1FEWX|2RPLT|356VULN|45aDUR|5BPWR|7LWND|8RCR|9TLV
97	54123 21311	6	   	244.20	DCR|3VULN|3DUR|1TLV	1RCVC|26aDUR|3MLV|4DUST|568VULN|6BPWR|7TLV|9RCR
98	54123 22311	7	   	244.20	DCR|3VULN|3DUR|1TLV	1RCVC|26aDUR|3MLV|4DUST|568VULN|6BPWR|7TLV|9RCR
99	54323 21311	6	   	244.20	DCR|3VULN|3DUR|1TLV	1RCVC|26aDUR|3CGEN|4DUST|568VULN|6BPWR|7TLV|9RCR
100	61263 21163	7	   	244.08	DCR|3VULN|1TLV|3ASPD|1DMG	1TLV|26aASPD|3DMG|4LWND|56aVULN|6aBPWR|7ZMB|8aMLV|9RCR
101	31155 36212	2	   	244.03	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2RPLT|35DUR|45VULN|5BPWR|6TLV|7LWND|8aDMG|9RCR
102	31325 36212	2	   	244.03	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2RPLT|35VULN|45DUR|5BPWR|6TLV|7LWND|8aDMG|9RCR
103	31355 36212	3	   	244.03	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2RPLT|35DUR|45VULN|5BPWR|6TLV|7LWND|8aDMG|9RCR
104	31525 36212	3	   	244.03	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2RPLT|35VULN|45DUR|5BPWR|6TLV|7LWND|8aDMG|9RCR
105	41325 36212	2	   	244.03	DCR|2VULN|2DMG|2DUR|1TLV	1FEWX|2RPLT|35VULN|45DUR|5BPWR|6TLV|7LWND|8aDMG|9RCR
106	61223 21163	7	   	243.98	DCR|3VULN|1TLV|3ASPD|1DMG	1TLV|26aASPD|3DMG|4DUST|56aVULN|6aBPWR|7ZMB|8aMLV|9RCR
