0	Index      	 *	Score 	Summary	Detail	
82	14581 31243	   	191.38	ACR|2ASPD|2BEXP|1AART|1CDMG|1VULN	1MBVNT|2RMIN|3RCR|48MLV|58BEXP|68ASPD|7AART|8BPWR|9VULN|aCDMG
83	14581 41243	   	191.38	ACR|2DMG|2BEXP|1AART|1CDMG|1VULN	1MBVNT|2RMIN|3RCR|48MLV|58BEXP|68DMG|7AART|8BPWR|9VULN|aCDMG
84	14513 31243	   	191.38	ACR|2DMG|2BEXP|1AART|1CDMG|1VULN	1MBVNT|2RMIN|3RCR|48CGEN|58DMG|68BEXP|7AART|8BPWR|9VULN|aCDMG
85	21223 14613	   	191.34	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1TLV|2DUST|36BEXP|4RMIN|5RCR|7CDMG|8BASARM|9DUR|aASPD
86	21223 14636	 * 	191.34	ACR|1BASARM|2BEXP|1DMG|1CDMG	1TLV|2DUST|36BEXP|4RMIN|5RCR|7CDMG|8BASARM|9LIT|aDMG
87	21223 14663	   	191.34	ACR|1BASARM|2BEXP|1DMG|1CDMG	1TLV|2DUST|36BEXP|4RMIN|5RCR|7CDMG|8BASARM|9RPLT|aDMG
88	14543 26225	 * 	191.31	ACR|3VULN|2BEXP|1ASPD|1DMG	1MBVNT|2RMIN|3RCR|47aVULN|59BEXP|6DMG|8ASPD
89	21223 14625	   	191.24	ACR|1BASARM|2BEXP|1DMG|1CDMG	1TLV|2DUST|36BEXP|4RMIN|5RCR|7CDMG|8BASARM|9ERES|aDMG
90	14551 31243	   	191.18	ACR|2ASPD|2BEXP|1AART|1CDMG|1VULN	1MBVNT|2RMIN|3RCR|48ERES|58BEXP|68ASPD|7AART|8BPWR|9VULN|aCDMG
91	14551 41243	   	191.18	ACR|2DMG|2BEXP|1AART|1CDMG|1VULN	1MBVNT|2RMIN|3RCR|48ERES|58BEXP|68DMG|7AART|8BPWR|9VULN|aCDMG
92	14511 34453	 * 	191.00	ACR|3ASPD|3BEXP|1VULN	1MBVNT|2RMIN|3RCR|47CGEN|57aBEXP|679ASPD|7BPWR|8VULN
93	17822 24318	   	190.95	ACR|1BASARM|3BEXP|1AART|1AAC	1MBVNT|247BEXP|37DUST|5RCR|67CGEN|7BPWR|8AART|9BASARM|aAAC
94	17822 83114	   	190.85	ACR|1BASARM|3BEXP|1CDMG|1AAC	1MBVNT|246BEXP|3DUST|5RCR|7LHND|8AAC|9BASARM|aCDMG
95	14511 31256	   	190.85	ACR|2ASPD|2BEXP|1DMG|1AART	1MBVNT|2RMIN|3RCR|48CGEN|58BEXP|68ASPD|7AART|8BPWR|9DMG|aDUR
96	14511 31257	   	190.85	ACR|2ASPD|2BEXP|1DMG|1AART	1MBVNT|2RMIN|3RCR|48CGEN|58BEXP|68ASPD|7AART|8BPWR|9DMG|aRCVC
97	14511 41287	   	190.85	ACR|2DMG|2BEXP|1ASPD|1AART	1MBVNT|2RMIN|3RCR|48CGEN|58BEXP|68DMG|7AART|8BPWR|9LIT|aASPD
98	14511 44158	   	190.85	ACR|2DMG|2BEXP|1ASPD|1CDMG	1MBVNT|2RMIN|3RCR|47CGEN|57BEXP|67DMG|7BPWR|8LHND|9ASPD|aCDMG
99	14581 31251	   	190.85	ACR|2ASPD|2BEXP|1DMG|1AART	1MBVNT|2RMIN|3RCR|48MLV|58BEXP|68ASPD|7AART|8BPWR|9DMG|aCGEN
100	14513 31287	   	190.85	ACR|2DMG|2BEXP|1ASPD|1AART	1MBVNT|2RMIN|3RCR|48CGEN|58DMG|68BEXP|7AART|8BPWR|9LIT|aASPD
101	14513 34158	   	190.85	ACR|2DMG|2BEXP|1ASPD|1CDMG	1MBVNT|2RMIN|3RCR|47CGEN|57DMG|67BEXP|7BPWR|8LHND|9ASPD|aCDMG
102	14511 31251	   	190.75	ACR|2ASPD|2BEXP|1DMG|1AART	1MBVNT|2RMIN|3RCR|48CGEN|58BEXP|68ASPD|7AART|8BPWR|9DMG|aERES
103	14511 31252	   	190.75	ACR|2ASPD|2BEXP|1DMG|1AART	1MBVNT|2RMIN|3RCR|48CGEN|58BEXP|68ASPD|7AART|8BPWR|9DMG|aAEMAG
104	14511 31253	   	190.75	ACR|2ASPD|2BEXP|1DMG|1AART	1MBVNT|2RMIN|3RCR|48CGEN|58BEXP|68ASPD|7AART|8BPWR|9DMG|aDUST
105	14511 31254	   	190.75	ACR|2ASPD|2BEXP|1DMG|1AART	1MBVNT|2RMIN|3RCR|48CGEN|58BEXP|68ASPD|7AART|8BPWR|9DMG|aMDPS
106	14511 31255	   	190.75	ACR|2ASPD|2BEXP|1DMG|1AART	1MBVNT|2RMIN|3RCR|48CGEN|58BEXP|68ASPD|7AART|8BPWR|9DMG|aAEFBLL
107	14511 31258	   	190.75	ACR|2ASPD|2BEXP|1DMG|1AART	1MBVNT|2RMIN|3RCR|48CGEN|58BEXP|68ASPD|7AART|8BPWR|9DMG|aAME
108	14581 31252	   	190.75	ACR|2ASPD|2BEXP|1DMG|1AART	1MBVNT|2RMIN|3RCR|48MLV|58BEXP|68ASPD|7AART|8BPWR|9DMG|aAEFBLL
109	14581 31253	   	190.75	ACR|2ASPD|2BEXP|1DMG|1AART	1MBVNT|2RMIN|3RCR|48MLV|58BEXP|68ASPD|7AART|8BPWR|9DMG|aDUST
110	14581 31254	   	190.75	ACR|2ASPD|2BEXP|1DMG|1AART	1MBVNT|2RMIN|3RCR|48MLV|58BEXP|68ASPD|7AART|8BPWR|9DMG|aMDPS
111	14551 31213	   	190.65	ACR|2ASPD|2BEXP|1DMG|1AART	1MBVNT|29RMIN|3RCR|48ERES|58BEXP|68ASPD|7AART|8BPWR|aDMG
112	14551 31251	   	190.65	ACR|2ASPD|2BEXP|1DMG|1AART	1MBVNT|2RMIN|3RCR|48ERES|58BEXP|68ASPD|7AART|8BPWR|9DMG|aCGEN
113	14551 31233	   	190.55	ACR|2ASPD|2BEXP|1DMG|1AART	1MBVNT|2RMIN|3RCR|48ERES|58BEXP|68ASPD|7AART|8BPWR|9AEMAG|aDMG
114	14551 31252	   	190.55	ACR|2ASPD|2BEXP|1DMG|1AART	1MBVNT|2RMIN|3RCR|48ERES|58BEXP|68ASPD|7AART|8BPWR|9DMG|aAEMAG
115	14551 31253	   	190.55	ACR|2ASPD|2BEXP|1DMG|1AART	1MBVNT|2RMIN|3RCR|48ERES|58BEXP|68ASPD|7AART|8BPWR|9DMG|aDUST
116	14551 31254	   	190.55	ACR|2ASPD|2BEXP|1DMG|1AART	1MBVNT|2RMIN|3RCR|48ERES|58BEXP|68ASPD|7AART|8BPWR|9DMG|aMDPS
117	14543 24283	   	190.43	ACR|2DMG|2VULN|1ASPD|1BEXP|1AAC	1MBVNT|2RMIN|3RCR|49VULN|5BEXP|67DMG|8ASPD|aAAC
118	14543 26253	   	190.43	ACR|2ASPD|2VULN|1DMG|1BEXP|1AAC	1MBVNT|2RMIN|3RCR|47VULN|5BEXP|6DMG|89ASPD|aAAC
119	51312 34633	   	190.06	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AART	1ASPD|2DUST|3AME|4AEMAG|5RCR|6BEXP|7CDMG|8BASARM|9LIT|aAART
120	32655 31221	 * 	189.92	ACR|2ASPD|2DMG|1BASICY|1BEXP	12LHND|3RCVC|48ASPD|5RCR|6BEXP|7aDMG|9BASICY
121	14545 24213	 * 	189.85	ACR|3DMG|3VULN|1CDMG	1MBVNT|2RMIN|3RCR|48aVULN|58LWND|678DMG|8BPWR|9CDMG
122	33655 31221	   	189.82	ACR|2ASPD|2DMG|1BASICY|1BEXP	1LHND|2AEFBLL|3RCVC|48ASPD|5RCR|6BEXP|7aDMG|9BASICY
123	14548 24213	   	189.65	ACR|3DMG|3VULN|1CDMG	1MBVNT|2RMIN|3RCR|48aVULN|58DUST|678DMG|8BPWR|9CDMG
124	17822 24311	   	189.59	ACR|1BASARM|3BEXP|1AART|1VULN	1MBVNT|247BEXP|37DUST|5RCR|67CGEN|7BPWR|8AART|9BASARM|aVULN
125	14513 45138	   	189.47	ACR|2ASPD|1DMG|1AART|1BEXP|1CDMG	1MBVNT|2RMIN|3RCR|4CGEN|5DMG|69ASPD|7CDMG|8AART|aBEXP
126	14511 34464	 * 	189.03	ACR|2ASPD|3VULN|2BEXP	1MBVNT|2RMIN|3RCR|47CGEN|57BEXP|67ASPD|7BPWR|89aVULN
127	14541 14631	 * 	189.03	ACR|2DMG|3VULN|2BEXP	1MBVNT|2RMIN|3RCR|48aVULN|5CGEN|68BEXP|78DMG|8BPWR|9LHND
128	14541 14641	   	189.03	ACR|2DMG|3VULN|2BEXP	1MBVNT|2RMIN|3RCR|48aVULN|5CGEN|68BEXP|78DMG|8BPWR|9FEWX
129	14541 14661	   	189.03	ACR|2DMG|3VULN|2BEXP	1MBVNT|2RMIN|3RCR|48aVULN|5CGEN|68BEXP|78DMG|8BPWR|9LWND
130	14541 14681	   	189.03	ACR|2DMG|3VULN|2BEXP	1MBVNT|2RMIN|3RCR|48aVULN|5CGEN|68BEXP|78DMG|8BPWR|9DUR
131	14543 84614	   	189.03	ACR|2DMG|3VULN|2BEXP	1MBVNT|2RMIN|3RCR|48aVULN|59BEXP|68CGEN|78DMG|8BPWR
132	14511 35614	   	189.03	ACR|2ASPD|3VULN|2BEXP	1MBVNT|2RMIN|3RCR|48CGEN|59BEXP|68ASPD|78aVULN|8BPWR
133	14511 45614	   	189.03	ACR|2DMG|3VULN|2BEXP	1MBVNT|2RMIN|3RCR|48CGEN|59BEXP|68DMG|78aVULN|8BPWR
134	14511 34417	   	188.99	ACR|3BEXP|2ASPD|1CDMG|1VULN	1MBVNT|2RMIN|3RCR|47CGEN|579BEXP|67ASPD|7BPWR|8VULN|aCDMG
135	14511 44417	   	188.99	ACR|3BEXP|2DMG|1CDMG|1VULN	1MBVNT|2RMIN|3RCR|47CGEN|579BEXP|67DMG|7BPWR|8VULN|aCDMG
136	14513 34417	   	188.99	ACR|3BEXP|2DMG|1CDMG|1VULN	1MBVNT|2RMIN|3RCR|47CGEN|57DMG|679BEXP|7BPWR|8VULN|aCDMG
137	17412 34434	 * 	188.96	ACR|1BASARM|3BEXP|1DMG	1MBVNT|236BEXP|3BPWR|4AEMAG|5RCR|7MLV|8CGEN|9DMG|aBASARM
138	17412 34774	   	188.96	ACR|1BASARM|3BEXP|1DMG	1MBVNT|236BEXP|3BPWR|4AEMAG|5RCR|7MLV|8DMG|9FEWX|aBASARM
139	52361 41332	   	188.95	ACR|1BASARM|2ASPD|1BEXP|1AAC	14ASPD|29LWND|3LIT|5RCR|6LHND|7AAC|8BEXP|aBASARM
140	14543 83441	   	188.93	ACR|2ASPD|3VULN|2BEXP	1MBVNT|2RMIN|3RCR|49aVULN|5aBEXP|6CGEN|7TLV|8aASPD|aBPWR
141	17412 31774	   	188.86	ACR|1BASARM|3BEXP|1DMG	1MBVNT|236BEXP|3BPWR|4AEMAG|5RCR|7ERES|8DMG|9FEWX|aBASARM
142	17412 31434	   	188.86	ACR|1BASARM|3BEXP|1DMG	1MBVNT|236BEXP|3BPWR|4AEMAG|5RCR|7ERES|8CGEN|9DMG|aBASARM
143	52361 12412	   	188.85	ACR|1BASARM|2ASPD|1CDMG|1AAC	14ASPD|2LWND|3LIT|5RCR|6BELT|7CDMG|8AAC|9MDPS|aBASARM
144	14543 37441	   	188.83	ACR|2ASPD|3VULN|2BEXP	1MBVNT|2RMIN|3RCR|49aVULN|5aBEXP|67AEFBLL|8aASPD|aBPWR
145	17412 36511	   	188.76	ACR|1BASARM|3BEXP|1ASPD	1MBVNT|236BEXP|3BPWR|4AEMAG|5RCR|7MDPS|8ASPD|9BASARM|aTLV
146	17412 36513	   	188.76	ACR|1BASARM|3BEXP|1ASPD	1MBVNT|236BEXP|3BPWR|4AEMAG|5RCR|7MDPS|8ASPD|9BASARM|aDUST
147	14513 34542	 * 	188.67	ACR|3BEXP|2DMG|1ASPD	1MBVNT|2RMIN|3RCR|479CGEN|57DMG|679BEXP|79BPWR|89LIT|aASPD
148	14523 37327	 * 	188.54	ACR|2DMG|2VULN|1ASPD|1BASICY	1MBVNT|2RMIN|3RCR|48DUST|5RPLT|68DMG|78VULN|8BPWR|9ASPD|aBASICY
149	14541 14611	   	188.37	ACR|3BEXP|2DMG|2VULN	1MBVNT|2RMIN|3RCR|48VULN|5CGEN|689BEXP|78DMG|8BPWR|aLHND
