0	Index      	 *	Score 	Summary	Detail	
74	21512 21115	   	199.35	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1ZMB|1DUR|1MSE	1DUR|2ASPD|3MDPS|4VULN|56DMG|7ZMB|8RCR|9AART|aMSE
75	21512 21136	   	199.35	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1ZMB|1DUR	1DUR|2ASPD|3MDPS|4VULN|56DMG|7ZMB|8RCR|9MBVNT|aAART
76	21525 21112	   	199.35	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1ZMB|1DUR	1DUR|2ASPD|3MDPS|46DMG|5VULN|7ZMB|8RCR|9AART|aDUST
77	21525 21114	   	199.35	DCR|2DMG|1MDPS|1AART|1VULN|1ASPD|1ZMB|1DUR	1DUR|2ASPD|3MDPS|46DMG|5VULN|7ZMB|8RCR|9AART|aLEGI
78	21525 21115	   	199.35	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1ZMB|1DUR|1MSE	1DUR|2ASPD|3MDPS|46DMG|5VULN|7ZMB|8RCR|9AART|aMSE
79	21525 21136	   	199.35	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1ZMB|1DUR	1DUR|2ASPD|3MDPS|46DMG|5VULN|7ZMB|8RCR|9MBVNT|aAART
80	21565 21112	   	199.35	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1ZMB|1DUR	1DUR|2ASPD|3MDPS|4ZMB|5VULN|67DMG|8RCR|9AART|aDUST
81	54331 13411	   	199.16	DCR|2VULN|2DMG|1AART|1AAC|1ZMB	1RCVC|2ZMB|36DMG|4AART|56VULN|6BPWR|7LWND|8RCR|9LHND|aAAC
82	54331 13421	   	199.04	DCR|2VULN|2DMG|1AART|2ZMB	1RCVC|29ZMB|36DMG|4AART|56VULN|6BPWR|7LWND|8RCR|aRMIN
83	54331 13422	   	198.94	DCR|2VULN|2DMG|1AART|2ZMB	1RCVC|29ZMB|36DMG|4AART|56VULN|6BPWR|7LWND|8RCR|aTLV
84	21431 33421	 * 	198.94	DCR|3ASPD|1AART|1DMG|3DUR|2ZMB	15aDUR|26aASPD|3DUST|4AART|7DMG|8RCR|9aZMB|aBPWR
85	21231 12444	   	198.76	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	15DUR|2ASPD|3DLOT|49VULN|6DMG|7RCVC|8RCR|aAART
86	16536 33311	   	198.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|236VULN|4DUR|5LIT|7DMG|8AART|9RCR|aZMB
87	21224 32324	 * 	198.06	DCR|3ASPD|2VULN|3DUR|1CDMG	148DUR|246ASPD|3DLOT|48BPWR|58VULN|78BEXP|9CDMG|aRCR
88	21224 35324	   	198.06	DCR|3ASPD|2VULN|3DUR|1CDMG	148DUR|246ASPD|3DLOT|48BPWR|58VULN|78LWND|9CDMG|aRCR
89	46124 23311	   	198.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1LIT|246VULN|3DUR|5ASPD|7DUST|8AART|9RCR|aZMB
90	61252 62221	   	198.01	DCR|2VULN|1MDPS|2ASPD|1DMG|1NUKE	1BEXP|29ASPD|3DLOT|4MDPS|5DMG|6RCR|78VULN|aNUKE
91	32263 12413	   	197.87	DCR|2VULN|1ASPD|1DMG|1NUKE|1CDMG	1TLV|2RCVC|36VULN|4ASPD|5BEXP|7DMG|8CDMG|9RCR|aNUKE
92	21224 31324	   	197.86	DCR|3ASPD|2VULN|3DUR|1CDMG	148DUR|246ASPD|3DLOT|48BPWR|58VULN|78DUST|9CDMG|aRCR
93	21515 23321	 * 	197.86	DCR|1MDPS|2ASPD|1VULN|1AART|2CDMG|3DUR	15aDUR|2aASPD|3MDPS|4VULN|6AART|7CGEN|8aCDMG|9RCR|aBPWR
94	24523 36231	 * 	197.81	ACR|3VULN|2AART|1DMG|1CDMG|1DUR	1DUR|2SNIFST|367VULN|4RCR|58AART|9CDMG|aDMG
95	24523 36232	 * 	197.81	ACR|3VULN|2AART|1ASPD|1CDMG|1DUR	1DUR|2SNIFST|367VULN|4RCR|58AART|9CDMG|aASPD
96	16626 31122	   	197.72	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	1FEWX|24VULN|3DMG|5AART|69ASPD|7MDPS|8RCR|aTLV
97	16621 31413	 * 	197.59	DCR|3DMG|2VULN|1NUKE|1CDMG|1ZMB	1FEWX|24VULN|36aDMG|5ZMB|7NUKE|8CDMG|9RCR
98	21522 53213	 * 	196.85	DCR|2VULN|1MDPS|2ASPD|1DMG|3DUR	189DUR|28ASPD|3MDPS|4DMG|5MLV|6RCR|78VULN|8BPWR|aCGEN
99	21522 53214	   	196.85	DCR|2VULN|1MDPS|2ASPD|1DMG|3DUR	189DUR|28ASPD|3MDPS|4DMG|5MLV|6RCR|78VULN|8BPWR|aBEXP
100	21522 53215	   	196.85	DCR|2VULN|1MDPS|2ASPD|1DMG|3DUR	189DUR|28ASPD|3MDPS|4DMG|5MLV|6RCR|78VULN|8BPWR|aLIT
101	21522 53216	   	196.85	DCR|2VULN|1MDPS|2ASPD|1DMG|3DUR	189DUR|28ASPD|3MDPS|4DMG|5MLV|6RCR|78VULN|8BPWR|aRMIN
102	21522 53222	   	196.85	DCR|2VULN|1MDPS|2ASPD|1DMG|3DUR	18aDUR|28ASPD|3MDPS|4DMG|5MLV|6RCR|78VULN|8BPWR|9CGEN
103	21522 53235	   	196.85	DCR|2VULN|1MDPS|2ASPD|1DMG|3DUR	18aDUR|28ASPD|3MDPS|4DMG|5MLV|6RCR|78VULN|8BPWR|9LHND
104	21356 53131	   	196.78	DCR|2VULN|2ASPD|1DMG|1ZMB|1DUR	1DUR|2aASPD|34LIT|5ZMB|6RCR|7DMG|89VULN
105	21522 53211	   	196.75	DCR|2VULN|1MDPS|2ASPD|1DMG|3DUR	189DUR|28ASPD|3MDPS|4DMG|5MLV|6RCR|78VULN|8BPWR|aMBVNT
106	21522 53212	   	196.75	DCR|2VULN|1MDPS|2ASPD|1DMG|3DUR	189DUR|28ASPD|3MDPS|4DMG|5MLV|6RCR|78VULN|8BPWR|aDUST
107	21523 53213	   	196.75	DCR|2VULN|1MDPS|2ASPD|1DMG|3DUR	189DUR|28ASPD|3MDPS|4DMG|5TLV|6RCR|78VULN|8BPWR|aCGEN
108	21523 53214	   	196.75	DCR|2VULN|1MDPS|2ASPD|1DMG|3DUR	189DUR|28ASPD|3MDPS|4DMG|5TLV|6RCR|78VULN|8BPWR|aBEXP
109	21523 53215	   	196.75	DCR|2VULN|1MDPS|2ASPD|1DMG|3DUR	189DUR|28ASPD|3MDPS|4DMG|5TLV|6RCR|78VULN|8BPWR|aLIT
110	21523 53216	   	196.75	DCR|2VULN|1MDPS|2ASPD|1DMG|3DUR	189DUR|28ASPD|3MDPS|4DMG|5TLV|6RCR|78VULN|8BPWR|aRMIN
111	21523 53222	   	196.75	DCR|2VULN|1MDPS|2ASPD|1DMG|3DUR	18aDUR|28ASPD|3MDPS|4DMG|5TLV|6RCR|78VULN|8BPWR|9CGEN
112	21523 53235	   	196.75	DCR|2VULN|1MDPS|2ASPD|1DMG|3DUR	18aDUR|28ASPD|3MDPS|4DMG|5TLV|6RCR|78VULN|8BPWR|9LHND
113	21523 53262	   	196.75	DCR|2VULN|1MDPS|2ASPD|1DMG|3DUR	18aDUR|28ASPD|3MDPS|4DMG|5TLV|6RCR|78VULN|8BPWR|9MLV
114	21523 53211	   	196.65	DCR|2VULN|1MDPS|2ASPD|1DMG|3DUR	189DUR|28ASPD|3MDPS|4DMG|5TLV|6RCR|78VULN|8BPWR|aMBVNT
115	21523 53212	   	196.65	DCR|2VULN|1MDPS|2ASPD|1DMG|3DUR	189DUR|28ASPD|3MDPS|4DMG|5TLV|6RCR|78VULN|8BPWR|aDUST
