0	Index      	 *	Score 	Summary	Detail	
92	26223 32366	   	199.25	DCR|1SPLARM|2VULN|1AART|1ASPD|1CDMG	1AART|2aVULN|3DUST|4RMIN|5LHND|6SPLARM|7ASPD|8CDMG|9RCR
93	26113 53216	   	199.14	DCR|2VULN|2DMG|1AART|2DUR	1AART|2aVULN|3CGEN|4aDUR|5LHND|6LWND|7RMIN|8RCR|9aDMG|aBPWR
94	26112 43216	   	199.04	DCR|2VULN|2DMG|1AART|2DUR	1AART|2aVULN|3CGEN|4aDUR|5LWND|6DUST|7RMIN|8RCR|9aDMG|aBPWR
95	26113 43216	   	199.04	DCR|2VULN|2DMG|1AART|2DUR	1AART|2aVULN|3CGEN|4aDUR|5LHND|6DUST|7RMIN|8RCR|9aDMG|aBPWR
96	31254 23216	   	199.04	DCR|2VULN|2DMG|1AART|2DUR	1aVULN|2FEWX|3aDUR|4ERES|5LHND|6AART|7RMIN|8RCR|9aDMG|aBPWR
97	33334 23216	   	199.04	DCR|2VULN|2DMG|1AART|2DUR	1aVULN|2ERES|3aDUR|4FEWX|5LHND|6AART|7RMIN|8RCR|9aDMG|aBPWR
98	33238 51634	   	198.68	DCR|2VULN|2DMG|1AART|2ZMB	19VULN|25ERES|39ZMB|4MBVNT|6RCR|79DMG|8AART|9BPWR|aCGEN
99	26226 32152	 * 	197.93	DCR|1SPLARM|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2VULN|3DUST|4RMIN|5DUR|6SPLARM|7ASPD|8DMG|9CDMG|aRCR
100	22213 55613	   	197.86	DCR|2VULN|2AART|1ASPD|1CDMG|1AAC	14AART|2AAC|35FEWX|69VULN|7RCR|8CDMG|aASPD
101	43353 22216	   	197.76	DCR|2VULN|1MDPS|2DMG|1AART|2ZMB	1aZMB|2MDPS|3aVULN|4RCVC|5LHND|6AART|7AME|8RCR|9aDMG|aBPWR
102	23131 63613	   	197.62	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC	1AART|2CDMG|3BEXP|479VULN|5AELBLL|6AAC|8RCR|aASPD
103	23134 63613	   	197.62	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC	1AART|2CDMG|35BEXP|479VULN|6AAC|8RCR|aASPD
104	23521 63613	   	197.62	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC	1AART|2CDMG|379VULN|4FEWX|5AELBLL|6AAC|8RCR|aASPD
105	23543 23211	   	197.62	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2CDMG|347VULN|5MULFIG|6DUST|8RCR|9LHND|aDMG
106	23543 23221	   	197.62	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2CDMG|347VULN|5MULFIG|6DUST|8RCR|9BEXP|aDMG
107	23543 23241	   	197.62	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2CDMG|347VULN|5MULFIG|6DUST|8RCR|9LWND|aDMG
108	26324 35132	   	197.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1aAART|2VULN|3LIT|4ASPD|5DUST|6DMG|7RCR|8CDMG|9BEXP
109	23543 23231	   	197.52	DCR|3VULN|1AART|1ASPD|1CDMG	1AART|2CDMG|347VULN|5MULFIG|6DUST|8RCR|9TLV|aASPD
110	23543 23251	   	197.52	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2CDMG|347VULN|5MULFIG|6DUST|8RCR|9LEGI|aDMG
111	21323 31225	 * 	197.32	1SPLARM|2VULN|2AART|1MDPS|1ASPD|1DMG	17AART|2DUST|3RMIN|4ASPD|5DMG|6SPLARM|8aVULN|9MDPS
112	26453 23121	   	197.30	DCR|2VULN|2AART|2DMG	19AART|24VULN|34DMG|4BPWR|5FEWX|6LIT|7DUST|8RCR|aLHND
113	26453 23122	   	197.30	DCR|2VULN|2AART|2DMG	19AART|24VULN|34DMG|4BPWR|5FEWX|6aLIT|7DUST|8RCR
