0	Index      	Bounty	 *	Score 	Summary	Detail	
108	41633 34221	7	   	257.27	DCR|3VULN|2DMG|2ASPD|1CDMG|1SELL	1SELL|26ASPD|3MLV|4aDMG|567VULN|6BPWR|8RCR|9CDMG
109	14321 23513	2	   	257.23	DCR|4VULN|3LIT|1DMG|1AART	1ERES|256LIT|3RMIN|456aVULN|56BPWR|7DMG|8RCR|9AART
110	61325 61213	3	 * 	257.01	DCR|3VULN|2DUR|2ASPD|2CDMG	1aCDMG|2aASPD|37DUR|4LWND|56aVULN|8RCR|9BBNT|aBPWR
111	23553 32352	4	   	256.98	DCR|5VULN|1DUR|1CDMG	1RMIN|2DUR|3569aVULN|4MLV|7CDMG|8RCR
112	23523 62352	4	   	256.88	DCR|5VULN|1DUR|1CDMG	1RMIN|2DUR|3569aVULN|4ERES|7CDMG|8RCR
113	51541 22212	7	   	256.88	DCR|5VULN|1TLV|1CDMG	1LWND|2TLV|34678VULN|5DUST|9CDMG|aRCR
114	33644 22222	4	   	256.77	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1LHND|2DUR|3TLV|47aVULN|5LIT|6DMG|8ASPD|9RCR
115	33644 32222	6	   	256.77	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1LHND|2DUR|3TLV|47aVULN|5DMG|6LIT|8ASPD|9RCR
116	33664 22222	3	   	256.77	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1LHND|2DUR|3TLV|47aVULN|5LIT|6DMG|8ASPD|9RCR
117	51514 22222	4	   	256.77	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1LWND|2TLV|37aVULN|4DUR|5LIT|6DMG|8ASPD|9RCR
118	51514 32222	6	   	256.77	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1LWND|2TLV|37aVULN|4DUR|5DMG|6LIT|8ASPD|9RCR
119	22421 12653	1	   	256.57	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1RMIN|2RPLT|3BELT|49DUR|5CDMG|69DMG|7RCR|89VULN|9BPWR|aTLV
120	61116 33216	1	   	256.37	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1CDMG|2aDUR|3TLV|4RPLT|5ERES|6RCR|7aVULN|8DUST|9aDMG|aBPWR
121	62116 33216	2	   	256.37	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1CDMG|2aDUR|3TLV|4RPLT|5ERES|6RCR|7aVULN|8DUST|9aDMG|aBPWR
122	54221 23533	3	   	256.26	DCR|3VULN|2DMG|3LIT|1CDMG	12LWND|356LIT|456VULN|56BPWR|79DMG|8RCR|aCDMG
123	53523 21243	7	   	256.15	DCR|2VULN|3DUR|2DMG|1TLV	149LWND|238DUR|59DMG|69VULN|7RCR|9BPWR|aTLV
124	53523 21343	8	   	256.15	DCR|2VULN|3DUR|2DMG|1TLV	149LWND|238DUR|59DMG|69VULN|7RCR|9BPWR|aTLV
125	21353 52254	1	   	256.05	DCR|2VULN|3DUR|2DMG|1TLV	1RMIN|269DUR|3RCVC|49DMG|59VULN|7MBVNT|8RCR|9BPWR|aTLV
126	23153 52254	3	   	256.05	DCR|2VULN|3DUR|2DMG|1TLV	13RMIN|269DUR|49DMG|59VULN|7MBVNT|8RCR|9BPWR|aTLV
127	23353 52254	2	   	256.05	DCR|2VULN|3DUR|2DMG|1TLV	1RMIN|269DUR|3RCVC|49DMG|59VULN|7MBVNT|8RCR|9BPWR|aTLV
128	23152 21624	3	   	255.98	DCR|2VULN|3DMG|2DUR|1CDMG	135RMIN|27DUR|478DMG|67VULN|7BPWR|9CDMG|aRCR
129	21435 33324	1	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	1RMIN|29DUR|3RPLT|489VULN|5DMG|6DUST|79CDMG|9BPWR|aRCR
130	23221 12241	4	 * 	255.86	DCR|3VULN|2DUR|3LIT|1DMG	1RMIN|27DUR|347LIT|567VULN|7BPWR|8DMG|9CGEN|aRCR
131	23435 33324	2	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	1RMIN|29DUR|3RPLT|489VULN|5DMG|6DUST|79CDMG|9BPWR|aRCR
132	54221 23611	3	   	255.86	DCR|3VULN|2DUR|3LIT|1DMG	12LWND|356LIT|456VULN|56BPWR|7DMG|89DUR|aRCR
133	66221 24143	10	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	19CDMG|29aVULN|3MLV|4DMSP|5DMG|6MBVNT|7RCR|89DUR|9BPWR
134	66241 24141	10	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	19CDMG|249VULN|3MLV|5DMG|6MBVNT|7RCR|89DUR|9BPWR|aFEWX
135	66241 24142	9	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	19CDMG|249VULN|3MLV|5DMG|6MBVNT|7RCR|89DUR|9BPWR|aRCVC
136	66241 24144	10	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	19CDMG|249VULN|3MLV|5DMG|6MBVNT|7RCR|89DUR|9BPWR|aBEXP
137	66241 24144	9	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	19CDMG|249VULN|3MLV|5DMG|6MBVNT|7RCR|89DUR|9BPWR|aRPLT
138	66251 24143	10	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	19CDMG|29aVULN|34MLV|5DMG|6MBVNT|7RCR|89DUR|9BPWR
139	22115 33324	1	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	1RMIN|2RPLT|389VULN|49DUR|5DMG|6DUST|79CDMG|9BPWR|aRCR
140	25115 33324	2	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	1RMIN|2RPLT|389VULN|49DUR|5DMG|6DUST|79CDMG|9BPWR|aRCR
141	62411 23324	3	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	19CDMG|29DUR|3DMG|4RPLT|5DUST|689VULN|7RMIN|9BPWR|aRCR
142	66241 24141	9	   	255.76	DCR|3VULN|2DUR|1DMG|2CDMG	19CDMG|249VULN|3MLV|5DMG|6MBVNT|7RCR|89DUR|9BPWR|aTBNT
143	66241 24142	10	   	255.76	DCR|3VULN|2DUR|1DMG|2CDMG	19CDMG|249VULN|3MLV|5DMG|6MBVNT|7RCR|89DUR|9BPWR|aERES
144	66241 24143	9	   	255.76	DCR|3VULN|2DUR|1DMG|2CDMG|1NUKE	19CDMG|249VULN|3MLV|5DMG|6MBVNT|7RCR|89DUR|9BPWR|aNUKE
145	23652 31612	3	   	255.55	DCR|2VULN|3DMG|3DUR	158RMIN|236DUR|46aDMG|6aBPWR|7aVULN|9RCR
