0	Index      	 *	Score 	Summary	Detail	
80	14322 22112	   	191.56	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART	1BEXP|2VULN|36LIT|4ERES|5RCR|7AART|8BASARM|9LWND|aASPD
81	23534 62115	   	191.42	ACR|2VULN|2DMG|2BEXP|1AART	17DMG|2LHND|3MBVNT|47DUST|5RCR|67VULN|7BPWR|8aBEXP|9AART
82	25534 62424	   	191.42	ACR|2VULN|2DMG|2BEXP|1AART	17DMG|2LEGI|3MBVNT|47BEXP|5RCR|67VULN|7BPWR|8ERES|9CGEN|aAART
83	25534 62442	   	191.32	ACR|2VULN|2DMG|2BEXP|1AART	17DMG|2LEGI|3MBVNT|47BEXP|5RCR|67VULN|7BPWR|89ERES|aAART
84	23534 62152	   	191.28	ACR|3DMG|2VULN|2BEXP	179DMG|29LHND|3MBVNT|47DUST|5RCR|67VULN|79BPWR|89BEXP|aLWND
85	31541 11531	 * 	191.19	ACR|2VULN|2BEXP|3CDMG|1DMG	1AAC|2aBEXP|39aCDMG|4RCR|5ERES|6MDPS|7DMG|8aVULN|aBPWR
86	31543 31531	   	191.19	ACR|2VULN|2BEXP|3CDMG|1DMG	1AAC|2aBEXP|39aCDMG|4RCR|5MDPS|6ERES|7DMG|8aVULN|aBPWR
87	23534 62153	   	191.18	ACR|3DMG|2VULN|2BEXP	179DMG|29LHND|3MBVNT|47DUST|5RCR|67VULN|79BPWR|89BEXP|aMDPS
88	23534 62154	   	191.18	ACR|3DMG|2VULN|2BEXP	179DMG|29LHND|3MBVNT|47aDUST|5RCR|67VULN|79BPWR|89BEXP
89	26514 27433	   	191.08	ACR|3DMG|2VULN|2BEXP	19aDMG|2aVULN|3MBVNT|4LHND|5RCR|6ERES|7aBEXP|8MDPS|aBPWR
90	26514 37433	   	191.08	ACR|3DMG|2VULN|2BEXP	19aDMG|2aVULN|3MBVNT|4LHND|5RCR|6TLV|7aBEXP|8MDPS|aBPWR
91	26524 24841	   	190.94	ACR|3DMG|2VULN|2BEXP|1SELL	19aDMG|29VULN|3MBVNT|4LWND|5RCR|6ERES|7SELL|89BEXP|9BPWR
92	26524 27341	   	190.94	ACR|3DMG|2VULN|2BEXP|1SELL	19aDMG|29VULN|3MBVNT|4LWND|5RCR|6ERES|79BEXP|8SELL|9BPWR
93	26524 34841	   	190.94	ACR|3DMG|2VULN|2BEXP|1SELL	19aDMG|29VULN|3MBVNT|4LWND|5RCR|6TLV|7SELL|89BEXP|9BPWR
94	26524 37341	   	190.94	ACR|3DMG|2VULN|2BEXP|1SELL	19aDMG|29VULN|3MBVNT|4LWND|5RCR|6TLV|79BEXP|8SELL|9BPWR
95	31545 21111	 * 	190.63	ACR|2BEXP|2CDMG|1DMG|1ASPD|1VULN	1AAC|27BEXP|35CDMG|4RCR|6DMG|8ASPD|9FEWX|aVULN
96	31545 21131	   	190.63	ACR|2BEXP|2CDMG|1DMG|1ASPD|1VULN	1AAC|27BEXP|35CDMG|4RCR|6DMG|8ASPD|9LWND|aVULN
97	54521 11333	   	190.03	ACR|1BASARM|1VULN|2BEXP|1AART	1BELT|2VULN|38BEXP|4RCR|5NUKE|6RMIN|7BASARM|9CGEN|aAART
98	53233 62134	   	189.47	ACR|2DMG|1ASPD|1BEXP|1AART|1CDMG	1BELT|2LIT|3RCR|4MDPS|5CDMG|6aDMG|7AART|8ASPD|9BEXP
99	53233 62136	   	189.41	ACR|1ASPD|1DMG|1VULN|1AART|1BEXP|1CDMG	1BELT|2LIT|3RCR|4MDPS|5CDMG|6DMG|7AART|8ASPD|9BEXP|aVULN
100	25534 62433	   	189.08	ACR|2VULN|2DMG|2BEXP|1CDMG	17DMG|2LEGI|3MBVNT|47BEXP|5RCR|67VULN|7BPWR|8ERES|9CDMG|aLIT
101	25534 62434	   	189.08	ACR|2VULN|2DMG|2BEXP|1CDMG	17DMG|2LEGI|3MBVNT|47BEXP|5RCR|67VULN|7BPWR|8ERES|9CDMG|aFEWX
102	26534 33461	   	188.82	ACR|3DMG|3BEXP|1VULN	19aDMG|2VULN|3MBVNT|49aBEXP|5RCR|6TLV|7MLV|89aERES|9aBPWR
103	31544 12112	   	188.25	ACR|2ASPD|2BEXP|1VULN|2CDMG	1AAC|27BEXP|37CDMG|4RCR|57ASPD|6MDPS|7BPWR|8VULN|9RMIN|aFEWX
104	31544 12133	   	188.25	ACR|2ASPD|2BEXP|1VULN|2CDMG	1AAC|27BEXP|37CDMG|4RCR|57ASPD|6MDPS|7BPWR|8VULN|9LIT|aLWND
