0	Index      	 *	Score 	Summary	Detail	
121	53363 12131	   	168.81	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1BEXP|2DMG|35VULN|4ERES|6ASPD|7RCR|8AART|9DUR|aZMB
122	53521 12131	   	168.81	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1BEXP|23DMG|4ERES|5VULN|6ASPD|7RCR|8AART|9DUR|aZMB
123	63521 12131	   	168.81	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1FEWX|23DMG|4ERES|5VULN|6ASPD|7RCR|8AART|9DUR|aZMB
124	13363 12131	   	168.71	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1DUST|2DMG|35VULN|4ERES|6ASPD|7RCR|8AART|9DUR|aZMB
125	13521 12131	   	168.71	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1DUST|23DMG|4ERES|5VULN|6ASPD|7RCR|8AART|9DUR|aZMB
126	53521 12343	   	168.70	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1BEXP|23DMG|4ERES|58VULN|6ASPD|7RCR|9ZMB|aCDMG
127	63521 12343	   	168.70	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1FEWX|23DMG|4ERES|58VULN|6ASPD|7RCR|9ZMB|aCDMG
128	46132 53332	   	168.63	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	14LHND|2CDMG|3RCR|57VULN|6AART|8CGEN|9DMG|aASPD
129	13521 12343	   	168.60	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1DUST|23DMG|4ERES|58VULN|6ASPD|7RCR|9ZMB|aCDMG
130	13521 12353	   	168.60	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1DUST|23DMG|4ERES|58VULN|6ASPD|7RCR|9CDMG|aZMB
131	13333 52443	   	168.52	DCR|3VULN|3DMG	1aDUST|28aDMG|359VULN|4MLV|6aLSRICY|7RCR|aBPWR
132	13511 88334	   	168.47	DCR|3DMG|2VULN|2ASPD|1SELL	18DUST|238DMG|4SELL|5MBVNT|6RCR|78ASPD|8BPWR|9aVULN
133	63521 12123	   	168.45	DCR|2VULN|2DMG|1AART|1ASPD	1FEWX|23DMG|4ERES|5aVULN|6ASPD|7RCR|8AART|9CGEN
134	13331 22343	   	168.42	DCR|3VULN|3DMG	1DUST|269DMG|38aVULN|4MLV|5FEWX|7RCR
135	63521 12113	   	168.35	DCR|2VULN|2DMG|1AART|1ASPD	1FEWX|23DMG|4ERES|5aVULN|6ASPD|7RCR|8AART|9TLV
136	13552 33241	   	168.32	DCR|3DMG|1AART|1VULN|1DUR	1DUST|239DMG|4LIT|5AART|6CGEN|7RCR|8DUR|aVULN
137	43132 33614	   	168.22	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2RCVC|3DMG|4AART|5DUST|6CDMG|7DUR|8RCR|9aVULN
