0	Index      	 *	Score 	Summary	Detail	
101	36231 33224	   	180.24	ACR|2VULN|1AART|1DMG|2CDMG|2DUR	1LWND|2RCR|39CDMG|4DMG|5ERES|69DUR|7VENICY|89VULN|9BPWR|aAART
102	13124 53374	   	179.88	DCR|2VULN|2DMG|1AART|2CDMG	19DMG|2aVULN|39MGNLIT|49CDMG|5RPLT|6MBVNT|7AART|8RCR|9BPWR
103	14123 43141	 * 	179.83	DCR|3DMG|3FLTHEA|2CDMG|3DUR	178DMG|27aDUR|3BASICY|4aCDMG|57aFLTHEA|6RCR|7aBPWR|9MBVNT
104	14123 31162	   	179.80	DCR|3DMG|2VULN|1CDMG|1FLTHEA|1DUR	178DMG|2DUR|3BASICY|4CDMG|5FLTHEA|69VULN|aRCR
105	13123 33344	 * 	179.78	DCR|2DMG|2AART|3CDMG|1VULN	15DMG|2VULN|3MGNLIT|456CDMG|5BPWR|7aAART|8RCR|9MLV
106	36432 33312	   	179.77	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1LWND|2RCR|3AART|4CDMG|5RMIN|6ASPD|78DMG|9VULN|aDUR
107	13423 33344	   	179.68	DCR|2DMG|2AART|3CDMG|1VULN	15DMG|2VULN|3CANSTR|456CDMG|5BPWR|7aAART|8RCR|9MLV
108	13123 33334	   	179.68	DCR|2DMG|2AART|3CDMG|1VULN	15DMG|2VULN|3MGNLIT|456CDMG|5BPWR|7aAART|8RCR|9ERES
109	53111 13634	   	179.68	DCR|2VULN|2DMG|1AART|2CDMG	1DMSP|25VULN|36SNIHEL|46DMG|6BPWR|7AART|8RCR|9aCDMG
110	53111 15511	   	179.67	DCR|3VULN|3DMG|1CDMG	1DMSP|259VULN|36SNIHEL|469DMG|69BPWR|79ERES|8RCR|aCDMG
111	13423 33334	   	179.58	DCR|2DMG|2AART|3CDMG|1VULN	15DMG|2VULN|3CANSTR|456CDMG|5BPWR|7aAART|8RCR|9ERES
112	36432 33315	   	179.15	ACR|2DMG|1AART|1VULN|2CDMG|1ASPD	1LWND|2RCR|3AART|4aCDMG|5RMIN|6ASPD|78DMG|9VULN
113	31123 35224	   	178.92	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1LWND|29ERES|3CANHEL|4CDMG|5RCR|69DMG|7DUR|89VULN|9BPWR|aAART
