0	Index      	 *	Score 	Summary	Detail	
63	33116 45113	   	201.23	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP|1CDMG	1BEXP|29ASPD|3LWND|4CDMG|5RCR|6VULN|7DMG|8ERES|aAART
64	33316 25113	   	201.23	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP|1CDMG	1BEXP|29ASPD|3VULN|4CDMG|5RCR|6DUR|7DMG|8ERES|aAART
65	31336 11161	   	201.02	ACR|2DMG|1VULN|2BEXP|1ASPD|1CDMG	17BEXP|2CDMG|3aDMG|4VULN|5RCR|6DUST|8ASPD|9RCVC
66	33316 11161	   	201.02	ACR|2DMG|1VULN|2BEXP|1ASPD|1CDMG	17BEXP|2ASPD|3VULN|4CDMG|5RCR|6DUST|8aDMG|9RCVC
67	51336 33213	   	200.69	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1LHND|2CDMG|3DMG|4VULN|5RCR|6MDPS|7AME|8ASPD|9LWND|aBASARM
68	51336 33263	   	200.69	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1LHND|2CDMG|3DMG|4VULN|5RCR|6MDPS|7AME|8ASPD|9FEWX|aBASARM
69	31336 41531	   	200.22	ACR|2VULN|2DMG|1ASPD|1BEXP|1CDMG	1BEXP|2CDMG|3aDMG|46VULN|5RCR|7FEWX|8RCVC|9ASPD
70	31336 46211	 * 	200.09	ACR|3VULN|2DMG|2BEXP|1CDMG	19BEXP|2CDMG|38DMG|46aVULN|5RCR|7LIT
71	31336 41161	   	199.92	ACR|2VULN|2DMG|1ASPD|1BEXP|1CDMG	1BEXP|2CDMG|3aDMG|46VULN|5RCR|7FEWX|8ASPD|9RCVC
72	33316 41161	   	199.92	ACR|2VULN|2DMG|1ASPD|1BEXP|1CDMG	1BEXP|2ASPD|36VULN|4CDMG|5RCR|7FEWX|8aDMG|9RCVC
73	33316 21122	   	199.72	ACR|2ASPD|1VULN|2BEXP|1DMG|1CDMG	17BEXP|2aASPD|3VULN|4CDMG|5RCR|6aDUR|8DMG|9aCGEN|aBPWR
74	33316 23246	   	199.72	ACR|2ASPD|1VULN|2BEXP|1DMG|1CDMG	19BEXP|29ASPD|3VULN|4CDMG|5RCR|69DUR|7RMIN|8RPLT|9BPWR|aDMG
75	31336 21231	   	199.52	ACR|2DMG|1VULN|2BEXP|1ASPD|1CDMG	17BEXP|2CDMG|3aDMG|4VULN|5RCR|68DUR|9ASPD
76	31336 26141	   	199.52	ACR|2DMG|1VULN|2BEXP|1ASPD|1CDMG	19BEXP|2CDMG|3aDMG|4VULN|5RCR|67DUR|8ASPD
77	33316 21112	   	199.52	ACR|2ASPD|1VULN|2BEXP|1DMG|1CDMG	17BEXP|2aASPD|3VULN|4CDMG|5RCR|6aDUR|8DMG|9aAME|aBPWR
78	33316 26141	   	199.52	ACR|2DMG|1VULN|2BEXP|1ASPD|1CDMG	19BEXP|2ASPD|3VULN|4CDMG|5RCR|67DUR|8aDMG
79	33316 13246	   	199.52	ACR|2ASPD|1VULN|2BEXP|1DMG|1CDMG	19BEXP|29ASPD|3VULN|4CDMG|5RCR|69DUST|7RMIN|8RPLT|9BPWR|aDMG
80	31336 21141	 * 	199.51	ACR|3BEXP|1VULN|1ASPD|1DMG|2CDMG	179BEXP|2aCDMG|3DMG|4VULN|5RCR|6DUR|8ASPD
81	33316 21141	   	199.51	ACR|3BEXP|1VULN|1ASPD|1DMG|2CDMG	179BEXP|2ASPD|3VULN|4aCDMG|5RCR|6DUR|8DMG
82	33116 41141	   	199.51	ACR|3BEXP|1VULN|1ASPD|1DMG|2CDMG	179BEXP|2ASPD|3LWND|4aCDMG|5RCR|6VULN|8DMG
