0	Index      	 *	Score 	Summary	Detail	
134	22236 11121	   	186.65	DCR|2VULN|2ASPD|1DMG|1DUR	1DMSP|28ASPD|38BEXP|4FEWX|5AME|6RCR|78VULN|8BPWR|9DMG|aDUR
135	22266 11121	   	186.65	DCR|2VULN|2ASPD|1DMG|1DUR	1DMSP|28ASPD|38BEXP|4LHND|5AME|6RCR|78VULN|8BPWR|9DMG|aDUR
136	22563 11121	   	186.65	DCR|2VULN|2ASPD|1DMG|1DUR	1DMSP|28ASPD|38FEWX|4LHND|5CGEN|6RCR|78VULN|8BPWR|9DMG|aDUR
137	22566 11121	   	186.65	DCR|2VULN|2ASPD|1DMG|1DUR	1DMSP|28ASPD|38FEWX|4LHND|5AME|6RCR|78VULN|8BPWR|9DMG|aDUR
138	22245 11121	   	186.55	DCR|2VULN|2ASPD|1DMG|1DUR	1DMSP|28ASPD|38BEXP|4ERES|5FEWX|6RCR|78VULN|8BPWR|9DMG|aDUR
139	22246 11121	   	186.55	DCR|2VULN|2ASPD|1DMG|1DUR	1DMSP|28ASPD|38BEXP|4ERES|5LWND|6RCR|78VULN|8BPWR|9DMG|aDUR
140	22636 11121	   	186.45	DCR|2VULN|2ASPD|1DMG|1DUR	1DMSP|28ASPD|38DUST|4FEWX|5AME|6RCR|78VULN|8BPWR|9DMG|aDUR
141	22666 11121	   	186.45	DCR|2VULN|2ASPD|1DMG|1DUR	1DMSP|28ASPD|38DUST|4LHND|5AME|6RCR|78VULN|8BPWR|9DMG|aDUR
142	51415 11132	   	186.44	DCR|2VULN|1AART|1DMG|3DUR	158DUR|28CGEN|3LWND|4DMG|6RCR|78VULN|8BPWR|9AART|aBEXP
143	22132 51431	   	186.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1DMSP|2ASPD|3CDMG|4DMG|59VULN|6DUST|7RCR|8DUR|aLIT
144	22132 51434	   	186.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1DMSP|2ASPD|3CDMG|4DMG|59VULN|6DUST|7RCR|8DUR|aBEXP
145	22132 51436	   	186.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1DMSP|2ASPD|3CDMG|4DMG|59VULN|6DUST|7RCR|8DUR|aFEWX
146	22645 11121	   	186.35	DCR|2VULN|2ASPD|1DMG|1DUR	1DMSP|28ASPD|38DUST|4ERES|5FEWX|6RCR|78VULN|8BPWR|9DMG|aDUR
147	22646 11121	   	186.35	DCR|2VULN|2ASPD|1DMG|1DUR	1DMSP|28ASPD|38DUST|4ERES|5LWND|6RCR|78VULN|8BPWR|9DMG|aDUR
148	53525 11111	   	186.34	DCR|2VULN|1AART|1DMG|3DUR	158DUR|289BEXP|3DMG|4ERES|6RCR|78VULN|8BPWR|aAART
149	22132 51432	   	186.28	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1DMSP|2ASPD|3CDMG|4DMG|59VULN|6DUST|7RCR|8DUR|aMSLFST
150	22132 51435	   	186.28	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR|1MSE	1DMSP|2ASPD|3CDMG|4DMG|59VULN|6DUST|7RCR|8DUR|aMSE
151	23333 53216	   	185.99	DCR|2DMG|2ASPD|1AART|1ZMB|1DUR	1DMSP|2LIT|3MBVNT|46ASPD|56DMG|6BPWR|7ZMB|8DUR|9AART|aRCR
152	23333 53486	   	185.99	DCR|2DMG|2ASPD|1AART|1ZMB|1DUR	1DMSP|2LIT|3MBVNT|46ASPD|56DMG|6BPWR|7ZMB|8AART|9DUR|aRCR
