0	Index      	 *	Score 	Summary	Detail	
99	13237 41728	 * 	188.56	ACR|2VULN|2DMG|3ASPD|2CDMG|1ZMB	1aCDMG|25aASPD|3MBVNT|4RCR|6ZMB|78VULN|9aDMG|aBPWR
100	21316 31365	   	188.29	ACR|3DMG|1AART|1VULN|1CDMG|1ASPD	1RCVC|2RCR|349DMG|5ASPD|6BELT|7CDMG|8VULN|aAART
101	21336 31365	   	188.29	ACR|3DMG|1AART|1VULN|1CDMG|1ASPD	1RCVC|2RCR|349DMG|4BPWR|5ASPD|6BELT|7CDMG|8VULN|aAART
102	11154 12621	   	187.98	ACR|2AART|2VULN|1DMG|1CDMG|1ASPD|1DUR|1SELL	1CDMG|2SELL|3RCR|47AART|5DMG|6DUR|8ASPD|9aVULN
103	11154 12511	   	187.98	ACR|2AART|2VULN|1DMG|1CDMG|1ASPD|1DUR|1SELL	1CDMG|2SELL|3RCR|47AART|5DMG|6DUR|89VULN|aASPD
104	11113 21622	   	187.83	ACR|3DMG|2VULN|2CDMG|2DUR|1SELL	17CDMG|2SELL|3RCR|457DMG|67DUR|7BPWR|8aVULN|9FEWX
105	11113 21641	   	187.83	ACR|3DMG|2VULN|2CDMG|2DUR|1SELL	17CDMG|2SELL|3RCR|457DMG|67DUR|7BPWR|89VULN|aRPLT
106	11113 21642	   	187.83	ACR|3DMG|2VULN|2CDMG|2DUR|1SELL	17CDMG|2SELL|3RCR|457DMG|67DUR|7BPWR|89VULN|aMLV
107	11113 21643	   	187.83	ACR|3DMG|2VULN|2CDMG|2DUR|1SELL	17CDMG|2SELL|3RCR|457DMG|67DUR|7BPWR|89VULN|aCGEN
108	11113 21645	   	187.83	ACR|3DMG|2VULN|2CDMG|2DUR|1SELL	17CDMG|2SELL|3RCR|457DMG|67DUR|7BPWR|89VULN|aLIT
109	21356 53233	   	187.79	ACR|2AART|2DMG|1VULN|1CDMG|1DUR	1RCVC|2RCR|36DMG|49AART|56BEXP|6BPWR|7CDMG|8VULN|aDUR
110	11113 21646	   	187.73	ACR|3DMG|2VULN|2CDMG|2DUR|1SELL	17CDMG|2SELL|3RCR|457DMG|67DUR|7BPWR|89VULN|aERES
111	11113 21662	   	187.73	ACR|3DMG|2VULN|2CDMG|2DUR|1SELL	17CDMG|2SELL|3RCR|457DMG|67DUR|7BPWR|8aVULN|9DUST
112	11154 11124	   	187.53	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR|1SELL	1CDMG|2SELL|3RCR|4AART|58DMG|6DUR|7ZMB|9VULN|aASPD
113	21623 15111	   	187.45	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1RCVC|2RCR|3FEWX|459VULN|6ZMB|7AART|8DMG|aASPD
114	21353 63421	   	187.24	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1RCVC|2RCR|3aDMG|4AART|5LHND|6ZMB|7CDMG|8VULN|9DUR
115	12342 53324	   	187.18	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1aCDMG|259VULN|3AART|4LWND|6DUR|7DMG|8RCR
116	12362 53324	   	187.18	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1aCDMG|259VULN|3AART|4LHND|6DUR|7DMG|8RCR
117	11154 33211	   	187.18	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD|1SELL	1CDMG|2SELL|3RCR|4AART|58DMG|69VULN|7LHND|aASPD
118	11154 33213	   	187.18	ACR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	1CDMG|2SELL|3RCR|4AART|58DMG|69VULN|7LHND|aDUR
