0	Index      	 *	Score 	Summary	Detail	
86	16243 22361	   	191.94	ACR|2VULN|2ASPD|2DMG	18VULN|2aDUST|3LWND|4RCR|5DUR|6aDMG|7ERES|9aASPD|aBPWR
87	13543 23623	 * 	191.93	ACR|1VULN|2AART|1DMG|1BASICY|1CDMG|1BEXP	1VULN|2LHND|3aAART|4TLV|5RCR|6DMG|7BEXP|8BASICY|9CDMG
88	13553 23623	   	191.93	ACR|1VULN|2AART|1DMG|1BASICY|1CDMG|1BEXP	1VULN|2LHND|3aAART|4AME|5RCR|6DMG|7BEXP|8BASICY|9CDMG
89	11141 22424	   	191.87	ACR|2DMG|1VULN|2BEXP|1CDMG|1AART	1VULN|2CDMG|3aDMG|48BEXP|5RCR|6LIT|7ZMB|9AART
90	11141 23324	   	191.87	ACR|2DMG|1VULN|2BEXP|1CDMG|1AART	1VULN|2CDMG|3aDMG|48BEXP|5RCR|6LIT|7RMIN|9AART
91	13242 31151	   	191.64	ACR|1BASARM|2VULN|1ASPD|1BEXP	1aVULN|2LHND|37LWND|4RCR|5MDPS|6BEXP|8ASPD|9BASARM
92	16243 13151	   	191.64	ACR|1BASARM|2VULN|1ASPD|1BEXP	1aVULN|2DUST|3LWND|4RCR|5DUR|6BEXP|7FEWX|8ASPD|9BASARM
93	13543 24332	   	191.53	ACR|1BASARM|1VULN|2AART|1DMG	1VULN|2LHND|37AART|4TLV|5RCR|6DMG|8DUST|9ERES|aBASARM
94	13553 24332	   	191.53	ACR|1BASARM|1VULN|2AART|1DMG	1VULN|2LHND|37AART|4AME|5RCR|6DMG|8DUST|9ERES|aBASARM
95	63214 21251	 * 	191.52	ACR|2VULN|2ASPD|2BEXP|1AART	1AART|2LIT|3FEWX|47VULN|5RCR|68BEXP|9aASPD
96	63314 11251	   	191.52	ACR|2VULN|2ASPD|2BEXP|1AART	1AART|2LIT|38BEXP|47VULN|5RCR|6DUR|9aASPD
97	11142 34353	 * 	191.50	2VULN|1BASARM|3BEXP|2DMG|1ASPD|1CDMG	16VULN|2CDMG|38DMG|456BEXP|6BPWR|7RPLT|9BASARM|aASPD
98	21141 36151	   	191.44	ACR|1BASARM|2BEXP|1DMG|1CDMG	1DUR|2CDMG|3DMG|4aBEXP|5RCR|6TLV|7RPLT|8MLV|9BASARM
99	11141 53123	   	191.44	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1VULN|2CDMG|3DMG|4BEXP|5RCR|6MSLREG|7LWND|8RCVC|9BELT|aBASARM
100	11161 62263	   	191.44	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1VULN|2CDMG|3DMG|4DUR|5RCR|6AAC|7FEWX|8RCVC|9BASARM|aBEXP
101	63114 21251	   	191.42	ACR|2VULN|2ASPD|2BEXP|1AART	1AART|2LIT|3DUST|47VULN|5RCR|68BEXP|9aASPD
102	63314 31251	   	191.42	ACR|2VULN|2ASPD|2BEXP|1AART	1AART|2LIT|38BEXP|47VULN|5RCR|6DUST|9aASPD
103	11141 11223	 * 	191.41	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG|1SELL	1aVULN|2CDMG|3DMG|48BEXP|5RCR|6SELL|7FEWX|9ASPD
104	11141 14223	 * 	191.41	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG|1SELL	1aVULN|2CDMG|3DMG|48BEXP|5RCR|6SELL|7DUR|9ASPD
