0	Index      	 *	Score 	Summary	Detail	
97	41432 12522	   	215.24	ACR|3ASPD|2DMG|2BEXP	1MBVNT|2RCR|37aASPD|4aBEXP|5SNITOX|6ERES|8RCVC|9aDMG|aBPWR
98	41432 47522	   	215.24	ACR|3ASPD|2DMG|2BEXP	1MBVNT|2RCR|36aASPD|4aBEXP|5SNITOX|7ERES|8RCVC|9aDMG|aBPWR
99	41434 78324	   	215.24	ACR|3DMG|2ASPD|2BEXP	1MBVNT|2RCR|38ASPD|48BEXP|578DMG|6RPLT|8BPWR|9TLV|aDUST
100	41437 12522	   	215.24	ACR|3ASPD|2DMG|2BEXP	1MBVNT|2RCR|37aASPD|4aBEXP|5LSRREG|6ERES|8RCVC|9aDMG|aBPWR
101	41434 81483	   	215.14	ACR|3ASPD|2DMG|2BEXP	1MBVNT|2RCR|37aASPD|48BEXP|5aDMG|6NUKE|9aAEMAG|aBPWR
102	41463 11622	   	215.14	ACR|3ASPD|2DMG|2BEXP	1MBVNT|2RCR|38aASPD|4aSPLREG|57BEXP|6ERES|9aDMG|aBPWR
103	41434 35127	   	213.44	ACR|2ASPD|2DMG|2BEXP|1CDMG	1MBVNT|2RCR|37ASPD|48BEXP|57DMG|679LWND|7BPWR|aCDMG
104	41434 35182	   	213.44	ACR|2ASPD|2DMG|2BEXP|1AART	1MBVNT|2RCR|37ASPD|48BEXP|57DMG|67LWND|7BPWR|9DUR|aAART
105	41434 38311	   	213.43	ACR|3BEXP|2ASPD|1DMG|2CDMG	1MBVNT|2RCR|38ASPD|489BEXP|5DMG|6LWND|78CDMG|8BPWR|aRPLT
106	41434 38313	   	213.43	ACR|3BEXP|2ASPD|1DMG|2CDMG	1MBVNT|2RCR|38ASPD|489BEXP|5DMG|6LWND|78CDMG|8BPWR|aCGEN
107	41434 38316	   	213.43	ACR|3BEXP|2ASPD|1DMG|2CDMG	1MBVNT|2RCR|38ASPD|489BEXP|5DMG|6LWND|78CDMG|8BPWR|aFEWX
108	41434 38318	   	213.43	ACR|3BEXP|2ASPD|1DMG|2CDMG	1MBVNT|2RCR|38ASPD|489BEXP|5DMG|6LWND|78CDMG|8BPWR|aDUR
109	41434 38353	   	213.43	ACR|3BEXP|2ASPD|1DMG|2CDMG	1MBVNT|2RCR|38ASPD|48aBEXP|5DMG|6LWND|78CDMG|8BPWR|9RPLT
110	41434 35132	   	213.34	ACR|2ASPD|2DMG|2BEXP|1AART	1MBVNT|2RCR|37ASPD|48BEXP|57DMG|67LWND|7BPWR|9DUST|aAART
111	41434 38314	   	213.33	ACR|3BEXP|2ASPD|1DMG|2CDMG	1MBVNT|2RCR|38ASPD|489BEXP|5DMG|6LWND|78CDMG|8BPWR|aDUST
112	41434 38315	   	213.33	ACR|3BEXP|2ASPD|1DMG|2CDMG	1MBVNT|2RCR|38ASPD|489BEXP|5DMG|6LWND|78CDMG|8BPWR|aERES
113	41434 38317	   	213.33	ACR|3BEXP|2ASPD|1DMG|2CDMG	1MBVNT|2RCR|38ASPD|489BEXP|5DMG|6LWND|78CDMG|8BPWR|aTLV
114	41431 43821	   	213.28	ACR|1BASARM|2BEXP|1ASPD|1AART	1MBVNT|2RCR|3ASPD|47BEXP|5DUST|6AART|8VULN|9ZMB|aBASARM
115	41448 21424	   	213.24	ACR|2ASPD|2DMG|2BEXP|1AART	1MBVNT|2RCR|35ASPD|4CGEN|6aDMG|7AART|89BEXP
116	41434 13263	   	213.22	ACR|2ASPD|2DMG|2VULN|1BEXP|1AAC	1MBVNT|2RCR|3aASPD|4BEXP|5aDMG|6aVULN|7AAC|8RPLT|9RCVC|aBPWR
117	41134 52422	   	212.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1SELL	1MBVNT|2RCR|3AME|46BEXP|5DMG|7FEWX|8SELL|9BASARM|aASPD
118	41134 54422	   	212.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1SELL	1MBVNT|2RCR|3AME|46BEXP|5DMG|7DUR|8SELL|9BASARM|aASPD
119	41448 38323	 * 	212.20	ACR|3ASPD|2BEXP|2AART|1AAC	1MBVNT|2RCR|359ASPD|49CGEN|67AART|89BEXP|9BPWR|aAAC
120	41483 25134	 * 	212.03	ACR|2BASARM|3ASPD	1MBVNT|2RCR|39aASPD|4DUST|5LEGI|6MDPS|79BASARM|89DUR|9BPWR
121	41483 25334	   	212.03	ACR|2BASARM|3ASPD	1MBVNT|2RCR|39aASPD|4DUST|5LEGI|6MDPS|79BASARM|89LHND|9BPWR
122	41483 25434	   	212.03	ACR|2BASARM|3ASPD	1MBVNT|2RCR|39aASPD|4DUST|5LEGI|6MDPS|79BASARM|89LWND|9BPWR
