0	Index      	 *	Score 	Summary	Detail	
107	41332 22634	   	158.26	DCR|2DMG|1AART|1VULN|1DUR|1ASPD|1SELL	1LIT|25DMG|3AART|4ASPD|6VULN|7SELL|8RCR|9DUR|aMLV
108	41332 22636	   	158.26	DCR|2DMG|1AART|1VULN|1ASPD|1DUR|1SELL	1LIT|25DMG|3AART|4ASPD|6VULN|7SELL|8RCR|9DUR|aFEWX
109	41365 11122	   	158.21	DCR|2AART|2VULN|1DMG|1ASPD	14LIT|2DMG|36AART|5RMIN|78VULN|9ASPD|aRCR
110	16113 24623	   	158.11	DCR|2AART|2DMG|1VULN|1ASPD	1DUST|2RCVC|36AART|4CGEN|58DMG|7VULN|9ASPD|aRCR
111	42342 53232	   	158.03	DCR|2VULN|1AART|1DMG|1ZMB	1LIT|2CGEN|3AART|4LWND|5MGNLIT|6ZMB|7RCR|89VULN|aDMG
112	51342 53232	   	158.03	DCR|2VULN|1AART|1DMG|1ZMB	1CGEN|2LIT|3AART|4LWND|5MGNLIT|6ZMB|7RCR|89VULN|aDMG
113	31133 16114	   	158.01	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1RPLT|2BEXP|3VULN|4FEWX|58DMG|6ASPD|7AART|9CDMG|aRCR
114	31432 16114	   	158.01	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1RPLT|2BEXP|38DMG|4FEWX|5VULN|6ASPD|7AART|9CDMG|aRCR
115	21352 32343	   	158.01	DCR|2VULN|2DMG|1AART	1LWND|2LHND|39VULN|4LIT|56DMG|7CGEN|8RCR|aAART
116	12113 24623	   	158.01	DCR|2AART|2DMG|1VULN|1ASPD	12DUST|36AART|4CGEN|58DMG|7VULN|9ASPD|aRCR
117	41342 63231	   	157.93	DCR|2VULN|1AART|1DMG|1ZMB	1LIT|2DMG|3AART|4LWND|5CANHEL|6ZMB|7RCR|89VULN|aLHND
118	41332 21335	   	157.77	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LIT|25DMG|3AART|4ASPD|6VULN|7MLV|8RCVC|9ZMB|aRCR
119	41332 25325	   	157.77	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LIT|25DMG|3AART|4ASPD|6VULN|7ZMB|89CGEN|aRCR
120	41352 23325	   	157.77	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LIT|25DMG|3AART|4ZMB|6VULN|79CGEN|8ASPD|aRCR
121	41331 31255	   	157.77	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LIT|29DMG|3AART|4ASPD|56CGEN|7VULN|8ZMB|aRCR
122	31433 24311	 * 	157.76	ACR|3AART|2VULN|1DMG	1RPLT|2BEXP|3DMG|4FEWX|5RCR|67VULN|89aAART
123	31433 54311	 * 	157.76	ACR|3AART|2DMG|1VULN	1RPLT|2BEXP|36DMG|4FEWX|5RCR|7VULN|89aAART
124	31622 23461	   	157.75	ACR|2VULN|1AART|1DMG|1ZMB	1RPLT|27BEXP|3RCR|4ERES|56VULN|8AART|9ZMB|aDMG
125	13151 54173	   	157.73	DCR|2VULN|1AART|2CDMG|1ZMB	19DUST|29VULN|3CGEN|4AIRHEA|5MBVNT|6RCR|7AART|89CDMG|9BPWR|aZMB
126	31433 24363	 * 	157.70	ACR|3VULN|1AART|1DMG	1RPLT|2BEXP|3DMG|4FEWX|5RCR|67aVULN|8AART|9MLV
127	41332 26335	   	157.67	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LIT|25DMG|3AART|4ASPD|6VULN|7TLV|8RCVC|9ZMB|aRCR
128	31433 24343	   	157.60	ACR|3VULN|1AART|1DMG	1RPLT|2BEXP|3DMG|4FEWX|5RCR|67aVULN|8AART|9ERES
129	41312 31141	   	157.21	DCR|2VULN|2DMG|1AART	1LIT|25DMG|3AART|46ERES|78VULN|9DMSP|aRCR
130	41312 31161	   	157.21	DCR|2VULN|2DMG|1AART	1LIT|25DMG|3AART|46ERES|78VULN|9RCVC|aRCR
131	21253 63151	   	157.18	DCR|3VULN|1AART|1DMG	1LWND|2LHND|3BEXP|4AART|5ERES|678VULN|9RCR|aDMG
132	21255 33151	   	157.18	DCR|3VULN|1AART|1DMG	1LWND|2LHND|3BEXP|4AART|578VULN|6ERES|9RCR|aDMG
133	56221 31231	 * 	156.82	DCR|2VULN|2DMG|1FLTHEA|1ZMB|1SELL	1CGEN|23VULN|4FLTHEA|5SELL|6aDMG|7ZMB|8RPLT|9RCR
134	41226 22152	   	156.68	DCR|3DMG|1AART|1VULN	1LIT|256DMG|34FEWX|7CGEN|8RCR|9AART|aVULN
135	41236 22152	   	156.68	DCR|3DMG|1AART|1VULN	1LIT|256DMG|3FEWX|4RCVC|7CGEN|8RCR|9AART|aVULN
136	13311 63333	 * 	156.61	DCR|4VULN|1DMG|2DUR	1DUST|234aVULN|57DUR|6DMG|8MBVNT|9RCR
137	32653 13313	   	156.58	ACR|1AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1RPLT|27DUST|3RCR|4DUR|5DMG|6ASPD|8AART|9CDMG|aVULN
138	13313 36342	   	156.12	DCR|4VULN|1DMG|1DUR	1DUST|2345VULN|6RMIN|7RCR|8MBVNT|9DMG|aDUR
