0	Index      	 *	Score 	Summary	Detail	
148	12264 13116	   	163.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2VULN|3RMIN|48DMG|5CDMG|6RPLT|7RCR|9DUR|aAART
149	12264 13133	   	163.31	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2VULN|3RMIN|48DMG|5CDMG|6RPLT|7RCR|9ASPD|aAART
150	12313 13116	   	163.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2VULN|38DMG|4CDMG|5MLV|6RPLT|7RCR|9DUR|aAART
151	12313 13133	   	163.31	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2VULN|38DMG|4CDMG|5MLV|6RPLT|7RCR|9ASPD|aAART
152	12313 13326	   	163.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|29VULN|3DMG|4CDMG|5MLV|6RPLT|7RCR|8DUR|aAART
153	42632 12422	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2DMG|34VULN|5RCR|6RPLT|7AART|8CDMG|9BELT|aASPD
154	22321 21322	 * 	163.22	DCR|2AART|2VULN|2ZMB|1CDMG	1TLV|26ZMB|3aVULN|4LHND|57AART|8RCR|9CDMG
155	12312 13326	   	163.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|29VULN|3DMG|4CDMG|5TLV|6RPLT|7RCR|8DUR|aAART
156	12354 13153	   	163.21	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2VULN|38DMG|4ASPD|5CDMG|6RPLT|7RCR|9ERES|aAART
157	12312 13116	   	163.21	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2VULN|38DMG|4CDMG|5TLV|6RPLT|7RCR|9DUR|aAART
158	12312 13133	   	163.21	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2VULN|38DMG|4CDMG|5TLV|6RPLT|7RCR|9ASPD|aAART
159	26562 13133	   	163.21	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1TLV|2VULN|3DUST|48DMG|5CDMG|6RPLT|7RCR|9ASPD|aAART
160	42632 62222	   	163.13	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|2DMG|34VULN|5RCR|6BEXP|7AART|8DUR|9DUST|aCDMG
161	12264 13112	   	163.09	DCR|2VULN|2DMG|1CDMG|2DUR	1aDUST|2aVULN|3RMIN|48DMG|5CDMG|6RPLT|7RCR|9aDUR|aBPWR
162	42431 13533	   	162.81	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LIT|2aDMG|3AART|4CDMG|5VULN|6LHND|7ASPD|8BELT|9RCR
