0	Index      	 *	Score 	Summary	Detail	
109	66342 13231	   	165.20	DCR|3VULN|1DMG|1CDMG|1DUR|1ASPD	1ASPD|2CDMG|34aVULN|5LWND|6RCR|7RPLT|8DUR|9DMG
110	13343 13652	 * 	165.14	DCR|2VULN|1AART|1DMG|2CDMG|1SELL	159LHND|2SELL|3DMG|49VULN|6RCR|7RPLT|89CDMG|9BPWR|aAART
111	61321 23431	 * 	165.14	ACR|3DMG|1AART|1VULN|1ASPD	1ASPD|2CGEN|3VULN|4FEWX|5RCR|6DUST|7AART|89aDMG
112	66342 12331	 * 	165.13	DCR|5VULN|1CDMG|1ASPD	1ASPD|2CDMG|3489aVULN|5LWND|6RCR|7CGEN
113	66342 13332	   	165.13	DCR|5VULN|1CDMG|1ASPD	1ASPD|2CDMG|3489aVULN|5LWND|6RCR|7RPLT
114	62188 22232	   	164.83	ACR|5VULN|3ASPD	189ASPD|2MBVNT|3RCR|45789VULN|689CANSTR|89BPWR|aRCVC
115	62188 22234	   	164.83	ACR|5VULN|3ASPD	189ASPD|2MBVNT|3RCR|45789VULN|689CANSTR|89BPWR|aLWND
116	62185 22232	   	164.83	ACR|5VULN|3ASPD	189ASPD|2MBVNT|3RCR|4789aVULN|5RCVC|689CANSTR|89BPWR
117	62138 45331	 * 	164.80	ACR|3DMG|3ASPD|2CDMG|1DUR	146ASPD|2MBVNT|3RCR|48BPWR|589DMG|78CDMG|aDUR
118	62171 12374	   	164.69	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2MBVNT|3RCR|4LHND|5BEXP|67VULN|8AART|9ZMB|aDMG
119	62182 32374	   	164.69	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2MBVNT|3RCR|47VULN|5LHND|6BEXP|8AART|9ZMB|aDMG
120	61215 51132	 * 	164.60	DCR|2VULN|1AART|2ASPD|1CDMG|2DUR	19ASPD|2CGEN|39DUR|4CDMG|5VENICY|6RCR|7MBVNT|89VULN|9BPWR|aAART
121	62143 48184	   	164.58	ACR|2VULN|2DMG|2ASPD|1ZMB	17ASPD|2MBVNT|3RCR|4BELT|5RMIN|67DMG|7BPWR|8ZMB|9aVULN
