0	Index      	 *	Score 	Summary	Detail	
122	14111 52252	   	217.03	DCR|3DMG|2VULN|1MDPS|1AART|1CDMG	14VULN|24aDMG|3AART|4BPWR|5MDPS|6RCR|7LEGI|8CDMG|9FEWX
123	14116 33622	   	216.98	DCR|2VULN|2AART|2DMG|2CDMG	14VULN|24DMG|35AART|4BPWR|6FEWX|7DUST|89CDMG|aRCR
124	11463 33114	   	216.95	DCR|3VULN|1SPLARM|1AART|1DMG|1ZMB	123VULN|4ZMB|5DMG|6AART|7LWND|8SPLARM|9RPLT|aRCR
125	11423 33143	   	216.93	DCR|3VULN|1SPLARM|1AART|1DMG|1DUR	123VULN|4RMIN|5DMG|6AART|7LWND|8SPLARM|9RCR|aDUR
126	14112 25336	   	216.81	DCR|3VULN|3DMG|1AART	14aVULN|24aDMG|3AART|4aBPWR|5ERES|6DUST|7RCR|8aAME|9RCVC
127	14112 25361	   	216.81	DCR|3VULN|3DMG|1AART	149VULN|249DMG|3AART|49BPWR|5ERES|6DUST|7RCR|89AME|aLWND
128	14112 25362	   	216.81	DCR|3VULN|3DMG|1AART	149VULN|249DMG|3AART|49BPWR|5ERES|6DUST|7RCR|89AME|aRCVC
129	14112 25363	   	216.81	DCR|3VULN|3DMG|1AART	149VULN|249DMG|3AART|49BPWR|5ERES|6DUST|7RCR|89AME|aMLV
130	14113 61143	   	216.78	DCR|1SPLARM|2VULN|2DMG|1AART|1DUR	14VULN|24DMG|3AART|4BPWR|5RMIN|6LHND|7RCVC|8SPLARM|9RCR|aDUR
131	14112 25512	   	216.71	DCR|3VULN|3DMG|1AART	14aVULN|24aDMG|3AART|4aBPWR|5ERES|6DUST|7RCR|8LEGI|9aAME
132	14161 51121	   	216.61	DCR|3VULN|2DMG|1MDPS|1AART|2ZMB	14aVULN|2aDMG|3AART|5MDPS|6RCR|7LWND|8TLV|9aZMB|aBPWR
133	11244 11125	   	216.60	DCR|2VULN|2AART|1MDPS|1ASPD|1DMG	12VULN|3ASPD|4BELT|58AART|6BEXP|7DMG|9RCR|aMDPS
134	11244 31125	   	216.60	DCR|2VULN|2AART|1MDPS|1ASPD|1DMG	12VULN|3ASPD|4BELT|58AART|6FEWX|7DMG|9RCR|aMDPS
135	14111 52121	   	216.51	DCR|3VULN|2DMG|1MDPS|1AART|2ZMB	14aVULN|24DMG|3AART|4aBPWR|5MDPS|6RCR|7LEGI|8aTLV|9aZMB
136	14111 52421	   	216.51	DCR|3VULN|1MDPS|2DMG|1AART|2ZMB	14aVULN|24DMG|3AART|4aBPWR|5MDPS|6RCR|7LEGI|8aERES|9aZMB
137	14142 33125	   	216.50	DCR|2VULN|2AART|1MDPS|1ASPD|1DMG	17VULN|2DMG|38AART|4DUST|5ASPD|6BELT|9RCR|aMDPS
138	11423 31222	   	216.45	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG	123VULN|4RMIN|5DMG|6AART|7CDMG|8RCR|9TLV|aMDPS
139	11423 31242	   	216.45	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG	123VULN|4RMIN|5DMG|6AART|7CDMG|8RCR|9ERES|aMDPS
140	14163 41222	   	216.45	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG	146VULN|2DMG|3AART|5RMIN|7CDMG|8RCR|9TLV|aMDPS
141	14162 41222	   	216.35	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG	146VULN|2DMG|3AART|5ERES|7CDMG|8RCR|9TLV|aMDPS
142	14111 21255	   	216.31	DCR|2MDPS|3VULN|2DMG|1AART	147VULN|24DMG|3AART|4BPWR|5aMDPS|6LIT|8LHND|9RCR
143	14115 61232	   	216.30	DCR|2VULN|1MDPS|2DMG|1AART|1CDMG	14VULN|24DMG|3AART|4BPWR|5TLV|6RCVC|7CDMG|8RCR|9MLV|aMDPS
144	14115 51232	   	216.20	DCR|2VULN|1MDPS|2DMG|1AART|1CDMG	14VULN|24DMG|3AART|4BPWR|56TLV|7CDMG|8RCR|9MLV|aMDPS
145	11463 22212	   	216.19	DCR|4VULN|1ASPD|1DMG|1CDMG|1ZMB	1239VULN|4ZMB|5DMG|6ASPD|7LIT|8CDMG|aRCR
146	12332 45251	 * 	216.10	DCR|2VULN|2AART|1MDPS|2ASPD|1DMG	1aVULN|2MDPS|3aASPD|4DMG|5LWND|6aCGEN|7RCR|89AART|aBPWR
147	14142 31345	   	215.90	DCR|2VULN|2AART|2ASPD|1DMG	1aVULN|2DMG|39AART|4aDUST|5aASPD|6BELT|7RCR|8MBVNT|aBPWR
148	11234 15422	 * 	215.85	DCR|3VULN|1MDPS|1AART|1ASPD|2DUR	128VULN|3ASPD|49DUR|5AART|6MLV|7RCR|aMDPS
149	33156 41231	   	215.78	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG|1SELL	12AART|3MLV|4ASPD|56VULN|7CDMG|8RCR|9SELL|aDMG
150	33255 41231	   	215.78	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG|1SELL	12AART|3AME|4ASPD|56VULN|7CDMG|8RCR|9SELL|aDMG
151	12243 15214	 * 	215.70	DCR|3VULN|2DMG|1MDPS|2CDMG|1ZMB|1DUR	17aVULN|2MDPS|37CDMG|4DUR|5BEXP|67DMG|7BPWR|8ZMB|9RCR
152	14111 54312	   	215.62	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD|1ZMB	14VULN|24DMG|3AART|4BPWR|5MDPS|6RCR|7BELT|8LWND|9ZMB|aASPD
153	14113 25333	   	215.55	DCR|2VULN|2AART|2DMG|1CDMG	14VULN|24DMG|39AART|4BPWR|5RMIN|6DUST|7RCR|8RPLT|aCDMG
154	14111 51122	   	215.52	DCR|2VULN|1MDPS|2DMG|1AART|1ASPD|1ZMB	14VULN|24DMG|3AART|4BPWR|5MDPS|6RCR|7LWND|8TLV|9ZMB|aASPD
155	14111 51422	   	215.52	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD|1ZMB	14VULN|24DMG|3AART|4BPWR|5MDPS|6RCR|7LWND|8ERES|9ZMB|aASPD
156	14111 55122	   	215.52	DCR|2VULN|1MDPS|2DMG|1AART|1ASPD|1ZMB	14VULN|24DMG|3AART|4BPWR|5MDPS|6RCR|7LHND|8TLV|9ZMB|aASPD
157	14111 56122	   	215.52	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD|1ZMB	14VULN|24DMG|3AART|4BPWR|5MDPS|6RCR|7BEXP|8TLV|9ZMB|aASPD
158	11463 13212	   	215.48	DCR|3VULN|1AART|2CDMG|1DMG|1ZMB	123VULN|4ZMB|5DMG|67CDMG|8RCR|9FEWX|aAART
159	11423 31214	   	215.48	DCR|3VULN|1AART|2CDMG|1DMG|1ZMB	123VULN|4RMIN|5DMG|6AART|79CDMG|8RCR|aZMB
