0	Index      	 *	Score 	Summary	Detail	
91	32134 13133	   	170.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	12LHND|3ZMB|4CDMG|5aVULN|6RCR|7DMG|8FEWX|9AART
92	52134 13133	   	170.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DMSP|2LWND|3ZMB|4CDMG|5aVULN|6RCR|7DMG|8FEWX|9AART
93	54131 13133	   	170.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DMSP|2aVULN|3ZMB|4CDMG|5LWND|6RCR|7DMG|8FEWX|9AART
94	32422 14133	   	170.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	12LHND|3DMG|4DUST|5CDMG|6RCR|7aVULN|8ZMB|9AART
95	52422 14133	   	170.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DMSP|2LWND|3DMG|4DUST|5CDMG|6RCR|7aVULN|8ZMB|9AART
96	64323 13631	 * 	169.53	ACR|2VULN|1AART|3DUR|2ASPD|1CDMG	18ASPD|2FEWX|38VULN|4RCR|5AART|678DUR|8BPWR|9ERES|aCDMG
97	11322 42415	 * 	169.44	ACR|2DMG|2AART|1VULN|1CDMG	1BEXP|2VULN|37DMG|4RCR|5CDMG|6ERES|8aAART|9RPLT
98	12322 42452	   	169.44	ACR|2DMG|2AART|1VULN|1CDMG	1BEXP|2LHND|37DMG|4RCR|5CDMG|6ERES|8aAART|9VULN
99	41322 11535	 * 	169.38	DCR|4VULN|1AART|2CDMG	1DUST|2458VULN|3LIT|6aCDMG|7AART|9RCR
100	11322 24613	   	169.30	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1BEXP|2VULN|3DMG|4RCR|5CDMG|6LIT|7ASPD|8ZMB|9aAART
101	11322 34132	   	169.30	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1BEXP|2VULN|3DMG|4RCR|5CDMG|6CGEN|7ASPD|8ZMB|9aAART
102	64362 13322	   	169.27	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2FEWX|348VULN|5CDMG|6RCR|7DMG|9ZMB|aLIT
103	63323 36326	 * 	169.22	ACR|2VULN|2DMG|2ASPD|1ZMB|1DUR	19ASPD|2LWND|39VULN|4RCR|5DUR|6LHND|7DLOT|89DMG|9BPWR|aZMB
104	24354 13211	   	169.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1NUKE|2DMSP|3AART|47VULN|5ZMB|6CDMG|8RCR|9CGEN|aDMG
105	64362 13321	   	169.17	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2FEWX|348VULN|5CDMG|6RCR|7DMG|9ZMB|aTLV
106	64362 13323	   	169.17	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2FEWX|348VULN|5CDMG|6RCR|7DMG|9ZMB|aERES
107	11322 42412	   	169.00	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1BEXP|2VULN|37DMG|4RCR|5CDMG|6ERES|8AART|9RPLT|aZMB
108	11322 42423	   	169.00	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1BEXP|2VULN|37DMG|4RCR|5CDMG|6ERES|8AART|9CGEN|aZMB
109	11322 42431	   	169.00	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1aBEXP|2VULN|37DMG|4RCR|5CDMG|6ERES|8AART|9ZMB
110	11322 42433	   	169.00	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1BEXP|2VULN|37DMG|4RCR|5CDMG|6ERES|8AART|9ZMB|aRMIN
