0	Index      	 *	Score 	Summary	Detail	
119	32143 33631	   	179.16	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	128VULN|3ASPD|4DUR|5AART|6RPLT|7ZMB|9DMG|aRCR
120	32613 31653	   	179.08	DCR|4VULN|1AART|1DMG	1289VULN|3AART|4ERES|5LWND|6RCR|7CGEN|aDMG
121	33363 61242	   	178.96	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	159VULN|2LIT|3AART|4DUR|6RCR|7DMG|8ASPD|aMLV
122	33363 61243	   	178.96	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	159VULN|2LIT|3AART|4DUR|6RCR|7DMG|8ASPD|aCGEN
123	33363 61253	   	178.96	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	15aVULN|2LIT|3AART|4DUR|6RCR|7DMG|8ASPD|9LHND
124	33363 61241	   	178.86	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	159VULN|2LIT|3AART|4DUR|6RCR|7DMG|8ASPD|aTLV
125	36315 12611	 * 	178.82	DCR|4VULN|2AART|1CDMG	167aVULN|2LWND|3CDMG|45AART|8RCR|9CGEN
126	62315 12611	   	178.82	DCR|4VULN|2AART|1CDMG	1LWND|267aVULN|3CDMG|45AART|8RCR|9CGEN
127	36115 11623	   	178.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	13VULN|2LWND|4RCR|5CGEN|6DUR|7ZMB|89DMG|aAART
128	62115 11623	   	178.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1LWND|23VULN|4RCR|5CGEN|6DUR|7ZMB|89DMG|aAART
129	12113 24633	   	178.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|23VULN|4RCR|5MLV|6LHND|78DMG|9ZMB|aAART
130	12115 24633	   	178.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|23VULN|4RCR|5CGEN|6LHND|78DMG|9ZMB|aAART
