0	Index      	 *	Score 	Summary	Detail	
127	15231 21323	   	171.82	DCR|3VULN|1AART|1DMG|1ASPD	1FEWX|259VULN|3AART|4DMG|6RCR|7DUST|8LSRHEA|aASPD
128	15231 21325	   	171.82	DCR|3VULN|1AART|1DMG|1DUR	1FEWX|259VULN|3AART|4DMG|6RCR|7DUST|8LSRHEA|aDUR
129	15231 24322	   	171.82	DCR|3VULN|1AART|1DMG|1ASPD	1FEWX|259VULN|3AART|4DMG|6RCR|7LEGI|8NUKE|aASPD
130	15231 24523	   	171.82	DCR|3VULN|1AART|1DMG|1ASPD	1FEWX|259VULN|3AART|4DMG|6RCR|7LEGI|8LSRREG|aASPD
131	15231 26142	   	171.82	DCR|3VULN|1AART|1DMG|1ASPD	1FEWX|258VULN|3AART|4DMG|6RCR|7ERES|9DUST|aASPD
132	15231 26622	   	171.82	DCR|3VULN|1AART|1DMG|1ASPD	1FEWX|259VULN|3AART|4DMG|6RCR|7ERES|8DUST|aASPD
133	15265 21323	   	171.82	DCR|3VULN|1AART|1DMG|1ASPD	1FEWX|249VULN|3AART|5DMG|6RCR|7DUST|8LSRHEA|aASPD
134	15231 23416	   	171.78	DCR|2AART|2VULN|1DMG|1ZMB	19FEWX|25VULN|37AART|4DMG|6RCR|8CANHEL|aZMB
135	46332 32422	   	171.68	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1AIRHEA|2CDMG|3DUR|4DMG|5VULN|6RCR|7ZMB|8aAART|9TLV
136	15231 41312	   	171.43	DCR|3VULN|1AART|1DMG|1CDMG	1FEWX|25aVULN|3AART|4DMG|6CDMG|7DUST|8BELT|9RCR
137	15122 22146	   	171.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|24VULN|3ASPD|5ZMB|6CDMG|7AART|8DUST|9RCR|aDMG
138	43123 23135	   	170.62	DCR|2AART|2VULN|1DMG|1CDMG	1AIRHEA|23VULN|4MBVNT|58AART|6ERES|7RCR|9CDMG|aDMG
139	15122 35231	   	170.42	DCR|2VULN|2AART|1DMG|1ZMB|1ASPD	1FEWX|24VULN|3ASPD|5ZMB|6DMG|7CGEN|8RCR|9aAART
140	43126 13135	   	170.02	DCR|2VULN|2AART|1DMG|1CDMG	1AIRHEA|23VULN|4MBVNT|5ERES|68AART|7RCR|9CDMG|aDMG
141	15231 22615	   	170.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	18FEWX|25VULN|3AART|4DMG|6RCR|7LHND|9ASPD|aCDMG
142	15241 31226	   	170.01	DCR|3VULN|1AART|1DMG|2DUR	1FEWX|256VULN|3AART|46DUR|6BPWR|7DUST|8TLV|9RCR|aDMG
143	15231 21115	   	169.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1FEWX|25VULN|3AART|4DMG|6RCR|78DUST|9ASPD|aCDMG
144	15231 21333	   	169.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1FEWX|25VULN|3AART|4DMG|6RCR|7DUST|8LSRHEA|9CDMG|aASPD
145	15265 21333	   	169.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1FEWX|24VULN|3AART|5DMG|6RCR|7DUST|8LSRHEA|9CDMG|aASPD
146	15231 42242	   	169.75	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1FEWX|25VULN|3AART|4DMG|6CDMG|7CGEN|8DUR|9RCR|aASPD
147	15233 12242	 * 	169.43	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	1FEWX|2VULN|3AART|48DMG|5aASPD|6BEXP|7CDMG|9RCR
148	43153 35213	   	169.28	DCR|3VULN|1AART|1DMG|1ZMB	1AIRHEA|234VULN|5MLV|6DMG|7RCR|8ZMB|9LSRREG|aAART
149	43336 34232	   	168.81	DCR|3VULN|2DMG|1CDMG	1AIRHEA|28aVULN|3LHND|49DMG|5CDMG|6RCR|7LIT
150	46232 34232	   	168.81	DCR|3VULN|2DMG|1CDMG	1AIRHEA|2CDMG|3LHND|49DMG|58aVULN|6RCR|7LIT
151	15266 11123	 * 	168.78	DCR|3VULN|1AART|2CDMG|1ZMB	1FEWX|245VULN|3AART|68CDMG|7ZMB|9RCR|aCGEN
152	15126 21413	 * 	168.71	DCR|3VULN|2AART|2ASPD	1FEWX|24aVULN|39ASPD|58AART|6RCR|7DUST
153	15266 11121	   	168.68	DCR|3VULN|1AART|2CDMG|1ZMB	1FEWX|245VULN|3AART|68CDMG|7ZMB|9RCR|aDUST
154	15266 11122	   	168.68	DCR|3VULN|1AART|2CDMG|1ZMB	1FEWX|245VULN|3AART|68CDMG|7ZMB|9RCR|aERES
155	13626 22322	   	168.57	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1SELL	1FEWX|2SELL|3CDMG|49VULN|5AART|6RCR|7LHND|8DMG|aASPD
156	13626 22362	   	168.57	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1SELL	1FEWX|2SELL|3CDMG|4VULN|5AART|6RCR|7LHND|89DMG|aASPD
157	13626 25323	   	168.57	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1FEWX|2SELL|3CDMG|49VULN|5AART|6RCR|7BEXP|8DMG|aDUR
158	13626 24322	   	168.47	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1SELL	1FEWX|2SELL|3CDMG|49VULN|5AART|6RCR|7LEGI|8DMG|aASPD
159	15231 42243	   	168.11	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1FEWX|25VULN|3AART|4DMG|6CDMG|7CGEN|8aDUR|9RCR
160	13626 22325	 * 	167.94	DCR|2VULN|1AART|1DMG|2CDMG|1SELL	1FEWX|2SELL|3aCDMG|49VULN|5AART|6RCR|7LHND|8DMG
161	15231 22611	   	167.81	DCR|2AART|2VULN|1DMG|1ASPD	18FEWX|25VULN|3aAART|4DMG|6RCR|7LHND|9ASPD
162	15231 23222	   	167.81	DCR|2AART|2VULN|1DMG|1ASPD	1FEWX|25VULN|37AART|4DMG|6RCR|8CGEN|9LHND|aASPD
163	15231 23313	   	167.81	DCR|2AART|2VULN|1DMG|1ASPD	1FEWX|25VULN|37AART|4DMG|6RCR|8LWND|9ASPD|aCGEN
164	15231 23322	   	167.81	DCR|2AART|2VULN|1DMG|1ASPD	1FEWX|25VULN|37AART|4DMG|6RCR|8LWND|9RMIN|aASPD
165	15231 23332	   	167.81	DCR|2AART|2VULN|1DMG|1ASPD	1FEWX|25VULN|37AART|4DMG|6RCR|8LWND|9MLV|aASPD
166	15231 23362	   	167.81	DCR|2AART|2VULN|1DMG|1ASPD	1FEWX|25VULN|37AART|4DMG|6RCR|8LWND|9CGEN|aASPD
167	15231 25411	   	167.81	DCR|2AART|2VULN|1DMG|1ASPD	1FEWX|25VULN|38AART|4DMG|6RCR|7BEXP|9ASPD|aDMSP
168	15231 25412	   	167.81	DCR|2AART|2VULN|1DMG|1ASPD	1FEWX|25VULN|38AART|4DMG|6RCR|7aBEXP|9ASPD
169	15231 25423	   	167.81	DCR|2AART|2VULN|1DMG|1DUR	1FEWX|25VULN|38AART|4DMG|6RCR|7BEXP|9RMIN|aDUR
170	15231 25432	   	167.81	DCR|2AART|2VULN|1DMG|1ASPD	1FEWX|25VULN|38AART|4DMG|6RCR|7BEXP|9MLV|aASPD
171	15265 23222	   	167.81	DCR|2AART|2VULN|1DMG|1ASPD	1FEWX|24VULN|37AART|5DMG|6RCR|8CGEN|9LHND|aASPD
172	15265 23313	   	167.81	DCR|2AART|2VULN|1DMG|1ASPD	1FEWX|24VULN|37AART|5DMG|6RCR|8LWND|9ASPD|aCGEN
173	15265 23322	   	167.81	DCR|2AART|2VULN|1DMG|1ASPD	1FEWX|24VULN|37AART|5DMG|6RCR|8LWND|9RMIN|aASPD
