0	Index      	 *	Score 	Summary	Detail	
73	32525 52211	   	181.89	ACR|3VULN|2DMG|1AART	1AART|28ERES|368VULN|4RCR|58DMG|7RPLT|8BPWR|9RMIN|aCGEN
74	32525 52221	   	181.89	ACR|3VULN|2DMG|1AART	1AART|28ERES|368VULN|4RCR|58DMG|7RPLT|8BPWR|9BEXP|aLHND
75	32525 52222	   	181.89	ACR|3VULN|2DMG|1AART	1AART|28ERES|368VULN|4RCR|58DMG|7RPLT|8BPWR|9aBEXP
76	32525 52223	   	181.89	ACR|3VULN|2DMG|1AART	1AART|28ERES|368VULN|4RCR|58DMG|7RPLT|8BPWR|9BEXP|aFEWX
77	32525 51211	   	181.79	ACR|3VULN|2DMG|1AART	1AART|2ERES|367VULN|4RCR|59DMG|8FEWX|aLIT
78	32525 52212	   	181.79	ACR|3VULN|2DMG|1AART	1AART|28ERES|368VULN|4RCR|58DMG|7RPLT|8BPWR|9RMIN|aAIRHEL
79	32525 52213	   	181.79	ACR|3VULN|2DMG|1AART	1AART|28ERES|368VULN|4RCR|58DMG|7RPLT|8BPWR|9RMIN|aMBVNT
80	32525 52231	   	181.79	ACR|3VULN|2DMG|1AART	1AART|28ERES|368VULN|4RCR|58DMG|7RPLT|8BPWR|9DUST|aLHND
81	32525 52232	   	181.79	ACR|3VULN|2DMG|1AART	1AART|28ERES|368VULN|4RCR|58DMG|7RPLT|8BPWR|9DUST|aBEXP
82	32525 62212	   	181.79	ACR|3DMG|2VULN|1AART	1AART|268ERES|38VULN|4RCR|589DMG|7RPLT|8BPWR|aBELT
83	32525 62213	   	181.79	ACR|3DMG|2VULN|1AART	1AART|268ERES|38VULN|4RCR|589DMG|7RPLT|8BPWR|aFEWX
84	32525 51111	   	181.69	ACR|3VULN|2DMG|1AART	1AART|2ERES|367VULN|4RCR|59DMG|8DUST|aLIT
85	32525 51311	   	181.69	ACR|3VULN|2DMG|1AART	1AART|2ERES|367VULN|4RCR|59DMG|8MBVNT|aLIT
86	32525 51312	   	181.69	ACR|3VULN|2DMG|1AART	1AART|2ERES|367VULN|4RCR|59DMG|8MBVNT|aRMIN
87	32525 51314	   	181.69	ACR|3VULN|2DMG|1AART	1AART|2ERES|367VULN|4RCR|59DMG|8MBVNT|aMLV
88	31625 21362	   	181.66	ACR|3VULN|1AART|1DMG|2ZMB	1AART|2FEWX|3aZMB|4RCR|5DMG|6RCVC|789VULN
89	31625 31431	   	181.29	ACR|2VULN|2DMG|1AART|2ZMB	1AART|29FEWX|36ZMB|4RCR|59DMG|79VULN|8RMIN|9BPWR|aCGEN
90	31625 31432	   	181.29	ACR|2VULN|2DMG|1AART|2ZMB	1AART|29FEWX|36ZMB|4RCR|59DMG|79VULN|8RMIN|9BPWR|aDMSP
91	31625 31433	   	181.19	ACR|2VULN|2DMG|1AART|2ZMB	1AART|29FEWX|36ZMB|4RCR|59DMG|79VULN|8RMIN|9BPWR|aTLV
92	31625 51312	   	181.09	ACR|2VULN|2DMG|1AART|2ZMB	1AART|27FEWX|3aZMB|4RCR|59DMG|68VULN
93	31625 31311	   	181.09	ACR|2VULN|2DMG|1AART|2ZMB	1AART|2FEWX|36ZMB|4RCR|59DMG|78VULN|aLIT
94	31625 31313	   	181.09	ACR|2VULN|2DMG|1AART|2ZMB	1AART|2FEWX|36ZMB|4RCR|59DMG|78VULN|aLWND
95	31625 31315	   	181.09	ACR|2VULN|2DMG|1AART|2ZMB	1AART|2FEWX|36ZMB|4RCR|59DMG|78VULN|aBEXP
96	32535 51312	 * 	181.01	DCR|3VULN|2DMG|1AART|1DUR	1AART|2ERES|367VULN|4DUR|59DMG|8MBVNT|aRCR
97	23825 41432	   	180.84	ACR|4VULN|3DMG	179CGEN|2MBVNT|3DUST|4789VULN|5RCR|679DMG|79BPWR|aBEXP
98	23825 41437	   	180.84	ACR|4VULN|3DMG	179CGEN|2MBVNT|3DUST|4789VULN|5RCR|679DMG|79BPWR|aRPLT
99	32522 41225	   	180.80	ACR|4VULN|1AART|2CDMG	1AART|258ERES|3589VULN|4RCR|58BPWR|6RCVC|78CDMG|aBEXP
100	23825 41433	   	180.74	ACR|4VULN|3DMG	179CGEN|2MBVNT|3aDUST|4789VULN|5RCR|679DMG|79BPWR
101	23825 41435	   	180.74	ACR|4VULN|3DMG	179CGEN|2MBVNT|3DUST|4789VULN|5RCR|679DMG|79BPWR|aTLV
102	32522 41226	   	180.70	ACR|4VULN|1AART|2CDMG	1AART|258ERES|3589VULN|4RCR|58BPWR|6RCVC|78CDMG|aLEGI
103	31633 36513	 * 	180.57	ACR|3DMG|2AART|2ZMB|2DUR	14AART|2aFEWX|36ZMB|5RCR|79aDMG|8aDUR|aBPWR
104	32522 11615	   	180.48	ACR|2AART|2VULN|1DMG|1CDMG|1ASPD	18AART|25ERES|35VULN|4RCR|5BPWR|6LEGI|7ASPD|9DMG|aCDMG
105	31425 21363	   	180.45	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2FEWX|3MLV|4RCR|5DMG|6RCVC|789VULN|aCDMG
106	32333 41365	   	180.44	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR|1ASPD	14AART|2ERES|3DUR|5ZMB|6RCR|78VULN|9ASPD|aCDMG
107	31125 21363	   	180.35	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2FEWX|3ERES|4RCR|5DMG|6RCVC|789VULN|aCDMG
