0	Index      	 *	Score 	Summary	Detail	
147	53234 13343	   	154.93	DCR|2VULN|1AART|1DMG|1ZMB	13FEWX|2ZMB|4AART|5RPLT|6aVULN|7DMG|8RCR|9DUST
148	56331 31613	   	154.93	DCR|2DMG|1AART|1VULN|1ZMB	1FEWX|2DMSP|36DMG|4AART|5VULN|7RMIN|8RCR|9DLOT|aZMB
149	22351 33354	 * 	154.68	ACR|2DMG|1AART|1VULN|2DUR	1RCVC|2aDUR|36DMG|46ERES|5RCR|6BPWR|7AART|8VULN|9TLV
150	11634 43113	   	154.38	ACR|2VULN|1AART|1DMG|1DUR	1CGEN|2BEXP|3RCR|4LWND|5DUR|6MLV|7AART|89VULN|aDMG
151	21261 36325	   	154.33	DCR|2VULN|1AART|1DMG|1ZMB	1RCVC|2BEXP|3CGEN|4DUST|58VULN|6ZMB|7RCR|9AART|aDMG
152	45322 12323	   	154.30	DCR|1AART|1VULN|1CDMG|2DUR|1ZMB|1ASPD	14DUR|2BASICY|3ZMB|5AART|6RCR|7CGEN|8ASPD|9VULN|aCDMG
153	45322 15233	   	154.30	DCR|1AART|1VULN|1CDMG|2DUR|1ZMB|1ASPD	14DUR|2BASICY|3ZMB|5AART|6RCR|7MLV|8VULN|9ASPD|aCDMG
154	11615 14113	   	154.28	ACR|2VULN|1AART|1DMG|1DUR	1CGEN|2BEXP|3RCR|4ERES|5DUR|6FEWX|7AART|89VULN|aDMG
155	11634 63113	   	154.28	ACR|2VULN|1AART|1DMG|1DUR	1CGEN|2BEXP|3RCR|4LWND|5DUR|6NUKE|7AART|89VULN|aDMG
156	11662 15113	   	154.28	ACR|2VULN|1AART|1DMG|1ASPD	1CGEN|2BEXP|3RCR|4ASPD|5MBVNT|6FEWX|7AART|89VULN|aDMG
157	11662 45113	   	154.28	ACR|2VULN|1AART|1DMG|1ASPD	1CGEN|2BEXP|3RCR|4ASPD|5MBVNT|6LWND|7AART|89VULN|aDMG
158	16613 33113	   	154.28	ACR|2VULN|1AART|1DMG|1DUR	1CGEN|2FEWX|3RCR|4ERES|5DUR|6LWND|7AART|89VULN|aDMG
159	16621 33325	   	154.28	ACR|2VULN|1AART|1DMG|1DUR	1CGEN|24FEWX|3RCR|56VULN|7AART|8DUR|9TLV|aDMG
