0	Index      	 *	Score 	Summary	Detail	
120	42814 12543	   	171.26	ACR|1BASARM|1DMG|1CDMG|1AAC	1RCVC|2MBVNT|3ZMB|4CGEN|5RCR|6CDMG|7BASARM|8DUR|9DMG|aAAC
121	42354 12121	   	171.16	ACR|1BASARM|1DMG|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8LHND|9ERES|aDMG
122	42354 12124	   	171.16	ACR|1BASARM|1ASPD|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8LHND|9ERES|aASPD
123	42354 12141	   	171.16	ACR|1BASARM|1DMG|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8LHND|9DMG|aNUKE
124	42354 12145	   	171.16	ACR|1BASARM|1DMG|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8LHND|9DMG|aMDPS
125	42354 12221	   	171.16	ACR|1BASARM|1DMG|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8NUKE|9LWND|aDMG
126	42354 12271	   	171.16	ACR|1BASARM|1DMG|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8NUKE|9FEWX|aDMG
127	42354 12461	   	171.16	ACR|1BASARM|1ASPD|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8AEFBLL|9ASPD|aLHND
128	42354 12463	   	171.16	ACR|1BASARM|1ASPD|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8AEFBLL|9ASPD|aZMB
129	42354 12464	   	171.16	ACR|1BASARM|1ASPD|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8AEFBLL|9ASPD|aLIT
130	42354 12521	   	171.16	ACR|1BASARM|1DMG|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8DUR|9ERES|aDMG
131	42354 12524	   	171.16	ACR|1BASARM|1ASPD|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8DUR|9ERES|aASPD
132	42354 12541	   	171.16	ACR|1BASARM|1DMG|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8DUR|9DMG|aNUKE
133	42354 12621	   	171.16	ACR|1BASARM|1DMG|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8AME|9LHND|aDMG
134	42354 12711	   	171.16	ACR|1BASARM|1DMG|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8LEGI|9RMIN|aDMG
135	42354 12742	   	171.16	ACR|1BASARM|1DMG|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8LEGI|9DMG|aDUR
136	42354 12743	   	171.16	ACR|1BASARM|1DMG|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8LEGI|9DMG|aMLV
137	42354 12281	   	171.06	ACR|1BASARM|1DMG|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8NUKE|9LEGI|aDMG
138	42354 12426	 * 	171.06	ACR|1BASARM|1BASICY|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8AEFBLL|9SNIHEL|aBASICY
139	42354 12721	   	171.06	ACR|1BASARM|1DMG|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8LEGI|9ERES|aDMG
140	42354 12724	   	171.06	ACR|1BASARM|1ASPD|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8LEGI|9ERES|aASPD
141	42354 12741	   	171.06	ACR|1BASARM|1DMG|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8LEGI|9DMG|aNUKE
142	45123 53131	   	171.04	ACR|1BASARM|2BEXP|1AAC	1RCVC|2aMLV|36BEXP|4RCR|5AME|7AAC|8LIT|9BASARM
143	45123 53132	   	171.04	ACR|1BASARM|2BEXP|1AAC	1RCVC|2MLV|36BEXP|4RCR|5AME|7AAC|8LIT|9BASARM|aDUR
144	45123 53133	   	171.04	ACR|1BASARM|2BEXP|1AAC	1RCVC|2MLV|36BEXP|4RCR|5AME|7AAC|8aLIT|9BASARM
145	36521 12143	   	170.98	ACR|1BASARM|2AAC|1BEXP|1VULN	15DUR|23AAC|4RCR|6BEXP|7VULN|8DUST|9BASARM|aLHND
146	36523 12143	   	170.98	ACR|1BASARM|2AAC|1BEXP|1VULN	1DUR|23AAC|4RCR|5DMSP|6BEXP|7VULN|8DUST|9BASARM|aLHND
147	45123 11314	 * 	170.82	ACR|2DMG|1BASICY|1BEXP|1CDMG	1RCVC|2MLV|3BEXP|4RCR|5AME|6CDMG|79DMG|8CGEN|aBASICY
148	45123 11315	   	170.82	ACR|2DMG|1ASPD|1BEXP|1CDMG	1RCVC|2MLV|3BEXP|4RCR|5AME|6CDMG|79DMG|8CGEN|aASPD
149	36521 31315	   	170.56	ACR|1BASARM|1DMG|2AAC	15DUR|23AAC|4RCR|6FEWX|7CGEN|8DMG|9LHND|aBASARM
150	36523 31315	   	170.56	ACR|1BASARM|1DMG|2AAC	1DUR|23AAC|4RCR|5DMSP|6FEWX|7CGEN|8DMG|9LHND|aBASARM
151	42117 33353	 * 	170.41	ACR|2DMG|3VULN|1ASPD	1RCVC|2MBVNT|36aVULN|48DMG|5RCR|7ASPD|9MLV
152	42117 33372	   	170.41	ACR|2DMG|3VULN|1ASPD	1RCVC|2MBVNT|369VULN|48DMG|5RCR|7ASPD|aLIT
153	42117 33373	   	170.41	ACR|2DMG|3VULN|1ASPD	1aRCVC|2MBVNT|369VULN|48DMG|5RCR|7ASPD
154	42117 33374	   	170.41	ACR|2DMG|3VULN|1ASPD	1RCVC|2MBVNT|369VULN|48DMG|5RCR|7ASPD|aDMSP
155	42117 33126	 * 	170.41	ACR|2ASPD|3VULN|1DMG	1RCVC|2MBVNT|368VULN|4DMG|5RCR|7aASPD|9LWND
156	42117 33313	   	170.31	ACR|2DMG|3VULN|1ASPD	1RCVC|2MBVNT|36aVULN|48DMG|5RCR|7ASPD|9AME
157	42117 34323	   	170.31	ACR|2DMG|3VULN|1ASPD	1RCVC|2MBVNT|36aVULN|48DMG|5RCR|7AME|9ASPD
158	42117 33146	   	170.31	ACR|2DMG|3VULN|1ASPD	1RCVC|2MBVNT|368VULN|4aDMG|5RCR|7ASPD|9AEMAG
