0	Index      	 *	Score 	Summary	Detail	
94	24214 22313	   	191.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1LWND|2ASPD|3ZMB|4MLV|5AART|6DMG|7RCR|8VULN|9CDMG|aDUST
95	24234 22313	   	191.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1LWND|2ASPD|3ZMB|4AME|5AART|6DMG|7RCR|8VULN|9CDMG|aDUST
96	22511 46321	   	191.72	DCR|2VULN|1ASPD|1NUKE|1CDMG|2ZMB	1LWND|26VULN|35ZMB|4FEWX|7RCR|8ASPD|9CDMG|aNUKE
97	52226 42322	   	191.68	DCR|3VULN|1AART|1DMG|1DUR	1DUR|258VULN|3DLOT|4DMG|6aMLV|7RCR|9AART
98	52226 12322	   	191.58	DCR|3VULN|1AART|1DMG|1DUR	1DUR|258VULN|3DLOT|4DMG|6ERES|7RCR|9AART|aMLV
99	52226 12323	   	191.58	DCR|3VULN|1AART|1DMG|1DUR	1DUR|258VULN|3DLOT|4DMG|6ERES|7RCR|9AART|aLIT
100	52226 42321	   	191.58	DCR|3VULN|1AART|1DMG|1DUR	1DUR|258VULN|3DLOT|4DMG|6MLV|7RCR|9AART|aTLV
101	22226 42413	   	191.53	DCR|2VULN|2DMG|2CDMG|1DUR	1aLWND|25VULN|3DLOT|4aDMG|6MLV|7RCR|8DUR|9aCDMG|aBPWR
102	52226 12321	   	191.48	DCR|3VULN|1AART|1DMG|1DUR	1DUR|258VULN|3DLOT|4DMG|6ERES|7RCR|9AART|aTLV
103	52226 12326	   	191.48	DCR|3VULN|1AART|1DMG|1DUR	1DUR|258VULN|3DLOT|4DMG|6ERES|7RCR|9AART|aDUST
104	22226 12413	   	191.43	DCR|2VULN|2DMG|2CDMG|1DUR	1aLWND|25VULN|3DLOT|4aDMG|6ERES|7RCR|8DUR|9aCDMG|aBPWR
105	62123 22541	   	191.16	DCR|2VULN|2DMG|1ASPD|2DUR	1DUST|2aVULN|3BEXP|45DUR|6aDMG|7ASPD|8RCR|9aLWND|aBPWR
106	62123 22551	   	191.16	DCR|2VULN|2DMG|1ASPD|2DUR	1DUST|2aVULN|3BEXP|45DUR|6aDMG|7ASPD|8RCR|9aFEWX|aBPWR
107	54332 21161	   	191.03	DCR|2VULN|2ASPD|1DMG|2DUR|1AAC|1SELL	13DUR|25ASPD|45VULN|5BPWR|6DMG|7DMSP|8RCR|9AAC|aSELL
