0	Index      	 *	Score 	Summary	Detail	
94	26432 21216	   	190.05	ACR|1BASARM|1ASPD|1DMG|1VULN	1MLV|2FEWX|3LWND|4RCR|5ASPD|6RCVC|7ERES|8DMG|9VULN|aBASARM
95	62321 36724	   	188.30	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	13ERES|2VULN|4RCR|5AEFBLL|6DMG|7MBVNT|8BEXP|9BASARM|aAAC
96	14223 16123	   	188.25	ACR|1BASARM|1VULN|1ASPD|1DMG	1TLV|2AEFBLL|3LWND|4RCR|5ASPD|6ZMB|7DMG|8VULN|9BASARM|aRCVC
97	64223 16123	   	188.25	ACR|1BASARM|1VULN|1ASPD|1DMG	1ERES|2AEFBLL|3LWND|4RCR|5ASPD|6ZMB|7DMG|8VULN|9BASARM|aRCVC
98	26432 31216	   	188.02	ACR|1BASARM|1ASPD|1DMG|1VULN	1MLV|26FEWX|3LWND|4RCR|5ASPD|7ERES|8DMG|9VULN|aBASARM
99	14223 16121	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1TLV|2AEFBLL|3LWND|4RCR|5ASPD|6ZMB|7DMG|8VULN|9BASARM|aFEWX
100	14223 16125	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1TLV|2AEFBLL|3LWND|4RCR|5ASPD|6ZMB|7DMG|8VULN|9BASARM|aCGEN
101	64223 16121	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1ERES|2AEFBLL|3LWND|4RCR|5ASPD|6ZMB|7DMG|8VULN|9BASARM|aFEWX
102	64221 11226	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1ERES|2AEFBLL|3LWND|4RCR|5VULN|67DUR|8DMG|9BASARM|aASPD
103	64221 21226	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1ERES|2AEFBLL|36LWND|4RCR|5VULN|7FEWX|8DMG|9BASARM|aASPD
104	64221 23226	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1ERES|2AEFBLL|36LWND|4RCR|5VULN|7DUR|8DMG|9BASARM|aASPD
105	66321 11226	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	13ERES|2FEWX|4RCR|5VULN|67DUR|8DMG|9BASARM|aASPD
106	66321 12226	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	13ERES|27FEWX|4RCR|5VULN|6DUR|8DMG|9BASARM|aASPD
107	62321 61226	   	187.82	ACR|1BASARM|1VULN|1ASPD|1DMG	13ERES|2VULN|4RCR|5AEFBLL|6LWND|7FEWX|8DMG|9BASARM|aASPD
108	62321 63226	   	187.82	ACR|1BASARM|1VULN|1ASPD|1DMG	13ERES|2VULN|4RCR|5AEFBLL|6LWND|7DUR|8DMG|9BASARM|aASPD
109	62326 11226	   	187.82	ACR|1BASARM|1VULN|1ASPD|1DMG	13ERES|2VULN|4RCR|5DUST|67DUR|8DMG|9BASARM|aASPD
110	63321 11226	   	187.82	ACR|1BASARM|1VULN|1ASPD|1DMG	13ERES|2DUST|4RCR|5VULN|67DUR|8DMG|9BASARM|aASPD
111	63521 11226	   	187.82	ACR|1BASARM|1VULN|1ASPD|1DMG	1ERES|23DUST|4RCR|5VULN|67DUR|8DMG|9BASARM|aASPD
112	14223 16122	   	187.82	ACR|1BASARM|1VULN|1DMG|1ASPD	1TLV|2AEFBLL|3LWND|4RCR|5ASPD|6ZMB|7DMG|8VULN|9BASARM|aLEGI
113	23432 11216	   	187.82	ACR|1BASARM|1ASPD|1DMG|1VULN	1MLV|26DUST|3LWND|4RCR|5ASPD|7ERES|8DMG|9VULN|aBASARM
114	26532 11216	   	187.82	ACR|1BASARM|1ASPD|1DMG|1VULN	1MLV|2FEWX|36DUST|4RCR|5ASPD|7ERES|8DMG|9VULN|aBASARM
115	64223 16122	   	187.82	ACR|1BASARM|1VULN|1ASPD|1DMG	1ERES|2AEFBLL|3LWND|4RCR|5ASPD|6ZMB|7DMG|8VULN|9BASARM|aLEGI
116	13522 26126	   	187.82	ACR|1BASARM|1VULN|1ASPD|1DMG	1TLV|23DUST|4RCR|56LWND|7DMG|8VULN|9BASARM|aASPD
117	63322 26126	   	187.82	ACR|1BASARM|1VULN|1DMG|1ASPD	13ERES|2DUST|4RCR|56LWND|7DMG|8VULN|9BASARM|aASPD
118	62321 36227	   	187.72	ACR|1BASARM|1VULN|1ASPD|1DMG	13ERES|2VULN|4RCR|5AEFBLL|6DMG|7MBVNT|8FEWX|9BASARM|aASPD
119	62321 36427	   	187.72	ACR|1BASARM|1VULN|1ASPD|1DMG	13ERES|2VULN|4RCR|5AEFBLL|6DMG|7MBVNT|8LWND|9BASARM|aASPD
120	63321 14226	   	187.72	ACR|1BASARM|1VULN|1ASPD|1DMG	13ERES|27DUST|4RCR|5VULN|6DUR|8DMG|9BASARM|aASPD
121	63321 24226	   	187.72	ACR|1BASARM|1VULN|1DMG|1ASPD	13ERES|27DUST|4RCR|5VULN|6LWND|8DMG|9BASARM|aASPD
122	23432 14126	   	187.05	ACR|1BASARM|2ASPD|1VULN	1MLV|26DUST|3LWND|4RCR|5aASPD|7RCVC|8VULN|9BASARM
123	14223 34226	   	187.05	ACR|1BASARM|2ASPD|1VULN	1TLV|2AEFBLL|3LWND|4RCR|5aASPD|6VULN|7RCVC|8FEWX|9BASARM
124	13523 34226	   	186.95	ACR|1BASARM|2ASPD|1VULN	1TLV|23DUST|4RCR|5aASPD|6VULN|7RCVC|8FEWX|9BASARM
125	63323 34226	   	186.95	ACR|1BASARM|2ASPD|1VULN	13ERES|2DUST|4RCR|5aASPD|6VULN|7RCVC|8FEWX|9BASARM
126	13432 14126	   	186.95	ACR|1BASARM|2ASPD|1VULN	1TLV|26DUST|3LWND|4RCR|5aASPD|7RCVC|8VULN|9BASARM
127	62321 34432	 * 	186.87	ACR|2DMG|1VULN|1ASPD|1BEXP|1CDMG	137ERES|2VULN|4RCR|57AEFBLL|67DMG|7BPWR|8BEXP|9CDMG|aASPD
128	63323 32626	   	186.52	ACR|1BASARM|2ASPD|1VULN	13ERES|2DUST|4RCR|5aASPD|6VULN|7FEWX|8RCVC|9BASARM
