0	Index      	 *	Score 	Summary	Detail	
158	42153 31343	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4LEGI|56RCR|7AART|9CGEN|aFEWX
159	42153 31363	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4LEGI|56RCR|7AART|9RMIN|aFEWX
160	42153 32113	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|37VULN|4LEGI|56RCR|8LHND|9CGEN|aAAC
161	42153 32122	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1DMG|2TLV|37VULN|4LEGI|56RCR|8LHND|9FEWX|aCDMG
162	42153 32123	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|37VULN|4LEGI|56RCR|8LHND|9FEWX|aAAC
163	42153 32152	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1DMG|2TLV|37VULN|4LEGI|56RCR|8LHND|9LWND|aCDMG
164	42153 32153	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|37VULN|4LEGI|56RCR|8LHND|9LWND|aAAC
165	42153 32162	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1DMG|2TLV|37VULN|4LEGI|56RCR|8LHND|9BEXP|aCDMG
166	42153 32163	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|37VULN|4LEGI|56RCR|8LHND|9BEXP|aAAC
167	42153 32513	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1CDMG|1AAC	1DMG|2TLV|37VULN|4LEGI|56RCR|8AAC|9RCVC|aCDMG
168	42153 32613	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1DMG|2TLV|37VULN|4LEGI|56RCR|8RAT|9RCVC|aDUR
169	42153 33116	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1DMG|2TLV|38VULN|4LEGI|56RCR|7CGEN|9RCVC|aDUR
