0	Index      	 *	Score 	Summary	Detail	
71	25611 14814	 * 	220.96	ACR|2VULN|3BEXP|3CDMG|1DMG|1AAC	1MBVNT|2RCR|348BEXP|48BPWR|578CDMG|68VULN|9DMG|aAAC
72	15623 23335	   	220.96	ACR|3VULN|2ASPD|2CDMG|1AART|1AAC	159VULN|2MBVNT|3RCR|45ASPD|59BPWR|69CGEN|7AART|89CDMG|aAAC
73	66111 21312	 * 	220.72	ACR|3BEXP|2DMG|1VULN|2CDMG|1AART	148DUST|249BEXP|3RCR|49BPWR|59CDMG|6AART|79DMG|aVULN
74	25636 24342	 * 	220.55	ACR|2ASPD|1VULN|2BEXP|2AART|1CDMG	1MBVNT|2RCR|3aBEXP|45AART|69ASPD|7VULN|8CDMG
75	25611 21142	   	220.51	ACR|3BEXP|1VULN|1ASPD|1DMG|1AART|1CDMG	1MBVNT|2RCR|34aBEXP|4BPWR|5CDMG|6AART|7DMG|8VULN|9ASPD
76	15623 12841	 * 	220.37	ACR|3VULN|3ASPD|1BASICY|1BEXP	156VULN|2MBVNT|3RCR|458ASPD|5BPWR|7RCVC|9BEXP|aBASICY
77	15622 51332	   	219.88	ACR|3VULN|2ASPD|1DMG|1CDMG|1BEXP	167VULN|2MBVNT|3RCR|4aASPD|5CDMG|8DMG|9BEXP
78	25355 23442	 * 	219.65	ACR|3ASPD|2VULN|2DMG|1SELL	1MBVNT|2RCR|3SELL|49VULN|58aASPD|69AEFBLL|79DMG|9BPWR
79	15624 53421	   	219.65	ACR|3VULN|2ASPD|2BEXP|1DMG	19aVULN|2MBVNT|3RCR|49ASPD|5LHND|6DMG|7RCVC|89BEXP|9BPWR
80	15625 23421	   	219.65	ACR|3VULN|2ASPD|2BEXP|1DMG	19aVULN|2MBVNT|3RCR|49ASPD|5FEWX|6DMG|7RCVC|89BEXP|9BPWR
81	66116 23232	   	219.61	ACR|3BEXP|2ASPD|2DMG|1CDMG	148DUST|247BEXP|3RCR|48BPWR|58ASPD|68DMG|9FEWX|aCDMG
82	15622 33451	   	219.54	ACR|2VULN|2ASPD|1DMG|1CDMG|1AART|1AAC	17VULN|2MBVNT|3RCR|48ASPD|5CDMG|6DMG|9AART|aAAC
83	15672 31231	   	219.54	ACR|2VULN|2DMG|1ASPD|1CDMG|1AART|1AAC	17VULN|2MBVNT|3RCR|4CDMG|56DMG|8AART|9ASPD|aAAC
84	66116 23222	   	219.51	ACR|3BEXP|2ASPD|2DMG|1CDMG	148DUST|247BEXP|3RCR|48BPWR|58ASPD|68DMG|9LEGI|aCDMG
85	25352 61414	 * 	218.59	ACR|3VULN|3DMG|2BEXP|1SELL	1MBVNT|2RCR|3SELL|47aVULN|579DMG|67aLIT|7aBPWR|8aBEXP
86	25356 41414	 * 	218.59	ACR|3VULN|3DMG|2BEXP|1SELL	1MBVNT|2RCR|3SELL|47aVULN|57aLIT|679DMG|7aBPWR|8aBEXP
87	15623 31323	 * 	218.18	ACR|4VULN|2ASPD|1DMG|1CDMG|1SELL	157aVULN|2MBVNT|3RCR|45ASPD|5BPWR|6SELL|8DMG|9CDMG
88	15625 22121	   	218.05	ACR|3VULN|2ASPD|2BEXP|1DMG	19aVULN|2MBVNT|3RCR|49ASPD|58FEWX|6DMG|79BEXP|9BPWR
89	25611 28442	   	218.04	ACR|3BEXP|2ASPD|1VULN|1CDMG|1AART	1MBVNT|2RCR|34aBEXP|4BPWR|5CDMG|6AART|7VULN|89ASPD
90	25637 24342	   	218.04	ACR|3BEXP|2ASPD|1VULN|1AART|1CDMG	1MBVNT|2RCR|35aBEXP|4AART|69ASPD|7VULN|8CDMG
91	25354 41524	 * 	217.90	ACR|2BASARM|3VULN|2BEXP|1SELL	1MBVNT|2RCR|3SELL|49aVULN|5aBEXP|6AME|7DUR|8aBASARM|aBPWR
92	25354 42524	 * 	217.90	ACR|2BASARM|3VULN|2BEXP|1SELL	1MBVNT|2RCR|3SELL|49aVULN|5aBEXP|6AME|7LHND|8aBASARM|aBPWR
93	66111 21311	 * 	217.57	ACR|3DMG|3BEXP|2CDMG|1AART	148DUST|249BEXP|3RCR|49BPWR|59CDMG|6AART|79aDMG
94	15623 31351	   	217.54	ACR|3VULN|2ASPD|1DMG|1AART|1AAC|1SELL	157VULN|2MBVNT|3RCR|45ASPD|5BPWR|6SELL|8DMG|9AART|aAAC
95	15623 23322	   	217.48	ACR|2VULN|2ASPD|2BEXP|1CDMG|1AART	15VULN|2MBVNT|3RCR|45ASPD|5BPWR|6CGEN|7AART|8CDMG|9aBEXP
96	25611 13813	   	216.62	ACR|3VULN|3BEXP|2CDMG|1ASPD	1MBVNT|2RCR|348BEXP|48BPWR|58CDMG|678VULN|9DMSP|aASPD
97	25645 44221	   	216.57	ACR|2VULN|1BASARM|2BEXP|1DMG	1MBVNT|2RCR|38BEXP|48VULN|5MSLFST|6LWND|78CGEN|8BPWR|9DMG|aBASARM
98	25245 18221	   	216.57	ACR|2VULN|1BASARM|2BEXP|1DMG	1MBVNT|2RCR|38LHND|48VULN|5MSLFST|6CGEN|78BEXP|8BPWR|9DMG|aBASARM
99	15623 22471	   	216.55	ACR|2VULN|1BASARM|2ASPD|1BEXP	15VULN|2MBVNT|3RCR|45ASPD|5BPWR|6CGEN|7MSLTOX|8ERES|9BEXP|aBASARM
100	15623 22821	   	216.55	ACR|2VULN|1BASARM|2ASPD|1BEXP	15VULN|2MBVNT|3RCR|45ASPD|5BPWR|6CGEN|7MSLTOX|8BEXP|9DUST|aBASARM
101	25645 43221	   	216.37	ACR|2VULN|1BASARM|2BEXP|1DMG	1MBVNT|2RCR|38BEXP|48VULN|5MSLFST|6LWND|78TLV|8BPWR|9DMG|aBASARM
102	15623 12362	   	216.15	ACR|3VULN|1BASARM|2ASPD	156VULN|2MBVNT|3RCR|45ASPD|5BPWR|7RCVC|8MLV|9BASARM|aLHND
103	15623 12363	   	216.15	ACR|3VULN|1BASARM|2ASPD	156VULN|2MBVNT|3RCR|45ASPD|5BPWR|7RCVC|8MLV|9BASARM|aFEWX
104	15623 12162	   	216.05	ACR|3VULN|1BASARM|2ASPD	156VULN|2MBVNT|3RCR|45ASPD|5BPWR|7RCVC|8AME|9BASARM|aLHND
105	15623 12163	   	216.05	ACR|3VULN|1BASARM|2ASPD	156VULN|2MBVNT|3RCR|45ASPD|5BPWR|7RCVC|8AME|9BASARM|aFEWX
106	15623 12361	   	216.05	ACR|3VULN|1BASARM|2ASPD	156VULN|2MBVNT|3RCR|45ASPD|5BPWR|7RCVC|8MLV|9BASARM|aAEFBLL
107	15623 12364	   	216.05	ACR|3VULN|1BASARM|2ASPD	156VULN|2MBVNT|3RCR|45ASPD|5BPWR|7RCVC|8MLV|9BASARM|aDUST
108	15623 12161	   	215.95	ACR|3VULN|1BASARM|2ASPD	156VULN|2MBVNT|3RCR|45ASPD|5BPWR|7RCVC|8AME|9BASARM|aAEFBLL
109	15623 12164	   	215.95	ACR|3VULN|1BASARM|2ASPD	156VULN|2MBVNT|3RCR|45ASPD|5BPWR|7RCVC|8AME|9BASARM|aDUST
110	25352 23442	   	215.72	ACR|3ASPD|2VULN|1DMG|1CDMG|1SELL	1MBVNT|2RCR|3SELL|49VULN|5DMG|69AEFBLL|789ASPD|9BPWR|aCDMG
111	15622 53424	 * 	215.69	ACR|3VULN|2ASPD|1DMG|2CDMG	16aVULN|2MBVNT|3RCR|48ASPD|59CDMG|7DMG
112	15622 33424	   	215.69	ACR|3VULN|2ASPD|1DMG|2CDMG	17aVULN|2MBVNT|3RCR|48ASPD|59CDMG|6DMG
113	15672 43424	   	215.69	ACR|3VULN|2ASPD|1DMG|2CDMG	16aVULN|2MBVNT|3RCR|49CDMG|5DMG|78ASPD
114	25617 14111	   	215.54	ACR|2VULN|3BEXP|2ASPD|1CDMG	1MBVNT|2RCR|347BEXP|47BPWR|57ASPD|67VULN|8LIT|9LWND|aCDMG
115	25617 14141	   	215.54	ACR|2VULN|3BEXP|2ASPD|1CDMG	1MBVNT|2RCR|347BEXP|47BPWR|57ASPD|67VULN|8LIT|9DUR|aCDMG
116	25617 14343	   	215.54	ACR|2VULN|3BEXP|2ASPD|1CDMG	1MBVNT|2RCR|347BEXP|47BPWR|57ASPD|67VULN|89LWND|aCDMG
117	25617 14443	   	215.54	ACR|2VULN|3BEXP|2ASPD|1CDMG	1MBVNT|2RCR|347BEXP|47BPWR|57ASPD|67VULN|89LHND|aCDMG
118	25617 14123	   	215.44	ACR|2VULN|3BEXP|2ASPD|1CDMG	1MBVNT|2RCR|347BEXP|47BPWR|57ASPD|67VULN|8LIT|9AME|aCDMG
119	25562 31224	 * 	215.29	ACR|3DMG|2BEXP|1VULN|2CDMG	1MBVNT|2RCR|3aCDMG|4DUR|56aDMG|7VULN|8CGEN|9aBEXP|aBPWR
