0	Index      	 *	Score 	Summary	Detail	
90	34114 23334	   	193.50	DCR|4VULN|1AART|1CDMG	13CGEN|239aVULN|3BPWR|4MBVNT|5CDMG|6AART|7LHND|8RCR
91	34114 26334	   	193.50	DCR|4VULN|1AART|1CDMG	13CGEN|239aVULN|3BPWR|4MBVNT|5CDMG|6AART|7LWND|8RCR
92	62212 52222	 * 	193.45	DCR|3VULN|2AART|1DMG	1LIT|2BELT|37AART|456VULN|8DMG|9ERES|aRCR
93	62212 52262	   	193.45	DCR|3VULN|2AART|1DMG	1LIT|2BELT|37AART|456VULN|8DMG|9TLV|aRCR
94	62212 54122	 * 	193.22	DCR|4VULN|1AART|1DMG	1LIT|2BELT|3AART|4568VULN|7DMG|9ERES|aRCR
95	23213 35132	   	193.12	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|2DUR	1BEXP|24DUR|3ASPD|5DMG|6CDMG|7VULN|8RCR|9AART|aLHND
96	23213 35133	   	193.12	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1aBEXP|24DUR|3ASPD|5DMG|6CDMG|7VULN|8RCR|9AART
97	23213 35131	   	193.02	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1BEXP|24DUR|3ASPD|5DMG|6CDMG|7VULN|8RCR|9AART|aERES
98	23213 35136	   	193.02	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1BEXP|24DUR|3ASPD|5DMG|6CDMG|7VULN|8RCR|9AART|aDUST
99	43311 51343	 * 	193.02	DCR|4VULN|1AART|1ASPD|1AAC	1LEGI|268ERES|3AAC|4AART|5678VULN|68BPWR|9ASPD|aRCR
100	36261 51212	   	192.63	ACR|3VULN|3ASPD|1AART|1DUR	1CGEN|2AART|369ASPD|4RCR|567VULN|6BPWR|8DUR|aDUST
101	22233 54322	   	192.56	DCR|2DMG|1VULN|2CDMG|1ASPD|2ZMB	126BEXP|27BPWR|37ZMB|47DMG|57CDMG|8ASPD|9RCR|aVULN
102	42613 23122	   	192.38	DCR|3VULN|1ASPD|1CDMG|1ZMB|1DUR	1LEGI|2ZMB|369VULN|4DUR|5ERES|7CDMG|8RCR|aASPD
103	42613 42122	   	192.38	DCR|3VULN|1ASPD|1CDMG|1ZMB|1DUR	1LEGI|2ZMB|379VULN|4DUR|5ERES|6CDMG|8RCR|aASPD
104	42112 42533	 * 	192.30	DCR|1SPLARM|2VULN|1AART|1ASPD|1ZMB	1LEGI|2ZMB|3SPLARM|4DUST|5BELT|6RCR|7AART|8aVULN|9ASPD
105	21131 24355	 * 	192.18	DCR|1SPLARM|2VULN|2ASPD|2CDMG	1BEXP|2SPLARM|3aASPD|46CDMG|5ERES|79VULN|8RCR
106	21131 62355	   	192.18	DCR|1SPLARM|2VULN|2ASPD|2CDMG	1BEXP|2SPLARM|3aASPD|47CDMG|5ERES|69VULN|8RCR
107	34263 13213	 * 	192.13	DCR|2VULN|2AART|2ASPD	15aCGEN|2aVULN|37AART|4MULFIG|6LIT|8aASPD|9RCR|aBPWR
108	34132 63234	   	192.11	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	13CGEN|23VULN|3BPWR|4DMG|5FEWX|6ASPD|7RPLT|8RCR|9AART|aDUR
109	14133 13222	   	192.11	DCR|3VULN|1ASPD|1DMG|1CDMG	13AME|236VULN|3BPWR|4DMG|5CDMG|7LWND|8BEXP|9RCR|aASPD
110	34133 13222	   	192.11	DCR|3VULN|1ASPD|1DMG|1CDMG	13CGEN|236VULN|3BPWR|4DMG|5CDMG|7LWND|8BEXP|9RCR|aASPD
111	14134 35322	   	192.01	DCR|3VULN|1ASPD|1DMG|1CDMG	13AME|237VULN|3BPWR|4DMG|5BEXP|6CDMG|8LEGI|9RCR|aASPD
112	34134 35322	   	192.01	DCR|3VULN|1ASPD|1DMG|1CDMG	13CGEN|237VULN|3BPWR|4DMG|5BEXP|6CDMG|8LEGI|9RCR|aASPD
113	14133 16322	   	192.01	DCR|3VULN|1ASPD|1DMG|1CDMG	13AME|236VULN|3BPWR|4DMG|5CDMG|7BEXP|8LEGI|9RCR|aASPD
114	14133 55322	   	192.01	DCR|3VULN|1ASPD|1DMG|1CDMG	13AME|237VULN|3BPWR|4DMG|5CDMG|6BEXP|8LEGI|9RCR|aASPD
115	34133 16322	   	192.01	DCR|3VULN|1ASPD|1DMG|1CDMG	13CGEN|236VULN|3BPWR|4DMG|5CDMG|7BEXP|8LEGI|9RCR|aASPD
116	34133 55322	   	192.01	DCR|3VULN|1ASPD|1DMG|1CDMG	13CGEN|237VULN|3BPWR|4DMG|5CDMG|6BEXP|8LEGI|9RCR|aASPD
117	54132 13622	   	191.91	DCR|3VULN|1ASPD|1DMG|1CDMG	13ERES|238VULN|3BPWR|4DMG|5FEWX|6LHND|7CDMG|9RCR|aASPD
118	54133 13222	   	191.91	DCR|3VULN|1ASPD|1DMG|1CDMG	13ERES|236VULN|3BPWR|4DMG|5CDMG|7LWND|8BEXP|9RCR|aASPD
119	34435 42134	   	191.83	DCR|2VULN|2DMG|2ASPD	17CGEN|27VULN|3LIT|4MBVNT|5aASPD|67DMG|7BPWR|8RCR|9LWND
120	54133 16322	   	191.81	DCR|3VULN|1ASPD|1DMG|1CDMG	13ERES|236VULN|3BPWR|4DMG|5CDMG|7BEXP|8LEGI|9RCR|aASPD
121	24431 26312	   	191.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1BEXP|2CDMG|37ASPD|4AME|5AART|6DMG|8VULN|9RCR|aMLV
122	12513 26133	   	191.78	DCR|3VULN|1AART|1ASPD|1DUR	1AME|2MLV|38aVULN|4AART|5ASPD|6LWND|7RCR|9DUR
123	14114 21516	   	191.73	DCR|3VULN|2AART|1CDMG	13AME|238VULN|3BPWR|4MBVNT|5CDMG|6aAART|7FEWX|9RCR
124	34114 21516	   	191.73	DCR|3VULN|2AART|1CDMG	13CGEN|238VULN|3BPWR|4MBVNT|5CDMG|6aAART|7FEWX|9RCR
125	24431 26311	   	191.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1BEXP|2CDMG|37ASPD|4AME|5AART|6DMG|8VULN|9RCR|aDUST
126	24431 51313	 * 	191.69	DCR|2ASPD|1VULN|1AART|1DMG|1NUKE|1CDMG	1BEXP|2CDMG|36ASPD|4AME|5AART|7NUKE|8VULN|9RCR|aDMG
127	52513 26133	   	191.68	DCR|3VULN|1AART|1ASPD|1DUR	1ERES|2MLV|38aVULN|4AART|5ASPD|6LWND|7RCR|9DUR
128	36264 21331	   	191.66	ACR|3VULN|2ASPD|1AART|1NUKE	18CGEN|2AART|38ASPD|4RCR|5BELT|678VULN|8BPWR|9LHND|aNUKE
129	14114 21514	   	191.50	DCR|4VULN|1AART|1CDMG	13AME|238aVULN|3BPWR|4MBVNT|5CDMG|6AART|7FEWX|9RCR
130	14114 23514	   	191.50	DCR|4VULN|1AART|1CDMG	13AME|238aVULN|3BPWR|4MBVNT|5CDMG|6AART|7LHND|9RCR
131	14114 26514	   	191.50	DCR|4VULN|1AART|1CDMG	13AME|238aVULN|3BPWR|4MBVNT|5CDMG|6AART|7LWND|9RCR
132	34114 21514	   	191.50	DCR|4VULN|1AART|1CDMG	13CGEN|238aVULN|3BPWR|4MBVNT|5CDMG|6AART|7FEWX|9RCR
133	34114 23514	   	191.50	DCR|4VULN|1AART|1CDMG	13CGEN|238aVULN|3BPWR|4MBVNT|5CDMG|6AART|7LHND|9RCR
134	34114 26514	   	191.50	DCR|4VULN|1AART|1CDMG	13CGEN|238aVULN|3BPWR|4MBVNT|5CDMG|6AART|7LWND|9RCR
135	34435 42143	   	191.36	DCR|2VULN|2DMG|1ASPD|2SPLREG	17aCGEN|27VULN|3aLIT|4MBVNT|5ASPD|67DMG|7aBPWR|8RCR|9aSPLREG
136	54114 21514	   	191.30	DCR|4VULN|1AART|1CDMG	13ERES|238aVULN|3BPWR|4MBVNT|5CDMG|6AART|7FEWX|9RCR
137	42533 63312	   	191.02	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2ZMB	1LEGI|23ZMB|3BPWR|4DMG|5CDMG|6AART|7ASPD|8VULN|9RCR|aAME
138	42533 63311	   	190.92	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|2ZMB	1LEGI|23ZMB|3BPWR|4DMG|5CDMG|6AART|7ASPD|8VULN|9RCR|aDUST
139	36261 22314	 * 	190.82	ACR|3ASPD|2VULN|1MDPS|1AART|1NUKE	18CGEN|2AART|389ASPD|4RCR|58VULN|6RMIN|7MDPS|8BPWR|aNUKE
140	36261 22316	 * 	190.82	ACR|3ASPD|2VULN|1MDPS|1AART|1DMG	18CGEN|2AART|389ASPD|4RCR|58VULN|6RMIN|7MDPS|8BPWR|aDMG
141	36261 22341	   	190.82	ACR|3ASPD|2VULN|1MDPS|1AART|1DMG	18CGEN|2AART|38aASPD|4RCR|58VULN|6RMIN|7MDPS|8BPWR|9DMG
