0	Index      	 *	Score 	Summary	Detail	
97	32613 41215	   	187.79	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR	1LWND|2CDMG|3DUST|4VULN|5LIT|6RCR|78AART|9ASPD|aDUR
98	64323 22253	 * 	187.74	DCR|2VULN|1MDPS|3ZMB|1AART|1ASPD	1MDPS|25aZMB|3aVULN|4AME|6ASPD|7aBEXP|8AART|9RCR|aBPWR
99	61533 21116	 * 	187.69	DCR|4VULN|1MDPS|1ASPD|1CDMG	1MDPS|256aVULN|3LHND|4BELT|7ASPD|8CDMG|9RCR
100	12331 43366	 * 	187.50	DCR|2VULN|2CDMG|1ASPD|1DMG	1FEWX|24CDMG|3ERES|5RPLT|6RCR|7ASPD|8DMG|9aVULN
101	23243 61421	 * 	187.44	DCR|2VULN|1MDPS|1AART|2CDMG	19MLV|2DMSP|39CDMG|4AART|5RCVC|6RCR|7RMIN|89VULN|9BPWR|aMDPS
102	64312 36223	 * 	187.23	DCR|2DMG|1MDPS|1VULN|1AART|1CDMG|1ZMB	1MDPS|2ZMB|3VULN|4LWND|5AART|67DMG|8RCR|9ERES|aCDMG
103	12213 63223	   	187.22	DCR|2VULN|2DMG|2CDMG|1ZMB|1SELL	1FEWX|25CDMG|3ZMB|49DMG|68VULN|7SELL|aRCR
104	12234 63223	   	187.22	DCR|2VULN|2DMG|2CDMG|1ZMB|1SELL	1FEWX|24CDMG|3ZMB|59DMG|68VULN|7SELL|aRCR
105	52234 33223	   	187.22	DCR|2VULN|2DMG|2CDMG|1ZMB|1SELL	1LHND|24CDMG|3ZMB|59DMG|68VULN|7SELL|aRCR
106	12114 22615	   	186.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1FEWX|2CDMG|3BEXP|48VULN|5DUR|6ASPD|7RCR|9DUST|aDMG
107	12114 22626	   	186.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1FEWX|2CDMG|3BEXP|48VULN|5DUR|6ASPD|7RCR|9MBVNT|aDMG
108	32112 22665	   	186.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1LWND|2CDMG|3BEXP|48VULN|5DUST|6ASPD|7RCR|9DUR|aDMG
109	32114 22615	   	186.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1LWND|2CDMG|3BEXP|48VULN|5DUR|6ASPD|7RCR|9DUST|aDMG
110	32114 22626	   	186.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1LWND|2CDMG|3BEXP|48VULN|5DUR|6ASPD|7RCR|9MBVNT|aDMG
111	64312 31232	   	186.34	DCR|2VULN|1MDPS|1AART|1DMG|1ZMB|1DUR	1MDPS|2ZMB|37VULN|4LWND|5AART|6DMG|8RCR|9RMIN|aDUR
112	64335 33323	 * 	186.31	ACR|3VULN|2DMG|1MDPS|2CDMG|2ZMB	1MDPS|2aZMB|379VULN|4BELT|5RCR|6aDMG|8aCDMG|aBPWR
113	21166 32124	   	186.28	DCR|3VULN|1ASPD|1CDMG|1ZMB	1MLV|2BELT|39aVULN|4BEXP|5ASPD|6ZMB|7RCR|8CDMG
114	21516 32124	   	186.28	DCR|3VULN|1ASPD|1CDMG|1ZMB	1MLV|2BELT|3FEWX|49aVULN|5ASPD|6ZMB|7RCR|8CDMG
115	32233 36213	   	186.18	DCR|2VULN|2CDMG|1DMG|1ZMB|1DUR	1LWND|24CDMG|3ZMB|5FEWX|6RCR|7aVULN|8DMG|9DUR
116	52233 36213	   	186.18	DCR|2VULN|2CDMG|1DMG|1ZMB|1DUR	1LHND|24CDMG|3ZMB|5FEWX|6RCR|7aVULN|8DMG|9DUR
117	22352 11343	 * 	186.16	DCR|2VULN|2ASPD|1AART|1DUR	1MLV|2DUR|3LWND|45VULN|6AART|7aASPD|8RCR|9LHND
118	22352 11353	   	186.16	DCR|2VULN|2ASPD|1AART|1DUR	1MLV|2DUR|3LWND|45VULN|6AART|7aASPD|8RCR|9CGEN
119	61332 45233	 * 	186.12	DCR|2VULN|1MDPS|2ASPD|1AART	1MDPS|2aVULN|38CGEN|4aFEWX|5AART|6RCR|7aASPD|9RMIN|aBPWR
120	12232 33423	   	186.08	DCR|2VULN|2CDMG|1ASPD|1ZMB|1DUR	1FEWX|24CDMG|3ZMB|5DUST|6RCR|7ASPD|8DUR|9aVULN
121	12232 36213	   	186.08	DCR|2VULN|2CDMG|1DMG|1ZMB|1DUR	1FEWX|24CDMG|3ZMB|5DUST|6RCR|7aVULN|8DMG|9DUR
122	32232 36213	   	186.08	DCR|2VULN|2CDMG|1DMG|1ZMB|1DUR	1LWND|24CDMG|3ZMB|5DUST|6RCR|7aVULN|8DMG|9DUR
