0	Index      	 *	Score 	Summary	Detail	
131	52262 12336	   	169.80	ACR|1BASARM|1ASPD|1CDMG|1VULN	1VULN|23DUR|4LWND|5RCR|6ERES|7ASPD|8CDMG|9MBVNT|aBASARM
132	13165 63112	   	169.75	ACR|1BASARM|1BEXP|1CDMG|1AAC	1NUKE|2AAC|3RPLT|4RCR|5AEFBLL|6BEXP|7CDMG|8BELT|9MLV|aBASARM
133	12125 43225	   	169.70	ACR|1BASARM|2CDMG|1BEXP|1VULN	1NUKE|27CDMG|3BEXP|4AME|5RCR|6FEWX|8LHND|9VULN|aBASARM
134	12335 63225	   	169.70	ACR|1BASARM|2CDMG|1BEXP|1VULN	1NUKE|27CDMG|3ERES|4FEWX|5RCR|6BEXP|8LHND|9VULN|aBASARM
135	22242 24413	   	169.70	ACR|1BASARM|1DMG|1BEXP|1VULN	1LHND|2MLV|3LEGI|4AME|5RCR|6VULN|7BASARM|8ERES|9BEXP|aDMG
136	52152 34313	   	169.70	ACR|1BASARM|1DMG|1BEXP|1VULN	1VULN|2DUR|3AME|4TLV|5RCR|6LEGI|7BASARM|8CGEN|9BEXP|aDMG
137	35512 43322	   	169.66	ACR|2BEXP|1ASPD|1DMG|1AAC|1VULN	1ASPD|2VULN|3BELT|4RCR|5AAC|6AME|7DMG|8aBEXP|9LWND
138	35512 43332	   	169.66	ACR|2BEXP|1ASPD|1DMG|1AAC|1VULN	1ASPD|2VULN|3BELT|4RCR|5AAC|6AME|7DMG|8aBEXP|9LHND
139	35512 51113	   	169.66	ACR|2BEXP|2CDMG|1ASPD|1AAC|1VULN	1ASPD|2VULN|3BELT|4RCR|5AAC|69CDMG|7CGEN|8aBEXP
140	13162 34221	   	169.66	ACR|2BEXP|1ASPD|1DMG|1AAC|1VULN	1NUKE|2AAC|3RPLT|4RCR|57BEXP|6ASPD|8DMG|9VULN|aFEWX
141	13162 34222	   	169.66	ACR|2BEXP|1ASPD|1DMG|1AAC|1VULN	1NUKE|2AAC|3RPLT|4RCR|57BEXP|6ASPD|8DMG|9VULN|aLHND
142	13162 34225	   	169.66	ACR|2BEXP|1ASPD|1DMG|1AAC|1VULN	1NUKE|2AAC|3RPLT|4RCR|57BEXP|6ASPD|8DMG|9VULN|aZMB
143	35512 21122	   	169.65	ACR|1BASARM|1ASPD|1AAC|1VULN	1ASPD|2VULN|3BELT|4RCR|5AAC|6DUR|7LIT|8CGEN|9LWND|aBASARM
144	35512 21421	   	169.65	ACR|1BASARM|1ASPD|1AAC|1VULN	1ASPD|2VULN|3BELT|4RCR|5AAC|6DUR|7LIT|8RMIN|9LWND|aBASARM
145	13162 34224	   	169.56	ACR|2BEXP|1ASPD|1DMG|1AAC|1VULN	1NUKE|2AAC|3RPLT|4RCR|57BEXP|6ASPD|8DMG|9VULN|aMBVNT
146	13162 34226	   	169.56	ACR|2BEXP|1ASPD|1DMG|1AAC|1VULN	1NUKE|2AAC|3RPLT|4RCR|57BEXP|6ASPD|8DMG|9VULN|aAME
147	13162 34323	   	169.56	ACR|2BEXP|1ASPD|1DMG|1AAC|1VULN	1NUKE|2AAC|3RPLT|4RCR|57BEXP|6ASPD|8ERES|9VULN|aDMG
148	13162 34423	   	169.56	ACR|2BEXP|1ASPD|1DMG|1AAC|1VULN	1NUKE|2AAC|3RPLT|4RCR|57BEXP|6ASPD|8AME|9VULN|aDMG
149	35512 31122	   	169.55	ACR|1BASARM|1ASPD|1AAC|1VULN	1ASPD|2VULN|3BELT|4RCR|5AAC|6MBVNT|7LIT|8CGEN|9LWND|aBASARM
150	35512 31462	   	169.55	ACR|1BASARM|1ASPD|1AAC|1VULN	1ASPD|2VULN|3BELT|4RCR|5AAC|6MBVNT|7LIT|8LHND|9MLV|aBASARM
151	35512 31481	   	169.55	ACR|1BASARM|1ASPD|1AAC|1VULN	1ASPD|2VULN|3BELT|4RCR|5AAC|6MBVNT|7LIT|8LHND|9RMIN|aBASARM
152	35512 31521	   	169.55	ACR|1BASARM|1ASPD|1AAC|1VULN	1ASPD|2VULN|3BELT|4RCR|5AAC|6MBVNT|7LIT|8RMIN|9LWND|aBASARM
153	35512 36421	   	169.55	ACR|1BASARM|1ASPD|1AAC|1VULN	1ASPD|2VULN|3BELT|4RCR|5AAC|6MBVNT|7RMIN|8LIT|9LWND|aBASARM
154	35512 61122	   	169.55	ACR|1BASARM|1ASPD|1AAC|1VULN	1ASPD|2VULN|3BELT|4RCR|5AAC|6DUST|7LIT|8CGEN|9LWND|aBASARM
155	35514 31441	   	169.55	ACR|1BASARM|1ASPD|1AAC|1VULN	1ASPD|2VULN|3BELT|4RCR|5RMIN|6MBVNT|7LIT|8LHND|9AAC|aBASARM
156	35512 33422	   	169.45	ACR|1BASARM|1ASPD|1AAC|1VULN	1ASPD|2VULN|3BELT|4RCR|5AAC|6MBVNT|7ERES|8LIT|9LWND|aBASARM
157	53652 22313	   	169.37	ACR|1BASARM|2VULN|1ASPD	16VULN|2LWND|34LHND|5RCR|7LIT|8ASPD|9DUR|aBASARM
158	35516 23222	 * 	168.99	ACR|2ASPD|3VULN|1BEXP	17ASPD|25aVULN|36BELT|4RCR|8MDPS|9BEXP
159	35516 33222	   	168.99	ACR|2ASPD|3VULN|1BEXP	17ASPD|25aVULN|3BELT|4RCR|6RCVC|8MDPS|9BEXP
