0	Index      	 *	Score 	Summary	Detail	
78	34133 22451	   	214.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	14BEXP|2RCR|3MULARM|5BELT|6ZMB|7ASPD|8RCVC|9BASARM|aDMG
79	34235 11223	   	214.72	ACR|1BASARM|3BEXP|1VULN|1CDMG	146BEXP|2RCR|3VULN|5ERES|7LWND|8BASARM|9CDMG|aRCVC
80	21238 41143	   	214.62	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1MBVNT|24BEXP|3VULN|5RCR|6ASPD|7DMG|8CGEN|9BASARM|aFEWX
81	21238 41145	   	214.62	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1MBVNT|24BEXP|3VULN|5RCR|6ASPD|7DMG|8CGEN|9BASARM|aZMB
82	21238 41146	   	214.62	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1MBVNT|24BEXP|3VULN|5RCR|6ASPD|7DMG|8CGEN|9BASARM|aLIT
83	21238 41147	   	214.62	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1MBVNT|24BEXP|3VULN|5RCR|6ASPD|7DMG|8CGEN|9BASARM|aRPLT
84	34351 13136	   	214.61	ACR|2ASPD|2BEXP|1VULN|1AART|1CDMG	19BEXP|2RCR|3CGEN|49LHND|5CDMG|6VULN|7AART|89ASPD|9BPWR|aRCVC
85	21238 41141	   	214.52	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1MBVNT|24BEXP|3VULN|5RCR|6ASPD|7DMG|8CGEN|9BASARM|aMDPS
86	21238 41142	   	214.52	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1MBVNT|24BEXP|3VULN|5RCR|6ASPD|7DMG|8CGEN|9BASARM|aERES
87	21238 41543	   	214.52	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1MBVNT|24BEXP|3VULN|5RCR|6ASPD|7DMG|8TLV|9BASARM|aFEWX
88	21238 41545	   	214.52	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1MBVNT|24BEXP|3VULN|5RCR|6ASPD|7DMG|8TLV|9BASARM|aZMB
