0	Index      	 *	Score 	Summary	Detail	
85	13135 34633	   	283.77	DCR|2LIT|3VULN|1MLV|1DMG	1RPLT|24LIT|36aVULN|5DMG|7FEWX|8RCR|9MLV
86	13133 55633	   	283.77	DCR|2LIT|3VULN|1MLV|1DMG	1RPLT|24LIT|35aVULN|6FEWX|7DMG|8RCR|9MLV
87	13113 33631	   	283.67	DCR|2LIT|3VULN|1MLV|1DMG	1RPLT|2aLIT|356VULN|4DMG|7DUR|8RCR|9MLV
88	41332 21244	 * 	283.49	DCR|2LIT|2MLV|2VULN|1FLTARM	17VULN|2FLTARM|38MLV|45LIT|6DUR|9LHND|aRCR
89	42143 43413	   	283.42	DCR|2LIT|3VULN|1MLV|1DMG|1SELL	135VULN|2MBVNT|4MLV|6SELL|79LIT|8RCR|aDMG
90	57143 43413	   	283.42	DCR|2LIT|3VULN|1MLV|1DMG|1SELL	1MBVNT|235VULN|4MLV|6SELL|79LIT|8RCR|aDMG
91	41332 21254	   	283.34	DCR|2LIT|2MLV|2VULN|1FLTARM	17VULN|2FLTARM|38MLV|45LIT|6DUR|9LEGI|aRCR
92	41332 21264	   	283.34	DCR|2LIT|2MLV|2VULN|1FLTARM	17VULN|2FLTARM|38MLV|45LIT|6DUR|9DUST|aRCR
93	41333 23126	   	283.27	DCR|3VULN|1LIT|1FLTARM|1MLV	16aVULN|2FLTARM|3MLV|4LIT|5FEWX|7RCR|8ERES|9ZMB
94	44333 23413	   	283.18	DCR|2MLV|3VULN|1LIT|2CDMG	16aVULN|2FLTHEA|3aMLV|4LIT|5FEWX|7RCR|8RMIN|9aCDMG|aBPWR
95	41332 12622	   	283.13	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG	1VULN|2FLTARM|3MLV|45LIT|6AART|7NUKE|8DMG|9CDMG|aRCR
96	32188 37124	 * 	283.12	DCR|2LIT|3VULN|3DMG	1LHND|2MBVNT|357VULN|458DMG|5BPWR|6aLIT|9RCR
97	42143 13433	   	282.97	DCR|2LIT|4VULN|1MLV	135aVULN|2MBVNT|4MLV|6aBEXP|7RCVC|8RCR|9aLIT|aBPWR
98	42143 15253	   	282.97	DCR|2LIT|4VULN|1MLV	135aVULN|2MBVNT|4MLV|6aBEXP|7aLIT|8RCR|9RCVC|aBPWR
99	57143 13433	   	282.97	DCR|2LIT|4VULN|1MLV	1MBVNT|235aVULN|4MLV|6aBEXP|7RCVC|8RCR|9aLIT|aBPWR
100	42113 41882	   	282.97	DCR|2LIT|4VULN|1MLV	1379VULN|2MBVNT|4BELT|57LIT|67FEWX|7BPWR|8RCR|aMLV
101	32188 31482	   	282.91	DCR|2LIT|3VULN|2DMG|1CDMG	1LHND|2MBVNT|35aVULN|45DMG|5BPWR|69LIT|7CDMG|8RCR
102	42282 36414	   	282.82	DCR|2LIT|2VULN|2DMG|1MLV	1aVULN|2MBVNT|3NUKE|4RPLT|5aLIT|6RCR|7LWND|8MLV|9aDMG|aBPWR
103	42282 37314	   	282.82	DCR|2LIT|2VULN|2DMG|1MLV	1aVULN|2MBVNT|3NUKE|4RPLT|5aLIT|6RCR|7MLV|8BEXP|9aDMG|aBPWR
104	42141 25283	   	282.77	DCR|2LIT|4VULN|1MLV	139aVULN|2MBVNT|4MLV|5aDUST|6RCVC|7aLIT|8RCR|aBPWR
105	42282 34418	   	282.72	DCR|2LIT|2VULN|2DMG|1MLV	1aVULN|2MBVNT|3NUKE|4RPLT|5aLIT|6RCR|7DUST|8MLV|9aDMG|aBPWR
106	42282 37214	   	282.72	DCR|2LIT|2VULN|2DMG|1MLV	1aVULN|2MBVNT|3NUKE|4RPLT|5aLIT|6RCR|7MLV|8DUR|9aDMG|aBPWR
107	41232 63214	   	282.65	DCR|2LIT|2VULN|1FLTARM|1MLV	19VULN|2FLTARM|3TLV|45LIT|6ZMB|7BEXP|8MLV|aRCR
108	41232 61114	   	282.55	DCR|2LIT|2VULN|1FLTARM|1MLV	19VULN|2FLTARM|3TLV|45LIT|6ZMB|7MLV|8DUST|aRCR
109	52882 33424	 * 	282.33	DCR|2LIT|2DMG|1FLTARM|1VULN|2CDMG	1MBVNT|28DMG|3VULN|4RPLT|58LIT|6RCR|78CDMG|8BPWR|9LHND|aFLTARM
