0	Index      	Bounty	 *	Score 	Summary	Detail	
86	34136 27114	4	   	252.89	DCR|5VULN|1DUR|1AART	1AART|2DUR|3MBVNT|4589aVULN|6RCR|7ZMB
87	36211 52422	3	   	252.89	DCR|5VULN|1DUR|1AART	1AART|24ERES|34678VULN|4BPWR|5RCVC|9RCR|aDUR
88	35636 11113	5	   	252.65	DCR|3VULN|2DUR|1TLV|1ASPD|1AART	1AART|2BEXP|37DUR|489VULN|5ASPD|6RCR|aTLV
89	43412 14213	1	   	252.28	DCR|3VULN|1DMG|2CDMG|1DUR|1ASPD	1RCVC|24CDMG|346VULN|4BPWR|5ASPD|7DMG|8LWND|9DUR|aRCR
90	42331 22355	5	 * 	252.27	DCR|3VULN|2DMG|2ASPD	1RCVC|2RPLT|379VULN|49ASPD|59DMG|6RCR|8RMIN|9BPWR|aLIT
91	34136 24144	4	   	252.12	DCR|4VULN|2AART|1DUR|1ASPD	19AART|2DUR|3MBVNT|458aVULN|6RCR|7ASPD
92	34166 24144	3	   	252.12	DCR|4VULN|2AART|1DUR|1ASPD	19AART|2DUR|3MBVNT|458aVULN|6RCR|7ASPD
93	34131 54264	10	 * 	251.74	DCR|2VULN|3DUR|3LIT|3TLV|1AART	1AART|27aDUR|3MBVNT|4aVULN|57aLIT|678TLV|7aBPWR|9RCR
94	64513 21233	6	   	251.63	DCR|5VULN|1CDMG|1ASPD	1ERES|23456VULN|7LWND|8ASPD|9CDMG|aRCR
95	63132 31718	1	 * 	251.50	DCR|4VULN|3DUR	1aERES|235aVULN|4RMIN|6MBVNT|79aDUR|8RCR|aBPWR
96	34331 22246	4	   	251.19	DCR|2VULN|2DMG|2DUR|2LIT|1AART	1AART|29DUR|39LIT|47VULN|5MLV|69DMG|8RPLT|9BPWR|aRCR
97	31636 32433	6	 * 	250.84	DCR|3VULN|2TLV|2CDMG|1DUR|1AART	1AART|27aDUST|3DUR|47aVULN|57CDMG|6RCR|7aBPWR|8CGEN|9aTLV
98	31636 32341	6	   	250.74	DCR|3VULN|1DMG|2CDMG|1DUR|1AART	1AART|27DUST|3DUR|478VULN|57CDMG|6RCR|7BPWR|9TBNT|aDMG
99	34334 41212	5	 * 	250.29	DCR|2VULN|3DMG|2DUR|1AART|1SELL	1AART|28DUR|3LIT|48VULN|58aDMG|6SELL|7RCR|8BPWR|9LHND
100	32432 32331	5	   	249.95	DCR|3VULN|2DUR|1TLV|1AART	1AART|2RMIN|39DUR|4TLV|5LIT|678VULN|aRCR
101	34442 32331	5	   	249.95	DCR|3VULN|2DUR|1TLV|1AART	1AART|29DUR|3ZMB|4TLV|5LIT|678VULN|aRCR
102	31636 31314	6	   	249.95	DCR|3VULN|2DUR|1CDMG|1ASPD|1AART	1AART|2DUST|37DUR|48aVULN|5CDMG|6RCR|9ASPD
103	34334 21612	7	   	249.85	DCR|2VULN|2DUR|1DMG|1TLV|2LIT|1AART	1AART|28DUR|38LIT|49VULN|5DMG|6RCR|78LHND|8BPWR|aTLV
104	34334 21612	6	   	249.85	DCR|2VULN|2DUR|1DMG|1TLV|2LIT|1AART	1AART|28DUR|38LIT|49VULN|5DMG|6RCR|78FEWX|8BPWR|aTLV
105	34334 23612	7	   	249.85	DCR|2VULN|2DUR|1DMG|1TLV|2LIT|1AART	1AART|28DUR|38LIT|49VULN|5DMG|6RCR|78FEWX|8BPWR|aTLV
106	35435 13313	7	   	249.80	DCR|4VULN|1TLV|1DUR|1AART	1AART|2BEXP|35ZMB|4579VULN|5BPWR|6DUR|8RCR|aTLV
107	35435 13313	6	   	249.80	DCR|4VULN|1TLV|1DUR|1AART	1AART|2BEXP|35ZMB|4579VULN|5BPWR|6DUR|8RCR|aTLV
108	34432 14113	4	   	249.70	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3ZMB|4789VULN|5BEXP|6RCR|aTLV
