0	Index      	 *	Score 	Summary	Detail	
104	33361 61532	   	161.82	ACR|2DMG|1AART|1VULN|1DUR|1ASPD	1TLV|2ASPD|3RCR|49DMG|5BEXP|6AART|7FEWX|8VULN|aDUR
105	26214 63113	   	161.78	DCR|3DMG|1AART|1VULN	1ERES|29DUST|3VULN|4LHND|57aDMG|6RCR|8AART
106	21254 13533	   	161.73	ACR|2VULN|2DMG|1AART	1ERES|2CGEN|35VULN|4RCR|6DUST|7aDMG|8AART|9TLV
107	33365 61332	   	161.72	ACR|2DMG|1AART|1VULN|1DUR|1ASPD	1TLV|2ASPD|3RCR|49DMG|5DUST|6AART|7FEWX|8VULN|aDUR
108	21324 22283	   	161.70	ACR|3VULN|1AART|1DMG	1ERES|2CGEN|3RCR|4FEWX|578VULN|6MBVNT|9AART|aDMG
109	25326 31235	 * 	161.70	ACR|3VULN|1AART|2CDMG	18ERES|2LEGI|3RCR|4CGEN|5BELT|68aVULN|78CDMG|8BPWR|9AART
110	23136 24423	   	161.69	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ERES|2ASPD|3LHND|4RCR|5BEXP|6ZMB|78VULN|9AART|aDMG
111	25336 31235	   	161.60	ACR|3VULN|1AART|2CDMG	18ERES|2LEGI|3RCR|4TLV|5BELT|68aVULN|78CDMG|8BPWR|9AART
112	33335 12442	   	161.58	ACR|2VULN|1AART|1DMG|1DUR|1ASPD|1SELL	1TLV|2ASPD|3RCR|4DUR|5BELT|6AART|7SELL|89VULN|aDMG
113	25211 26423	   	161.28	DCR|3VULN|1AART|1DMG	1ERES|2LEGI|378VULN|4LHND|5FEWX|6RCR|9AART|aDMG
114	25212 26423	   	161.28	DCR|3VULN|1AART|1DMG	1ERES|2LEGI|378VULN|4LHND|5BEXP|6RCR|9AART|aDMG
115	26212 26423	   	161.28	DCR|3VULN|1AART|1DMG	1ERES|2DUST|378VULN|4LHND|5BEXP|6RCR|9AART|aDMG
116	21154 23523	   	161.23	ACR|2VULN|2DMG|1AART	1ERES|2CGEN|3LHND|4RCR|58VULN|6MBVNT|7aDMG|9AART
117	21255 13523	   	161.23	ACR|2VULN|2DMG|1AART	1ERES|2CGEN|38VULN|4RCR|5MBVNT|6BEXP|7aDMG|9AART
118	21255 33523	   	161.23	ACR|2VULN|2DMG|1AART	1ERES|2CGEN|38VULN|4RCR|5MBVNT|6LHND|7aDMG|9AART
119	21256 23523	   	161.23	ACR|2VULN|2DMG|1AART	1ERES|2CGEN|38VULN|4RCR|5FEWX|6MBVNT|7aDMG|9AART
120	21362 45333	 * 	161.19	ACR|2AART|1VULN|1DMG|1FLTHEA|1ASPD	1ERES|2CGEN|3RCR|4DMG|5RCVC|6FLTHEA|7ASPD|8aAART|9VULN
121	43136 63333	 * 	161.19	ACR|2DMG|1AART|3ASPD|1ZMB|1DUR	129ASPD|39LHND|4RCR|5ZMB|6DUR|79DMG|8RPLT|9BPWR|aAART
122	21324 22277	   	161.10	ACR|3VULN|1AART|1DMG	1ERES|2CGEN|3RCR|4FEWX|578VULN|6MBVNT|9DMG|aAART
123	26533 36123	 * 	161.08	DCR|2VULN|1AART|1DMG|2ZMB	1ERES|2DUST|3LHND|45ZMB|6RCR|79VULN|8AART|aDMG
124	33361 62422	   	160.98	ACR|2AART|1VULN|1DMG|2DUR|1ASPD	1TLV|2ASPD|3RCR|4DMG|5BEXP|67AART|8VULN|9aDUR
125	33364 62321	   	160.88	ACR|2AART|1VULN|1DMG|2DUR|1ASPD	1aTLV|2ASPD|3RCR|4DMG|59DUR|67AART|8VULN
126	33364 62323	   	160.88	ACR|2AART|1VULN|1DMG|2DUR|1ASPD	1TLV|2ASPD|3RCR|4DMG|59DUR|67AART|8VULN|aDUST
127	33365 62322	   	160.88	ACR|2AART|1VULN|1DMG|2DUR|1ASPD	1TLV|2ASPD|3RCR|4DMG|5DUST|67AART|8VULN|9aDUR
128	41334 36123	   	160.72	ACR|2VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|2CGEN|3RCR|4DUR|57VULN|69LHND|8AART|aDMG
129	41334 36113	   	160.62	ACR|2VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|2CGEN|3RCR|4DUR|57VULN|6LHND|8AART|9DUST|aDMG
130	22324 36143	   	160.39	ACR|2VULN|1AART|1DMG|1CDMG	1ERES|2LWND|3RCR|4CGEN|57VULN|6RPLT|8AART|9CDMG|aDMG
131	36332 15133	   	160.39	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1TLV|2DUST|3ZMB|4DUR|5RCR|6BEXP|7AART|89VULN|aDMG
132	36332 65333	   	160.39	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1TLV|2DUST|3ZMB|4DUR|5RCR|69VULN|7AART|8BEXP|aDMG
133	33362 63326	 * 	160.30	ACR|2DMG|1AART|3ASPD|2ZMB	19TLV|267ASPD|3RCR|49DMG|5RCVC|89ZMB|9BPWR|aAART
134	22334 36143	   	160.29	ACR|2VULN|1AART|1DMG|1CDMG	1ERES|2LWND|3RCR|4TLV|57VULN|6RPLT|8AART|9CDMG|aDMG
135	36332 65123	   	160.29	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	18TLV|2DUST|3ZMB|4DUR|5RCR|69VULN|7AART|aDMG
136	52166 23133	   	160.23	DCR|2VULN|1AART|1DMG|1ZMB	1BEXP|2LEGI|3AART|4ZMB|5MLV|6RCR|7DUST|89VULN|aDMG
137	62165 21133	   	160.23	DCR|2VULN|1AART|1DMG|1ZMB	1DUST|2LEGI|3AART|4ZMB|5MLV|6RCR|7FEWX|89VULN|aDMG
138	11151 61213	   	160.18	DCR|3VULN|1AART|1DMG	14LHND|2LWND|3AART|567VULN|8RCR|9LEGI|aDMG
139	52161 23133	   	160.13	DCR|2VULN|1AART|1DMG|1ZMB	1BEXP|2LEGI|3AART|4ZMB|5TLV|6RCR|7DUST|89VULN|aDMG
140	62161 21133	   	160.13	DCR|2VULN|1AART|1DMG|1ZMB	1DUST|2LEGI|3AART|4ZMB|5TLV|6RCR|7FEWX|89VULN|aDMG
141	62161 25133	   	160.13	DCR|2VULN|1AART|1DMG|1ZMB	1DUST|2LEGI|3AART|4ZMB|5TLV|6RCR|7LWND|89VULN|aDMG
142	41334 33422	   	160.12	ACR|2VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|2CGEN|3RCR|4DUR|58VULN|6LHND|7DMG|9AART|aRCVC
143	41334 33423	   	160.12	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1ASPD|2CGEN|3RCR|4DUR|58VULN|6LHND|7DMG|9AART|aMLV
144	23134 36433	   	160.12	ACR|3VULN|2DMG|1ASPD	1ERES|2ASPD|36LHND|4RCR|579VULN|8aDMG
145	23513 62352	   	160.07	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1ERES|2ASPD|3BELT|4RMIN|56DMG|7AART|8RCR|9VULN|aZMB
146	41334 12423	   	160.02	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1ASPD|2CGEN|3RCR|4DUR|58VULN|6BEXP|7ERES|9AART|aDMG
147	41334 33421	   	160.02	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1ASPD|2CGEN|3RCR|4DUR|58VULN|6LHND|7DMG|9AART|aERES
148	23435 31335	   	159.92	ACR|3VULN|1AART|1CDMG|1ASPD	1ERES|2ASPD|3LWND|4RCR|5BELT|68aVULN|7CDMG|9AART
149	42135 31335	   	159.92	ACR|3VULN|1AART|1CDMG|1ASPD	1ASPD|2LWND|3ERES|4RCR|5BELT|68aVULN|7CDMG|9AART
150	33314 24423	   	159.92	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1TLV|2ASPD|3RCR|4ERES|5DUR|6FEWX|78VULN|9AART|aDMG
151	33334 24423	   	159.92	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1TLV|2ASPD|3RCR|4DUR|5ERES|6FEWX|78VULN|9AART|aDMG
152	33336 62423	   	159.92	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1TLV|2ASPD|3RCR|4DUR|5BEXP|68VULN|7ERES|9AART|aDMG
153	33335 13633	 * 	159.92	ACR|2VULN|2AART|2ASPD|1DUR	19TLV|29ASPD|3RCR|4DUR|5BELT|6aAART|7LWND|89VULN|9BPWR
154	21154 23843	   	159.90	ACR|3DMG|1AART|1VULN	1ERES|2CGEN|3LHND|4RCR|5VULN|6MBVNT|79aDMG|8AART
155	21254 11123	   	159.90	ACR|3VULN|1AART|1DMG	1ERES|2CGEN|359VULN|4RCR|6DUST|7BEXP|8AART|aDMG
156	21255 13843	   	159.90	ACR|3DMG|1AART|1VULN	1ERES|2CGEN|3VULN|4RCR|5MBVNT|6BEXP|79aDMG|8AART
157	21255 33843	   	159.90	ACR|3DMG|1AART|1VULN	1ERES|2CGEN|3VULN|4RCR|5MBVNT|6LHND|79aDMG|8AART
158	21256 23843	   	159.90	ACR|3DMG|1AART|1VULN	1ERES|2CGEN|3VULN|4RCR|5FEWX|6MBVNT|79aDMG|8AART
159	23134 16236	   	159.78	ACR|4VULN|1AART|1ASPD	1ERES|2ASPD|3LHND|4RCR|5789VULN|6BEXP|aAART
160	33361 62522	   	159.75	ACR|2AART|1VULN|1DMG|1ZMB|1ASPD	1TLV|2ASPD|3RCR|4DMG|5BEXP|67AART|8ZMB|9VULN|aRPLT
161	23335 13635	   	159.72	ACR|2VULN|1AART|2ASPD|1CDMG|1DUR	19ERES|29ASPD|3DUR|4RCR|5BELT|6AART|7LWND|89VULN|9BPWR|aCDMG
162	41334 36232	 * 	159.66	ACR|4VULN|1CDMG|1ASPD|1DUR	1ASPD|2CGEN|3RCR|4DUR|5789VULN|6LHND|aCDMG
163	33361 62521	   	159.65	ACR|2AART|1VULN|1DMG|1ZMB|1ASPD	1TLV|2ASPD|3RCR|4DMG|5BEXP|67AART|8ZMB|9VULN|aDUST
164	33361 62523	   	159.65	ACR|2AART|1VULN|1DMG|1ZMB|1ASPD	1TLV|2ASPD|3RCR|4DMG|5BEXP|67AART|8ZMB|9VULN|aNUKE
165	23321 34423	   	159.60	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1ERES|2ASPD|3DUR|4FEWX|5MLV|6RCR|78VULN|9AART|aDMG
166	23353 34423	   	159.60	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1ERES|2ASPD|3DUR|4CGEN|5FEWX|6RCR|78VULN|9AART|aDMG
167	41233 34423	   	159.60	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1ASPD|2CGEN|3ERES|4DUR|5FEWX|6RCR|78VULN|9AART|aDMG
168	31362 62423	   	159.55	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1TLV|2CGEN|3RCR|4DMG|5RCVC|6ASPD|7ZMB|8CDMG|9VULN|aAART
