0	Index      	 *	Score 	Summary	Detail	
72	41426 33222	   	213.92	ACR|1BASARM|2AART|1ASPD|1DMG|1BEXP	1BASARM|27DUST|3DMG|4RCR|59AART|6LEGI|8ASPD|aBEXP
73	22522 63263	 * 	213.91	ACR|1BASARM|2DMG|1BASICY|1AART|1AAC	17DMG|2VENFST|3DUR|4RCR|5MLV|6BASARM|8AAC|9AART|aBASICY
74	41421 13521	   	213.67	ACR|1BASARM|2DMG|1ASPD|1CDMG|1AAC|1SELL	1BASARM|2DUST|38DMG|4RCR|5SELL|6CGEN|7CDMG|9ASPD|aAAC
75	41423 24231	   	213.58	ACR|2BASARM|2DMG|1ASPD	17BASARM|27DUST|3aDMG|4RCR|5VULN|67LHND|7BPWR|8BELT|9ASPD
76	42534 11131	   	213.07	ACR|2BASARM|2BEXP|1DMG|1AART	13BASARM|23CGEN|3BPWR|48BEXP|5RCR|6AART|7MDPS|9VULN|aDMG
77	43634 11131	   	212.87	ACR|2BASARM|2BEXP|1DMG|1AART	13BASARM|23AME|3BPWR|48BEXP|5RCR|6AART|7MDPS|9VULN|aDMG
78	42534 32132	   	212.64	ACR|2BASARM|2BEXP|1ASPD|1DMG	13BASARM|23CGEN|3BPWR|49BEXP|5RCR|6ASPD|7BELT|8DMSP|aDMG
79	42534 32332	   	212.64	ACR|2BASARM|2BEXP|1ASPD|1DMG	13BASARM|238CGEN|3BPWR|49BEXP|5RCR|6ASPD|7BELT|aDMG
80	43261 32532	   	212.55	ACR|1BASARM|2DMG|1ASPD|1AART	1BASARM|2AME|3CGEN|4RCR|5AART|68DMG|7VULN|9LWND|aASPD
81	43634 32132	   	212.44	ACR|2BASARM|2BEXP|1ASPD|1DMG	13BASARM|23AME|3BPWR|49BEXP|5RCR|6ASPD|7BELT|8DMSP|aDMG
82	26351 62121	   	212.02	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1DMG|2LWND|3ASPD|4VULN|5RCR|6BEXP|7BASARM|8FEWX|9AAC|aCDMG
83	26351 12421	   	212.02	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1DMG|2LWND|3ASPD|4VULN|5RCR|6LHND|7BASARM|8BEXP|9AAC|aCDMG
84	26351 22332	   	212.02	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP|1AAC	1DMG|2LWND|3ASPD|4VULN|5RCR|6DUR|7BASARM|8AAC|9AART|aBEXP
85	26351 22333	   	212.02	ACR|1BASARM|1ASPD|1DMG|1AART|1CDMG|1AAC	1DMG|2LWND|3ASPD|4VULN|5RCR|6DUR|7BASARM|8AAC|9AART|aCDMG
86	26351 22421	   	212.02	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1DMG|2LWND|3ASPD|4VULN|5RCR|6DUR|7BASARM|8BEXP|9AAC|aCDMG
87	41423 26231	 * 	211.92	ACR|1BASARM|2DMG|2VULN|1ASPD	1BASARM|2DUST|3aDMG|4RCR|57VULN|6LHND|8BELT|9ASPD
88	24351 62121	   	211.92	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1DMG|2DUST|3ASPD|4VULN|5RCR|6BEXP|7BASARM|8FEWX|9AAC|aCDMG
89	26351 62221	   	211.92	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1DMG|2LWND|3ASPD|4VULN|5RCR|6BEXP|7BASARM|8MBVNT|9AAC|aCDMG
90	26351 62311	   	211.92	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1DMG|2LWND|3ASPD|4VULN|5RCR|6BEXP|7BASARM|8AAC|9DUST|aCDMG
91	24351 62221	   	211.82	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1DMG|2DUST|3ASPD|4VULN|5RCR|6BEXP|7BASARM|8MBVNT|9AAC|aCDMG
92	26351 62331	   	211.77	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP|1AAC|1SELL	1DMG|2LWND|3ASPD|4VULN|5RCR|6BEXP|7BASARM|8AAC|9AART|aSELL
93	26351 62321	   	211.39	ACR|1BASARM|2VULN|1ASPD|1DMG|1BEXP|1AAC	1DMG|29LWND|3ASPD|4aVULN|5RCR|6BEXP|7BASARM|8AAC
94	26351 22336	   	211.39	ACR|1BASARM|2VULN|1ASPD|1DMG|1AART|1AAC	1DMG|2LWND|3ASPD|4aVULN|5RCR|6DUR|7BASARM|8AAC|9AART
95	42534 31131	   	211.35	ACR|2BASARM|1ASPD|1DMG|1BEXP|1CDMG	13BASARM|23CGEN|3BPWR|4BEXP|5RCR|6ASPD|7DUR|8DUST|9CDMG|aDMG
96	24351 62322	   	211.29	ACR|1BASARM|2VULN|1ASPD|1DMG|1BEXP|1AAC	1DMG|2DUST|3ASPD|4aVULN|5RCR|6BEXP|7BASARM|8AAC|9RPLT
97	24351 62331	   	211.29	ACR|1BASARM|2VULN|1ASPD|1DMG|1BEXP|1AAC	1DMG|2DUST|3ASPD|4aVULN|5RCR|6BEXP|7BASARM|8AAC|9RCVC
98	24351 62311	   	211.19	ACR|1BASARM|2VULN|1ASPD|1DMG|1BEXP|1AAC	1DMG|29DUST|3ASPD|4aVULN|5RCR|6BEXP|7BASARM|8AAC
99	43634 31131	   	211.15	ACR|2BASARM|1ASPD|1DMG|1BEXP|1CDMG	13BASARM|23AME|3BPWR|4BEXP|5RCR|6ASPD|7DUR|8DUST|9CDMG|aDMG
100	42234 12222	   	210.94	ACR|1BASARM|2BEXP|2AART|1ASPD	1BASARM|23CGEN|4aBEXP|5RCR|69AART|7VULN|8ASPD
101	42234 12522	 * 	210.94	ACR|1BASARM|2BEXP|2AART|1DMG	1BASARM|23CGEN|4aBEXP|5RCR|69AART|7VULN|8DMG
102	42234 25222	   	210.94	ACR|1BASARM|2BEXP|2AART|1ASPD	1BASARM|23CGEN|4aBEXP|5RCR|6VULN|79AART|8ASPD
103	42534 12221	   	210.78	ACR|2BASARM|2AART|1ASPD|1BEXP	13BASARM|23CGEN|3BPWR|4BEXP|5RCR|69AART|7VULN|8ASPD|aLWND
104	42534 12223	   	210.78	ACR|2BASARM|2AART|1ASPD|1BEXP	13BASARM|23CGEN|3BPWR|4BEXP|5RCR|69AART|7VULN|8ASPD|aFEWX
105	44123 15232	   	210.19	ACR|1BASARM|2BEXP|1ASPD|1AART|1CDMG	1BASARM|26LWND|3ZMB|4RCR|5aBEXP|7AART|8ASPD|9CDMG
106	42534 32231	   	210.17	ACR|2BASARM|2ASPD|2BEXP	13BASARM|23CGEN|3BPWR|4aBEXP|5RCR|69ASPD|7BELT|8MLV
107	44123 35122	   	210.09	ACR|1BASARM|2BEXP|1ASPD|1AART|1CDMG	1BASARM|2LWND|3ZMB|4RCR|56BEXP|7AART|8AME|9ASPD|aCDMG
108	44123 35231	   	210.09	ACR|1BASARM|2BEXP|1ASPD|1AART|1CDMG	1BASARM|2LWND|3ZMB|4RCR|56BEXP|7AART|8ASPD|9CDMG|aAME
109	44423 31123	   	209.98	ACR|1BASARM|2VULN|1DMG|1BEXP|1CDMG|1AAC	1BASARM|2LWND|3DMG|4RCR|5aVULN|6BEXP|7RPLT|8CDMG|9AAC
