0	Index      	 *	Score 	Summary	Detail	
107	14351 13122	   	176.34	ACR|2AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1DUST|2RCR|3aAART|4DUR|5RCVC|6VULN|7DMG|8CDMG|9ASPD
108	13342 41111	   	176.18	ACR|2VULN|2DMG|1AART|1CDMG	1DUST|2FEWX|3AART|4aDMG|5RCR|6LHND|78VULN|9CDMG
109	13342 51111	   	176.18	ACR|2VULN|2DMG|1AART|1CDMG	1DUST|2FEWX|3AART|4aDMG|5RCR|6BEXP|78VULN|9CDMG
110	12342 41111	   	176.08	ACR|2VULN|2DMG|1AART|1CDMG	1DUST|2LEGI|3AART|4aDMG|5RCR|6LHND|78VULN|9CDMG
111	12342 51111	   	176.08	ACR|2VULN|2DMG|1AART|1CDMG	1DUST|2LEGI|3AART|4aDMG|5RCR|6BEXP|78VULN|9CDMG
112	34333 65221	 * 	175.68	ACR|2AART|2VULN|2DMG|1ZMB|1DUR|3MSE	147MSE|2RCR|39AART|57DMG|67VULN|7BPWR|8DUR|aZMB
113	14351 13151	   	175.54	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2RCR|3AART|4DUR|5RCVC|6VULN|7aDMG|8CDMG|9BEXP
114	14351 13153	   	175.54	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2RCR|3AART|4DUR|5RCVC|6aVULN|7DMG|8CDMG|9BEXP
115	14351 13161	   	175.54	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2RCR|3AART|4DUR|5RCVC|6VULN|7aDMG|8CDMG|9FEWX
116	14351 13163	   	175.54	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2RCR|3AART|4DUR|5RCVC|6aVULN|7DMG|8CDMG|9FEWX
117	14351 13311	   	175.54	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2RCR|3AART|4DUR|5RCVC|68VULN|7DMG|9MGNLIT|aCDMG
118	14351 15111	   	175.54	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2RCR|3AART|4DUR|5RCVC|6VULN|7LHND|8aDMG|9CDMG
119	14351 15113	   	175.54	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2RCR|3AART|4DUR|5RCVC|6aVULN|7LHND|8DMG|9CDMG
120	14351 16111	   	175.54	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2RCR|3AART|4DUR|5RCVC|6VULN|7LWND|8aDMG|9CDMG
121	14351 53311	   	175.54	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2RCR|3AART|4DUR|5RCVC|6aDMG|7LHND|8VULN|9CDMG
122	14351 53313	   	175.54	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2RCR|3AART|4DUR|5RCVC|6DMG|7LHND|8aVULN|9CDMG
123	21481 44464	 * 	175.48	DCR|4VULN|1AART|1DMG	1MLV|247aVULN|3MBVNT|5LIT|6RCR|8DMG|9AART
124	13343 45211	   	175.47	DCR|3DMG|2VULN|1AART	17DUST|2FEWX|3AART|47aDMG|58RPLT|67VULN|7BPWR|9RCR
125	13343 45213	   	175.47	DCR|3VULN|2DMG|1AART	17DUST|2FEWX|3AART|47DMG|58RPLT|67aVULN|7BPWR|9RCR
126	14351 13523	   	175.44	ACR|2VULN|1AART|1DMG|2ASPD|1DUR	1DUST|2RCR|3AART|4DUR|5RCVC|6aVULN|7DMG|89ASPD
127	14351 43311	   	175.44	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2RCR|3AART|4DUR|5RCVC|6LEGI|7aDMG|8VULN|9CDMG
128	14351 43313	   	175.44	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2RCR|3AART|4DUR|5RCVC|6LEGI|7DMG|8aVULN|9CDMG
129	14354 32123	   	175.38	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1DUST|2RCR|3AART|49DUR|5BEXP|68DMG|7ZMB|aVULN
130	12343 45211	   	175.37	DCR|3DMG|2VULN|1AART	17DUST|2LEGI|3AART|47aDMG|58RPLT|67VULN|7BPWR|9RCR
131	12343 45213	   	175.37	DCR|3VULN|2DMG|1AART	17DUST|2LEGI|3AART|47DMG|58RPLT|67aVULN|7BPWR|9RCR
132	63113 13361	   	175.32	DCR|2VULN|2DMG|2AART|1SELL	1SELL|2NUKE|39CGEN|4LWND|59DMG|6RCR|79VULN|8aAART|9BPWR
133	14323 61311	 * 	175.04	ACR|3VULN|1AART|1CDMG|1FLTHEA	1DUST|2RCR|3AART|4CGEN|5LHND|678VULN|9FLTHEA|aCDMG
134	14312 11311	   	174.97	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1DUST|2RCR|3AART|4ERES|5ZMB|6VULN|7RCVC|8DMG|9FLTHEA|aCDMG
135	11542 41113	   	174.85	ACR|3VULN|1AART|1DMG|1CDMG	1DUST|2AART|3BEXP|4DMG|5RCR|6LHND|78aVULN|9CDMG
136	11542 51113	   	174.85	ACR|3VULN|1AART|1DMG|1CDMG	1DUST|2AART|3BEXP|4DMG|5RCR|6FEWX|78aVULN|9CDMG
137	11452 41113	   	174.85	ACR|3VULN|1AART|1DMG|1CDMG	1DUST|2AART|3DMG|4BEXP|5RCR|6LHND|78aVULN|9CDMG
138	11452 51113	   	174.85	ACR|3VULN|1AART|1DMG|1CDMG	1DUST|2AART|3DMG|4BEXP|5RCR|6FEWX|78aVULN|9CDMG
139	11242 16133	   	174.83	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	16DUST|27AART|3DUR|4DMG|5RCR|8aVULN|9ZMB
140	11242 62333	   	174.83	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1DUST|29AART|3DUR|4DMG|5RCR|6ZMB|7ERES|8aVULN
141	14312 51423	 * 	174.83	ACR|3AART|1VULN|1DMG|1CDMG|1ZMB	1DUST|2RCR|389AART|4ERES|5ZMB|6DMG|7VULN|aCDMG
142	11415 41331	   	174.76	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD	1DUST|24AART|35DMG|6CDMG|7MLV|8ASPD|9RCR|aVULN
143	14342 13363	   	174.74	ACR|3VULN|1AART|1DMG|1ASPD	1DUST|2RCR|3AART|4DMG|5RMIN|68aVULN|7CGEN|9ASPD
144	14342 15323	   	174.74	ACR|3VULN|1AART|1DMG|1ASPD	1DUST|2RCR|3AART|4DMG|5RMIN|68aVULN|7LHND|9ASPD
145	14342 16323	   	174.74	ACR|3VULN|1AART|1DMG|1ASPD	1DUST|2RCR|3AART|4DMG|5RMIN|68aVULN|7LWND|9ASPD
146	14354 31133	   	174.74	ACR|3VULN|1AART|1DMG|1DUR	1DUST|2RCR|3AART|4DUR|5BEXP|6DMG|78aVULN|9DMSP
147	64224 11331	 * 	174.72	DCR|4VULN|2AART|1ZMB|1SELL	1SELL|27AART|358aVULN|4ZMB|6LHND|9RCR
148	64224 31331	 * 	174.72	DCR|4VULN|2AART|1ZMB|1SELL	1SELL|27AART|358aVULN|4ZMB|6LWND|9RCR
149	64324 11331	 * 	174.72	DCR|4VULN|2AART|1ZMB|1SELL	1SELL|27AART|3ZMB|458aVULN|6LHND|9RCR
150	64324 31331	 * 	174.72	DCR|4VULN|2AART|1ZMB|1SELL	1SELL|27AART|3ZMB|458aVULN|6LWND|9RCR
151	64334 21331	 * 	174.72	DCR|4VULN|2AART|1ZMB|1SELL	1SELL|27AART|3ZMB|4LHND|568aVULN|9RCR
