0	Index      	 *	Score 	Summary	Detail	
68	34611 22172	   	164.68	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	1DUST|28ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|9VULN|aCDMG
69	34611 22323	   	164.67	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|89VULN|aLEGI
70	34611 22343	   	164.67	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|2ZMB|3MBVNT|4DUR|5aDMG|6RCR|7AART|8VULN|9LEGI
71	24611 24328	   	164.62	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1SELL	1FEWX|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|89VULN|aSELL
72	34611 22328	   	164.52	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1SELL	1DUST|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|89VULN|aSELL
73	36614 52422	 * 	164.44	ACR|3VULN|1AART|2CDMG|1DUR	19DUST|2RMIN|3MBVNT|4DUR|5RCR|69CDMG|79aVULN|8AART|9BPWR
74	24611 23542	   	164.42	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1FEWX|2ZMB|3MBVNT|47DUR|5DMG|6RCR|8CDMG|9VULN|aAART
75	52122 42152	   	164.37	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DMG|2DUR|3FEWX|4CDMG|5AART|6LHND|7ASPD|8RCR|9ZMB|aVULN
76	34611 24542	   	164.32	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1DUST|2ZMB|3MBVNT|47DUR|5DMG|6RCR|8CDMG|9VULN|aAART
77	52122 62125	   	163.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2DUR|3FEWX|4CDMG|5AART|6MLV|7aVULN|8RCR|9TLV
78	52311 25342	   	163.90	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	17DMG|2DUR|3TLV|48VULN|5FEWX|6ZMB|9RCR|aCDMG
79	52222 23215	   	163.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2DUR|36DUST|4CDMG|5AART|7aVULN|8RCR|9LHND
80	52222 23241	   	163.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2DUR|36DUST|4CDMG|5AART|79VULN|8RCR|aBELT
81	52222 23242	   	163.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2DUR|36DUST|4CDMG|5AART|79VULN|8RCR|aRCVC
82	52222 23244	   	163.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2DUR|36DUST|4CDMG|5AART|79VULN|8RCR|aLWND
83	52222 23245	   	163.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2DUR|36DUST|4CDMG|5AART|79VULN|8RCR|aFEWX
84	52222 23252	   	163.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2DUR|36DUST|4CDMG|5AART|7aVULN|8RCR|9BEXP
85	52222 62125	   	163.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2DUR|3DUST|4CDMG|5AART|6MLV|7aVULN|8RCR|9TLV
86	22142 62163	   	163.74	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB|1DUR	1FEWX|2DUR|3ZMB|4aCDMG|5AART|6MLV|7VULN|8RCR|9DMG
87	52222 23246	   	163.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2DUR|36aDUST|4CDMG|5AART|79VULN|8RCR
88	42542 31213	   	163.71	DCR|3DMG|2VULN|1ZMB|1DUR	1CGEN|249DMG|34VULN|4BPWR|5RPLT|6MLV|7ZMB|8DUR|aRCR
89	42543 13213	   	163.71	DCR|3DMG|2VULN|1ZMB|1DUR	1CGEN|249DMG|34VULN|4BPWR|5ZMB|6RPLT|7MLV|8DUR|aRCR
90	42543 32113	   	163.71	DCR|3DMG|2VULN|1ZMB|1DUR	1CGEN|249DMG|34VULN|4BPWR|5ZMB|6DUR|7RMIN|8RPLT|aRCR
91	42543 33113	   	163.61	DCR|3DMG|2VULN|1ZMB|1DUR	1CGEN|249DMG|34VULN|4BPWR|5ZMB|6DUR|7ERES|8RPLT|aRCR
