0	Index      	 *	Score 	Summary	Detail	
75	32154 16321	   	170.27	ACR|2VULN|2DMG|1AART|1DUR	1LHND|2AART|36LIT|46DMG|5RCR|6BPWR|78VULN|9MLV|aDUR
76	32154 16332	   	170.27	ACR|2VULN|2DMG|1AART|1ASPD	1LHND|2AART|36LIT|46DMG|5RCR|6BPWR|78VULN|9BELT|aASPD
77	52154 11332	   	170.27	ACR|2VULN|2DMG|1AART|1DUR	1FEWX|2AART|36LIT|46DMG|5RCR|6BPWR|7LWND|89VULN|aDUR
78	22154 12131	   	170.27	ACR|2VULN|2DMG|1AART|1DUR	1LWND|2AART|36LIT|46DMG|5RCR|6BPWR|7aVULN|8RPLT|9DUR
79	32154 16131	   	170.27	ACR|2VULN|2DMG|1AART|1DUR	1LHND|2AART|36LIT|46DMG|5RCR|6BPWR|7aVULN|8RPLT|9DUR
80	52154 12312	   	170.27	ACR|2VULN|2DMG|1AART|1DUR	1FEWX|2AART|36LIT|46DMG|5RCR|6BPWR|7DUR|8aVULN|9LHND
81	22154 12341	   	170.17	ACR|2VULN|2DMG|1AART|1DUR	1LWND|2AART|36LIT|46DMG|5RCR|6BPWR|78VULN|9ERES|aDUR
82	22154 12352	   	170.17	ACR|2VULN|2DMG|1AART|1DUR	1LWND|2AART|36LIT|46DMG|5RCR|6BPWR|78VULN|9DUST|aDUR
83	52154 13332	   	170.17	ACR|2VULN|2DMG|1AART|1DUR	1FEWX|2AART|36LIT|46DMG|5RCR|6BPWR|7LEGI|89VULN|aDUR
84	52154 13322	   	170.17	ACR|2VULN|2DMG|1AART|1DUR	1FEWX|2AART|36LIT|46DMG|5RCR|6BPWR|7LEGI|8aVULN|9DUR
85	32336 51312	   	170.11	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1LHND|2AART|3DUR|4ASPD|5RPLT|6aVULN|7DMG|8RCR|9ZMB
86	22163 22236	   	170.08	DCR|2AART|2VULN|1DMG|1ZMB	1LWND|2aAART|3LIT|4CGEN|5ZMB|69VULN|7RCR|8DMG
87	22163 22256	 * 	170.08	DCR|2AART|2DMG|1VULN|1ZMB	1LWND|2aAART|3LIT|4CGEN|5ZMB|6VULN|7RCR|89DMG
88	32163 22226	   	170.08	DCR|2AART|2VULN|1DMG|1ZMB	1LHND|2aAART|3LIT|4CGEN|5ZMB|69VULN|7RCR|8DMG
89	32163 22256	   	170.08	DCR|2AART|2DMG|1VULN|1ZMB	1LHND|2aAART|3LIT|4CGEN|5ZMB|6VULN|7RCR|89DMG
90	52163 22236	   	170.08	DCR|2AART|2VULN|1DMG|1ZMB	1FEWX|2aAART|3LIT|4CGEN|5ZMB|69VULN|7RCR|8DMG
