0	Index      	Bounty	 *	Score 	Summary	Detail	
1	64222 21523	4	 * 	268.10	DCR|4VULN|2DUR|1DMG|1AART	1LHND|2AART|34DUR|5DMG|679aVULN|8RCR
172	54113 11533	3	   	243.41	DCR|3VULN|2DMG|1ASPD|1AART	15aLWND|2AART|37aVULN|4LHND|6ASPD|8RCR|9aDMG|aBPWR
173	64111 11533	5	   	243.41	DCR|3VULN|2DMG|1ASPD|1AART	1aLHND|2AART|37aVULN|4LWND|5RCVC|6ASPD|8RCR|9aDMG|aBPWR
174	64113 11533	4	   	243.41	DCR|3VULN|2DMG|1ASPD|1AART	1aLHND|2AART|37aVULN|45LWND|6ASPD|8RCR|9aDMG|aBPWR
175	64113 11533	5	   	243.41	DCR|3VULN|2DMG|1ASPD|1AART	15aLHND|2AART|37aVULN|4LWND|6ASPD|8RCR|9aDMG|aBPWR
176	21462 11533	5	   	243.21	DCR|3VULN|2DMG|1ASPD|1AART	1aDUST|2aFEWX|3AART|457VULN|6ASPD|8RCR|9aDMG|aBPWR
177	31431 52433	8	   	243.17	DCR|3VULN|1DMG|1TLV|1CDMG	1MLV|2CDMG|3LIT|489VULN|5ZMB|6TLV|7RCR|aDMG
178	31625 11343	9	   	243.07	DCR|2VULN|3ASPD|2DUR|1CDMG|1AART	1aMLV|2CDMG|3aDUR|478ASPD|5aVULN|6RCR|9AART|aBPWR
179	66137 42434	10	   	243.07	DCR|3VULN|1DMG|1DUR|1CDMG	1LHND|2LIT|378VULN|4MBVNT|5DUR|6RCR|9DMG|aCDMG
180	66338 42434	10	   	243.07	DCR|3VULN|1DMG|1DUR|1CDMG	1LHND|2LIT|3DUR|4MBVNT|578VULN|6RCR|9DMG|aCDMG
181	23325 52123	4	   	243.07	DCR|3VULN|1DMG|1DUR|1CDMG	1DUST|2ZMB|3DMG|456VULN|7RCR|8CDMG|9LIT|aDUR
182	11125 52433	8	   	243.07	DCR|3VULN|1DMG|1TLV|1CDMG	1ERES|2CDMG|3RMIN|4LIT|589VULN|6TLV|7RCR|aDMG
183	11314 12433	8	   	242.97	DCR|3VULN|1DMG|1DUR|1CDMG	16ERES|2CDMG|389VULN|4DUR|5LIT|7RCR|aDMG
184	11314 35333	6	   	242.97	DCR|3VULN|1DMG|1DUR|1CDMG	18ERES|2CDMG|379VULN|4DUR|5LIT|6RCR|aDMG
185	11426 32433	8	   	242.97	DCR|3VULN|1DMG|1DUR|1CDMG	14ERES|2CDMG|3LIT|5DUR|689VULN|7RCR|aDMG
186	11625 11343	9	   	242.87	DCR|2VULN|3ASPD|2DUR|1CDMG|1AART	1aERES|2CDMG|3aDUR|478ASPD|5aVULN|6RCR|9AART|aBPWR
187	33346 31133	1	   	242.61	DCR|3VULN|2DMG|2CDMG	1MLV|2aDMG|3ERES|4CGEN|57aVULN|6BEXP|8aCDMG|9RCR|aBPWR
188	31434 31116	8	   	242.56	DCR|4VULN|2CDMG|2LIT	17MLV|25CDMG|37LIT|4679VULN|7BPWR|8RPLT|aRCR
189	31625 16322	8	   	242.52	DCR|3VULN|2ASPD|2CDMG|1DUR	17MLV|27CDMG|3DUR|48ASPD|579VULN|6RCR|7BPWR|aCGEN
190	31625 16322	9	   	242.52	DCR|3VULN|2ASPD|2CDMG|1DUR	17MLV|27CDMG|3DUR|48ASPD|579VULN|6RCR|7BPWR|aCGEN
191	32432 53533	6	   	242.52	DCR|3VULN|2ASPD|2CDMG|1TLV	1MLV|2aASPD|3LWND|4CGEN|59aVULN|6RCR|7TLV|8aCDMG|aBPWR
192	33346 41133	1	   	242.51	DCR|3VULN|2DMG|2CDMG	1MLV|2aDMG|3ERES|4CGEN|57aVULN|6DUST|8aCDMG|9RCR|aBPWR
193	11311 22626	8	 * 	242.51	DCR|3VULN|3DUR|1CDMG	1aERES|2CDMG|37aVULN|48aDUR|5DLOT|6BELT|9RCR|aBPWR
194	12226 61115	4	   	242.42	DCR|3VULN|2ASPD|2CDMG|1DUR	1ERES|29ASPD|3ZMB|4CGEN|579VULN|6DUR|89CDMG|9BPWR|aRCR
195	31625 16321	10	   	242.42	DCR|3VULN|2ASPD|2CDMG|1DUR	17MLV|27CDMG|3DUR|48ASPD|579VULN|6RCR|7BPWR|aLEGI
196	31625 16332	8	   	242.42	DCR|3VULN|2ASPD|2CDMG|1DUR	17MLV|27CDMG|3DUR|48ASPD|57aVULN|6RCR|7BPWR|9TBNT
197	32216 61115	4	   	242.42	DCR|3VULN|2ASPD|2CDMG|1DUR	1MLV|29ASPD|3ZMB|4ERES|579VULN|6DUR|89CDMG|9BPWR|aRCR
198	32346 61133	2	   	242.42	DCR|3VULN|2ASPD|2CDMG|1DUR	1MLV|2aASPD|3ERES|4CGEN|57aVULN|6DUR|8aCDMG|9RCR|aBPWR
199	11233 16325	7	   	242.30	DCR|4VULN|2ASPD|1CDMG	17ERES|2CDMG|37ASPD|479aVULN|5LEGI|6RCR|7BPWR|8RPLT
200	11625 16332	8	   	242.22	DCR|3VULN|2ASPD|2CDMG|1DUR	17ERES|27CDMG|3DUR|48ASPD|57aVULN|6RCR|7BPWR|9BBNT
201	36332 32333	8	 * 	242.18	DCR|2VULN|3DUR|1DMG|2CDMG	1MLV|28aDUR|3DMG|4CGEN|5aVULN|6ERES|7aCDMG|9RCR|aBPWR
202	36313 43533	3	   	241.99	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	18aMLV|2DUR|3aDMG|4TLV|5RCVC|6CDMG|7RCR|9aVULN|aBPWR
203	11231 52615	4	   	241.95	DCR|3VULN|1TLV|1DUR|1CDMG|1ASPD	16ERES|2CDMG|3ASPD|456VULN|6BPWR|7ZMB|8DUR|9TLV|aRCR
204	36332 51331	10	   	241.88	DCR|3VULN|1DMG|1DUR|1ASPD|1AART	1MLV|2DUR|3DMG|4CGEN|589VULN|6RCR|7AART|aASPD
205	31231 23425	4	   	241.85	DCR|2VULN|2DUR|1DMG|1CDMG|1ASPD	1MLV|2CDMG|3ASPD|45VULN|6DMG|78DUR|9LIT|aRCR
206	31235 23425	5	   	241.85	DCR|2VULN|2DUR|1DMG|1CDMG|1ASPD	1MLV|2CDMG|3ASPD|45VULN|6DMG|78DUR|9LIT|aRCR
207	31521 23425	1	   	241.85	DCR|2VULN|2DUR|1DMG|1CDMG|1ASPD	1MLV|25VULN|3DMG|4CDMG|6ASPD|78DUR|9LIT|aRCR
208	32512 43323	3	   	241.49	DCR|2VULN|3ASPD|2CDMG|1TLV|1DUR	13MLV|23aASPD|3aBPWR|4CGEN|5DUR|6aCDMG|7RCR|8TLV|9aVULN
209	32522 43323	4	   	241.49	DCR|2VULN|3ASPD|2CDMG|1TLV|1DUR	13MLV|23aASPD|3aBPWR|4CGEN|5DUR|6aCDMG|7RCR|8TLV|9aVULN
210	32532 43323	2	   	241.39	DCR|2VULN|3ASPD|2CDMG|1TLV|1DUR	1MLV|24aASPD|3CGEN|5DUR|6aCDMG|7RCR|8TLV|9aVULN|aBPWR
211	11625 16223	7	   	241.32	DCR|2VULN|3DUR|2CDMG|1ASPD	17ERES|27CDMG|38aDUR|4ASPD|57VULN|6RCR|7BPWR|9LIT
212	31531 16125	1	   	241.15	DCR|4VULN|1DMG|1CDMG	1MLV|2479VULN|3DMG|5BEXP|6MBVNT|8CDMG|aRCR
213	23325 52132	4	   	241.05	DCR|4VULN|1DMG|1CDMG	1DUST|2ZMB|3DMG|456aVULN|7RCR|8CDMG|9BBNT
214	31533 16125	1	   	241.05	DCR|4VULN|1DMG|1CDMG	1MLV|2479VULN|3DMG|5DUST|6MBVNT|8CDMG|aRCR
215	31364 61323	1	   	240.73	DCR|5VULN|1CDMG	1MLV|25679VULN|3CDMG|4LWND|8RPLT|aRCR
216	31364 61323	3	   	240.73	DCR|5VULN|1CDMG	1MLV|2CDMG|35679VULN|4LWND|8RPLT|aRCR
217	11335 65333	7	   	240.63	DCR|5VULN|1CDMG	1ERES|2CDMG|3567aVULN|4MLV|8RCR|9RPLT
218	31625 16323	7	   	240.62	DCR|3VULN|2CDMG|1DUR|1ASPD	17MLV|27CDMG|3DUR|4ASPD|579VULN|6RCR|7BPWR|8DMSP|aLIT
219	11335 65322	7	   	240.53	DCR|5VULN|1CDMG	19ERES|2CDMG|3567aVULN|4MLV|8RCR
220	31625 16133	9	   	240.52	DCR|3VULN|2CDMG|1DUR|1ASPD	17MLV|27CDMG|3DUR|4ASPD|579VULN|6RCR|7BPWR|8DUST|aLIT
221	31552 47434	1	   	240.52	DCR|3VULN|2DMG|1AART	1MLV|249VULN|34DMG|4BPWR|5MBVNT|6LWND|7LIT|8AART|aRCR
222	31215 32436	8	   	240.50	DCR|4VULN|1CDMG|1ASPD	1MLV|2CDMG|3ASPD|4RMIN|5LIT|689aVULN|7RCR
223	32325 32436	8	   	240.50	DCR|4VULN|1CDMG|1ASPD	1MLV|2ASPD|3RMIN|4CDMG|5LIT|689aVULN|7RCR
224	31232 61346	8	   	240.39	DCR|3VULN|2DUR|1CDMG|1ASPD	1MLV|2CDMG|3ASPD|46aVULN|5LHND|78DUR|9RCR
225	31235 21346	8	   	240.39	DCR|3VULN|2DUR|1CDMG|1ASPD	1MLV|2CDMG|3ASPD|45aVULN|6LWND|78DUR|9RCR
226	31312 16146	8	   	240.39	DCR|3VULN|2DUR|1CDMG|1ASPD	1MLV|2CDMG|37aVULN|45DUR|6FEWX|8ASPD|9RCR
227	31312 61146	8	   	240.39	DCR|3VULN|2DUR|1CDMG|1ASPD	1MLV|2CDMG|36aVULN|45DUR|7LWND|8ASPD|9RCR
228	31312 61246	7	   	240.39	DCR|3VULN|2DUR|1CDMG|1ASPD	1MLV|2CDMG|36aVULN|45DUR|7LWND|8ASPD|9RCR
229	11314 35134	6	   	240.32	DCR|3VULN|2CDMG|1DUR|1ASPD	1ERES|28CDMG|379VULN|4DUR|5LIT|6RCR|aASPD
230	11431 34112	1	   	240.32	DCR|3VULN|1DMG|1DUR|1ASPD	13ERES|269VULN|4LIT|5DMG|7DUR|8ASPD|aRCR
231	16131 35112	3	   	240.32	DCR|3VULN|1DMG|1DUR|1ASPD	13ERES|2DUR|4LIT|5DMG|679VULN|8ASPD|aRCR
232	16431 35112	2	   	240.32	DCR|3VULN|1DMG|1DUR|1ASPD	13ERES|2DUR|4LIT|5DMG|679VULN|8ASPD|aRCR
233	11625 16113	9	   	240.32	DCR|3VULN|2CDMG|1DUR|1ASPD	17ERES|27CDMG|3DUR|4ASPD|579VULN|6RCR|7BPWR|8DUST|aLIT
234	31616 13343	5	   	240.26	DCR|2VULN|3DUR|1TLV|1CDMG	1MLV|2CDMG|346DUR|5TLV|7RCR|8aVULN|9LIT
235	16351 15133	2	   	240.22	DCR|2VULN|2DMG|2DUR|1CDMG	1ERES|2aDUR|3CDMG|4CGEN|5aVULN|6MLV|7aDMG|8DMSP|9RCR|aBPWR
236	16621 35133	2	   	240.22	DCR|2VULN|2DMG|2DUR|1CDMG	1ERES|2aDUR|3MLV|4CDMG|5aVULN|6CGEN|7aDMG|8DMSP|9RCR|aBPWR
237	36121 35133	3	   	240.22	DCR|2VULN|2DMG|2DUR|1CDMG	1MLV|2aDUR|3ERES|4CDMG|5aVULN|6CGEN|7aDMG|8DMSP|9RCR|aBPWR
238	36421 35133	2	   	240.22	DCR|2VULN|2DMG|2DUR|1CDMG	1MLV|2aDUR|3ERES|4CDMG|5aVULN|6CGEN|7aDMG|8DMSP|9RCR|aBPWR
239	31412 16125	2	   	240.22	DCR|2VULN|2DMG|2DUR|1CDMG	17MLV|2CDMG|37DMG|4RCVC|5MBVNT|67DUR|7BPWR|89VULN|aRCR
240	36225 33133	9	   	240.14	DCR|3VULN|2DUR|1CDMG|1ASPD|1SELL	1MLV|26DUR|3SELL|4ASPD|57aVULN|8CDMG|9RCR
241	36225 62133	9	   	240.14	DCR|3VULN|2DUR|1CDMG|1ASPD|1SELL	1MLV|27DUR|3SELL|4ASPD|56aVULN|8CDMG|9RCR
242	36351 31243	2	   	240.14	DCR|2VULN|2DUR|2ASPD|1TLV|1CDMG	1MLV|2aDUR|3CDMG|46CGEN|5aVULN|7TLV|8aASPD|9RCR|aBPWR
243	16351 15233	2	   	240.12	DCR|2VULN|2DMG|2DUR|1CDMG	18ERES|2aDUR|3CDMG|4CGEN|5aVULN|6MLV|7aDMG|9RCR|aBPWR
244	16621 35233	2	   	240.12	DCR|2VULN|2DMG|2DUR|1CDMG	18ERES|2aDUR|3MLV|4CDMG|5aVULN|6CGEN|7aDMG|9RCR|aBPWR
245	31531 63412	1	   	240.12	DCR|2VULN|2DMG|2DUR|1CDMG	1MLV|24VULN|37DMG|5BEXP|69DUR|8RCR|aCDMG
246	31552 34215	1	   	240.12	DCR|2VULN|2DMG|2DUR|1CDMG	19MLV|24VULN|34DMG|4BPWR|5MBVNT|6CDMG|78DUR|aRCR
247	36121 35233	3	   	240.12	DCR|2VULN|2DMG|2DUR|1CDMG	1MLV|2aDUR|38ERES|4CDMG|5aVULN|6CGEN|7aDMG|9RCR|aBPWR
248	36421 35233	2	   	240.12	DCR|2VULN|2DMG|2DUR|1CDMG	1MLV|2aDUR|38ERES|4CDMG|5aVULN|6CGEN|7aDMG|9RCR|aBPWR
249	31625 16213	7	   	240.05	DCR|2VULN|2DUR|1DMG|2CDMG|1ASPD	179MLV|27CDMG|38DUR|4ASPD|57VULN|6RCR|7BPWR|aDMG
250	31522 54225	1	   	240.02	DCR|2VULN|2DMG|2DUR|1CDMG	1MLV|29VULN|36DMG|4CDMG|5MBVNT|78DUR|aRCR
251	31562 34225	1	   	240.02	DCR|2VULN|2DMG|2DUR|1CDMG	1MLV|29VULN|34DMG|5MBVNT|6CDMG|78DUR|aRCR
252	31432 14125	2	   	240.02	DCR|2VULN|2DMG|2DUR|1CDMG	1MLV|2CDMG|34DMG|5MBVNT|67DUR|89VULN|aRCR
253	11625 16311	10	   	239.97	DCR|2VULN|2ASPD|2CDMG|1TLV|1DUR	17ERES|27CDMG|3DUR|48ASPD|57VULN|6RCR|7BPWR|9LIT|aTLV
254	11625 16323	9	   	239.97	DCR|2VULN|2ASPD|2CDMG|1TLV|1DUR	17ERES|27CDMG|3DUR|48ASPD|57VULN|6RCR|7BPWR|9TLV|aLIT
255	36132 62232	10	   	239.80	DCR|2VULN|3DUR|2DMG	1MLV|289DUR|3ERES|4CGEN|58VULN|6BEXP|78DMG|8BPWR|aRCR
256	31234 11223	10	   	239.72	DCR|3VULN|2ASPD|1DMG|1CDMG	1MLV|2CDMG|37ASPD|489VULN|5DUST|6RCR|aDMG
257	16425 12113	10	   	239.70	DCR|2VULN|3DUR|2DMG	169ERES|239DUR|4CGEN|56DMG|69BPWR|79VULN|8BELT|aRCR
258	36225 16332	8	 * 	239.58	DCR|2VULN|3ASPD|2DUR|1DMG|1SELL	17MLV|29DUR|3SELL|478ASPD|57VULN|6RCR|7BPWR|aDMG
259	36432 31216	5	 * 	239.37	ACR|4VULN|3DUR|1DMG	1MLV|238DUR|4RCR|5679VULN|aDMG
260	11322 12433	10	   	239.25	DCR|3VULN|1TLV|1DUR|1CDMG	1ERES|2CDMG|39aVULN|4TLV|5BEXP|6RCR|7DUR|8LIT
261	31324 12433	10	   	239.25	DCR|3VULN|1DUR|1TLV|1CDMG	1MLV|2CDMG|39aVULN|4TLV|5DUST|6RCR|7DUR|8LIT
262	11314 36124	8	   	239.22	DCR|3VULN|1DUR|2LIT|1CDMG|1AART	1ERES|2CDMG|38aVULN|4DUR|59LIT|6RCR|7AART
263	11324 12433	10	   	239.15	DCR|3VULN|1TLV|1DUR|1CDMG	1ERES|2CDMG|39aVULN|4TLV|5DUST|6RCR|7DUR|8LIT
264	66137 42432	10	   	239.08	DCR|3VULN|1DMG|1DUR|1AART	1LHND|2LIT|378VULN|4MBVNT|5DUR|6RCR|9DMG|aAART
265	66338 42432	10	   	239.08	DCR|3VULN|1DMG|1DUR|1AART	1LHND|2LIT|3DUR|4MBVNT|578VULN|6RCR|9DMG|aAART
266	31312 33645	9	   	239.04	DCR|3VULN|2DUR|1CDMG|1AART	1MLV|2CDMG|379VULN|45DUR|6CGEN|8AART|aRCR
267	21521 52423	1	   	239.04	DCR|2VULN|2DMG|1TLV|1DUR|1ASPD	1DUST|2BBNT|36DMG|4BELT|56VULN|6BPWR|7DUR|8RCR|9TLV|aASPD
268	33614 61231	1	   	239.04	DCR|2VULN|2DMG|1TLV|1DUR|1ASPD	1MLV|2aDMG|3TBNT|48VULN|5DUR|6TLV|7ASPD|9RCR
269	36352 61231	4	   	239.04	DCR|2VULN|2DMG|1TLV|1DUR|1ASPD	1MLV|2DUR|3aDMG|48VULN|5TBNT|6TLV|7ASPD|9RCR
270	36356 13231	4	   	239.04	DCR|2VULN|2DMG|1TLV|1DUR|1ASPD	1MLV|2DUR|3aDMG|48VULN|5TLV|6ASPD|7TBNT|9RCR
271	36356 21231	4	   	239.04	DCR|2VULN|2DMG|1TLV|1DUR|1ASPD	1MLV|2DUR|3aDMG|48VULN|5TLV|6BBNT|7ASPD|9RCR
272	32213 15214	2	   	239.01	DCR|2VULN|2DMG|2ASPD|1CDMG	18MLV|28ASPD|3RPLT|4aDMG|5LIT|6RCR|78VULN|8BPWR|9CDMG
273	31216 23233	5	   	238.89	DCR|2VULN|3ASPD|1DMG|1TLV|1CDMG	1aMLV|2CDMG|38aASPD|4RMIN|5TLV|6DMG|7RCR|9aVULN|aBPWR
274	12213 15214	2	   	238.81	DCR|2VULN|2DMG|2ASPD|1CDMG	18ERES|28ASPD|3RPLT|4aDMG|5LIT|6RCR|78VULN|8BPWR|9CDMG
275	36332 52225	7	   	238.80	DCR|3VULN|2DMG|1DUR	1MLV|2DUR|37DMG|4CGEN|59aVULN|6RCR|8BEXP
276	22521 32426	8	   	238.80	DCR|3VULN|2DMG|1DUR	18DUST|2LWND|389VULN|4CGEN|5MLV|6RCR|78DMG|8BPWR|aDUR
277	36312 62623	8	   	238.80	DCR|3VULN|2DMG|1DUR	1MLV|2DUR|37DMG|4ZMB|59aVULN|6LHND|8RCR
278	36311 33223	3	   	238.79	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG	1MLV|28DUR|3DMG|4TLV|5BELT|6RCR|79VULN|aCDMG
279	36311 33262	3	   	238.79	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG	1MLV|28DUR|3DMG|4TLV|5BELT|6RCR|7aVULN|9CDMG
280	36511 33223	2	   	238.79	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG	1MLV|28DUR|3DMG|4TLV|5BELT|6RCR|79VULN|aCDMG
281	36511 33262	2	   	238.79	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG	1MLV|28DUR|3DMG|4TLV|5BELT|6RCR|7aVULN|9CDMG
282	22531 32426	8	   	238.70	DCR|3VULN|2DMG|1DUR	18DUST|2LWND|389VULN|4ERES|5MLV|6RCR|78DMG|8BPWR|aDUR
283	31552 73233	1	   	238.70	DCR|3VULN|2DMG|1DUR	1MLV|248VULN|34DMG|4BPWR|5MBVNT|6DUR|7TBNT|9LHND|aRCR
284	36312 32625	8	   	238.70	DCR|3VULN|2DMG|1DUR	1MLV|2DUR|37DMG|4ZMB|59aVULN|6DUST|8RCR
285	36332 52225	8	   	238.70	DCR|3VULN|2DMG|1DUR	1MLV|2DUR|37DMG|4CGEN|59aVULN|6RCR|8LEGI
286	65312 32623	8	   	238.70	DCR|3VULN|2DMG|1TLV	1LHND|2TLV|37DMG|4ZMB|59aVULN|6DUST|8RCR
287	31532 74445	1	   	238.70	DCR|3VULN|2DMG|1DUR	17MLV|248VULN|39DMG|5MBVNT|6DUR|aRCR
288	31536 32314	1	   	238.70	DCR|3VULN|2DMG|1TLV	1MLV|245VULN|37DMG|6ERES|8RPLT|9TLV|aRCR
289	31552 14263	1	   	238.70	DCR|3VULN|2DMG|1DUR	1MLV|247VULN|34DMG|4BPWR|5MBVNT|6RPLT|8DUR|9TBNT|aRCR
290	31552 14273	1	   	238.70	DCR|3VULN|2DMG|1DUR	1MLV|247VULN|34DMG|4BPWR|5MBVNT|6RPLT|8DUR|9BBNT|aRCR
291	31552 73243	1	   	238.60	DCR|3VULN|2DMG|1DUR	1MLV|248VULN|34DMG|4BPWR|5MBVNT|6DUR|7TBNT|9LEGI|aRCR
292	11625 11332	9	   	238.59	DCR|2VULN|3ASPD|1DMG|1DUR|1CDMG	1ERES|2CDMG|3DUR|478ASPD|59VULN|6RCR|aDMG
293	53433 11431	3	   	238.57	DCR|4VULN|2DUR	18LWND|2ZMB|38DUR|468aVULN|5BELT|7RCVC|8BPWR|9RCR
294	23321 61553	10	   	238.51	DCR|4VULN|1DMG|1ASPD	1DUST|2ZMB|3DMG|4689VULN|5RPLT|7ASPD|aRCR
295	31625 16313	9	   	238.51	DCR|2VULN|2DUR|2ASPD|2CDMG	17MLV|27CDMG|3aDUR|48ASPD|57VULN|6RCR|7BPWR|9LIT
296	36311 33222	3	   	238.36	DCR|2VULN|3DUR|1DMG|1TLV	1MLV|28aDUR|3DMG|4TLV|5BELT|6RCR|79VULN
297	36511 33222	2	   	238.36	DCR|2VULN|3DUR|1DMG|1TLV	1MLV|28aDUR|3DMG|4TLV|5BELT|6RCR|79VULN
298	53232 36215	9	   	238.33	DCR|4VULN|2DUR|1SELL	18LWND|2ZMB|3SELL|4678VULN|58DUR|8BPWR|9MLV|aRCR
299	63232 36215	9	   	238.33	DCR|4VULN|2DUR|1SELL	18LHND|2ZMB|3SELL|4678VULN|58DUR|8BPWR|9MLV|aRCR
300	11625 16313	9	   	238.31	DCR|2VULN|2DUR|2ASPD|2CDMG	17ERES|27CDMG|3aDUR|48ASPD|57VULN|6RCR|7BPWR|9LIT
301	11625 16323	8	   	238.31	DCR|2VULN|2DUR|2ASPD|2CDMG	17ERES|27CDMG|3aDUR|48ASPD|57VULN|6RCR|7BPWR|9LIT
302	53232 36235	9	   	238.23	DCR|4VULN|2DUR|1NUKE|1SELL	18LWND|2ZMB|3SELL|4678VULN|58DUR|8BPWR|9NUKE|aRCR
303	63232 36235	9	   	238.23	DCR|4VULN|2DUR|1NUKE|1SELL	18LHND|2ZMB|3SELL|4678VULN|58DUR|8BPWR|9NUKE|aRCR
304	31553 51131	1	   	238.20	DCR|3VULN|3DMG	17MLV|246VULN|347DMG|47BPWR|57DUST|8TBNT|9RCR|aDMSP
305	31553 51132	1	   	238.10	DCR|3VULN|3DMG	17MLV|246VULN|347DMG|47BPWR|57aDUST|8TBNT|9RCR
