0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23232 66326	4	 * 	282.65	DCR|4VULN|2DMG|2ASPD|1TLV	16ASPD|2DUST|3TLV|4567VULN|6BPWR|8aDMG|9RCR
170	13231 33226	3	   	253.28	DCR|3VULN|2DMG|2DUR	1DUST|279VULN|3LWND|4aDMG|58DUR|6RCR
171	13233 34226	3	   	253.28	DCR|3VULN|2DMG|2DUR	1DUST|259VULN|3LWND|4aDMG|6RCR|78DUR
172	13331 34226	2	   	253.28	DCR|3VULN|2DMG|2DUR	1DUST|239VULN|4aDMG|5BEXP|6RCR|78DUR
173	13331 34226	1	   	253.28	DCR|3VULN|2DMG|2DUR	1DUST|239VULN|4aDMG|5BEXP|6RCR|78DUR
174	14331 33226	1	   	253.28	DCR|3VULN|2DMG|2DUR	1DUST|2LWND|379VULN|4aDMG|58DUR|6RCR
175	14331 33226	2	   	253.28	DCR|3VULN|2DMG|2DUR	1DUST|2LWND|379VULN|4aDMG|58DUR|6RCR
176	14333 34226	2	   	253.28	DCR|3VULN|2DMG|2DUR	1DUST|2LWND|359VULN|4aDMG|6RCR|78DUR
177	14333 34226	1	   	253.28	DCR|3VULN|2DMG|2DUR	1DUST|2LWND|359VULN|4aDMG|6RCR|78DUR
178	13334 34226	2	   	253.18	DCR|3VULN|2DMG|2DUR	1DUST|239VULN|4aDMG|5LEGI|6RCR|78DUR
179	13334 34226	1	   	253.18	DCR|3VULN|2DMG|2DUR	1DUST|239VULN|4aDMG|5LEGI|6RCR|78DUR
180	22262 21164	8	   	253.15	DCR|3VULN|2DUR|2ASPD|1TLV|1SELL	19ASPD|2SELL|39DUR|47aVULN|5TLV|6RCR|89MLV|9BPWR
181	22262 21164	7	   	253.15	DCR|3VULN|2DUR|2ASPD|1TLV|1SELL	19ASPD|2SELL|39DUR|47aVULN|5TLV|6RCR|89CGEN|9BPWR
182	22262 21212	10	   	253.15	DCR|3VULN|2DUR|2ASPD|1TLV|1SELL	1aASPD|2SELL|3aDUR|478VULN|5TLV|6RCR|9aZMB|aBPWR
183	22262 21364	7	   	252.95	DCR|3VULN|2DUR|2ASPD|1TLV|1SELL	19ASPD|2SELL|39DUR|47aVULN|5TLV|6RCR|89ERES|9BPWR
184	52111 63251	7	   	252.86	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1AART	18LIT|2BEXP|38DMG|4DUR|5TLV|6RCR|78VULN|8BPWR|9AART|aZMB
185	52111 63252	7	   	252.86	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1AART	18LIT|2BEXP|38DMG|4DUR|5TLV|6RCR|78VULN|8BPWR|9AART|aFEWX
186	52111 63431	7	   	252.86	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1AART	19LIT|2BEXP|39DMG|4DUR|5TLV|6RCR|79VULN|8AART|9BPWR|aZMB
187	52111 63432	7	   	252.86	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1AART	19LIT|2BEXP|39DMG|4DUR|5TLV|6RCR|79VULN|8AART|9BPWR|aFEWX
188	52111 63253	7	   	252.76	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1AART	18LIT|2BEXP|38DMG|4DUR|5TLV|6RCR|78VULN|8BPWR|9AART|aDUST
189	52111 63433	7	   	252.76	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1AART	19LIT|2BEXP|39DMG|4DUR|5TLV|6RCR|79VULN|8AART|9BPWR|aDUST
190	24433 31261	2	   	252.67	DCR|2VULN|3DMG|2ASPD|2CDMG	19ASPD|2RMIN|37VULN|459DMG|69CDMG|8RCR|9BPWR|aZMB
191	24433 31263	2	   	252.67	DCR|2VULN|3DMG|2ASPD|2CDMG	19ASPD|2RMIN|37VULN|459DMG|69CDMG|8RCR|9BPWR|aLWND
192	51111 62261	6	   	252.66	DCR|2VULN|2DMG|1DUR|1TLV|2LIT|1AART	18LIT|2DUST|38DMG|4DUR|5TLV|6MBVNT|78VULN|8BPWR|9AART|aRCR
193	51111 63261	7	   	252.66	DCR|2VULN|2DMG|1DUR|1TLV|2LIT|1AART	18LIT|2DUST|38DMG|4DUR|5TLV|6MBVNT|78VULN|8BPWR|9AART|aRCR
194	51111 62531	6	   	252.66	DCR|2VULN|2DMG|1DUR|1TLV|2LIT|1AART	19LIT|2DUST|39DMG|4DUR|5TLV|6MBVNT|79VULN|8AART|9BPWR|aRCR
195	51111 63531	7	   	252.66	DCR|2VULN|2DMG|1DUR|1TLV|2LIT|1AART	19LIT|2DUST|39DMG|4DUR|5TLV|6MBVNT|79VULN|8AART|9BPWR|aRCR
