0	Index      	Bounty	 *	Score 	Summary	Detail	
51	42213 35332	5	   	252.90	DCR|3VULN|2TLV|2DUR|1CDMG	159VULN|2DUST|39TLV|45LWND|59BPWR|6FEWX|7RCR|89DUR|aCDMG
52	23153 33166	9	   	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	1CDMG|2CGEN|37TLV|48DUR|569VULN|aRCR
53	23153 33336	9	   	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	1CDMG|2CGEN|37TLV|49DUR|568VULN|aRCR
54	23153 33356	8	   	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	1CDMG|2CGEN|37TLV|49DUR|568VULN|aRCR
55	23563 33336	9	   	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	1CDMG|2CGEN|39DUR|47TLV|568VULN|aRCR
56	23462 32132	4	   	252.45	DCR|3VULN|1TLV|3CDMG|1DUR|1AART	19aCDMG|2CGEN|39aVULN|4TLV|5AART|6RCR|7DUR|89aMLV|9aBPWR
57	41231 11164	1	 * 	252.36	DCR|4VULN|2DMG|3LIT|1SELL	139aVULN|234LIT|39BPWR|5LEGI|6RCR|79DMG|8SELL
58	21335 23233	2	   	251.68	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1CDMG|2DUR|3LIT|49VULN|5TLV|6AART|7DMG|8ASPD|aRCR
59	24111 55233	4	   	251.68	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1CDMG|2LIT|3TLV|4DUR|5DMG|69VULN|7AART|8ASPD|aRCR
60	24112 23233	4	   	251.68	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1CDMG|2LIT|3TLV|4DUR|59VULN|6AART|7DMG|8ASPD|aRCR
61	24113 56231	8	   	251.68	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1CDMG|2LIT|3TLV|4DUR|5ASPD|6DMG|7RCR|8AART|9aVULN
62	24152 23233	3	   	251.68	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1CDMG|2LIT|3TLV|4DUR|59VULN|6AART|7DMG|8ASPD|aRCR
63	24335 23233	1	   	251.68	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1CDMG|2DUR|3LIT|49VULN|5TLV|6AART|7DMG|8ASPD|aRCR
64	25365 23233	1	   	251.68	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1CDMG|29VULN|3LIT|4DUR|5TLV|6AART|7DMG|8ASPD|aRCR
65	24111 65233	3	   	251.68	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1CDMG|2LIT|3TLV|49VULN|5DMG|6DUR|7AART|8ASPD|aRCR
66	24113 55123	5	   	251.68	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1CDMG|2LIT|3TLV|4DUR|5ASPD|68VULN|7AART|9DMG|aRCR
67	24115 23233	3	   	251.68	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1CDMG|2LIT|3TLV|49VULN|5DUR|6AART|7DMG|8ASPD|aRCR
68	24111 56123	4	   	251.20	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|2LIT|3TLV|4DUR|5aDMG|68VULN|7RCR|9BBNT
69	24111 66123	3	   	251.20	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|2LIT|3TLV|48VULN|5aDMG|6DUR|7RCR|9BBNT
70	23153 35116	9	   	251.14	DCR|3VULN|2DUR|1TLV|2CDMG	19CDMG|279CGEN|3TLV|48DUR|569VULN|9BPWR|aRCR
71	43331 52434	8	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	138VULN|28CGEN|4TLV|5MBVNT|6BEXP|78DUR|8BPWR|9RCR|aDMG
72	43331 82434	8	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	138VULN|28CGEN|4TLV|5MBVNT|6FEWX|78DUR|8BPWR|9RCR|aDMG
73	43312 14314	3	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	134aVULN|24CGEN|4BPWR|5TLV|6CDMG|7DUR|8BBNT|9RCR
74	43336 62123	10	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	139VULN|2CGEN|4TLV|58DUR|6DMG|7LWND|aRCR
75	43331 72434	8	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	138VULN|28CGEN|4TLV|5MBVNT|6DUST|78DUR|8BPWR|9RCR|aDMG
