0	Index      	 *	Score 	Summary	Detail	
128	33433 13534	   	172.65	ACR|2DMG|1ASPD|1BEXP|1CDMG|1VULN	19DMG|2CGEN|3VULN|4CDMG|5RCR|6aERES|7BEXP|8ASPD
129	32433 23363	   	172.55	ACR|2ASPD|1DMG|1BEXP|1CDMG|1VULN	1DMG|2ERES|3VULN|4CDMG|5RCR|6MDPS|7aASPD|8BEXP|9LEGI
130	33116 13326	   	172.41	DCR|1BASARM|2AART|1ASPD|1DMG|1VULN	1DMG|2CGEN|3ASPD|47AART|5BASARM|6DUST|8VULN|9FEWX|aRCR
131	33433 53226	   	172.33	ACR|2DMG|2VULN|1ASPD|1CDMG	1aDMG|28CGEN|3aVULN|4CDMG|5RCR|6MDPS|7ASPD|9aDUR|aBPWR
132	33433 31115	   	172.23	ACR|2ASPD|2VULN|1DMG|1CDMG	1DMG|27CGEN|38VULN|4CDMG|5RCR|6LIT|9aASPD
133	33433 34115	   	172.23	ACR|2ASPD|2VULN|1DMG|1CDMG	1DMG|2CGEN|38VULN|4CDMG|5RCR|67LIT|9aASPD
134	33433 36335	   	172.23	ACR|2DMG|2VULN|1ASPD|1CDMG	18DMG|2CGEN|39VULN|4CDMG|5RCR|6LIT|7ZMB|aASPD
135	31364 22116	 * 	172.17	DCR|2BASARM|2DMG|1CDMG|1VULN	15DMG|2FEWX|3DUR|45BASARM|5BPWR|6MDPS|7VULN|8RCVC|9CDMG|aRCR
136	33433 35131	 * 	172.13	ACR|2DMG|2VULN|2CDMG|1BEXP	19DMG|2CGEN|38VULN|47CDMG|5RCR|6LIT|aBEXP
137	33433 41531	   	172.13	ACR|2DMG|2VULN|1ASPD|1CDMG	19DMG|2CGEN|36VULN|4CDMG|5RCR|7ZMB|8ASPD|aMSLTOX
138	33433 41532	   	172.13	ACR|2DMG|2VULN|1ASPD|1CDMG	19DMG|2CGEN|36VULN|4CDMG|5RCR|7ZMB|8ASPD|aDUST
139	24316 32432	   	172.13	ACR|2ASPD|2VULN|1DMG|1BEXP	1DUR|2BEXP|3LIT|49VULN|5RCR|67ASPD|8DMG|aERES
140	31353 66231	   	172.13	ACR|2DMG|2VULN|1ASPD|1CDMG	17DMG|2FEWX|3DUR|4TLV|5RCR|6aVULN|8CDMG|9ASPD
141	33433 12335	   	172.13	ACR|2DMG|2VULN|1ASPD|1CDMG	18DMG|2CGEN|39VULN|4CDMG|5RCR|6ERES|7LIT|aASPD
142	35433 31335	   	172.13	ACR|2DMG|2VULN|1ASPD|1CDMG	18DMG|2AME|39VULN|4CDMG|5RCR|6LIT|7CGEN|aASPD
143	31164 22116	   	172.07	DCR|2BASARM|2DMG|1CDMG|1VULN	15DMG|2FEWX|3DUST|45BASARM|5BPWR|6MDPS|7VULN|8RCVC|9CDMG|aRCR
144	32433 23615	   	172.03	ACR|2ASPD|2VULN|1DMG|1CDMG	1DMG|2ERES|38VULN|4CDMG|5RCR|6MDPS|7aASPD|9RMIN
145	32433 23622	   	172.03	ACR|2ASPD|2VULN|1DMG|1CDMG	1DMG|2ERES|38VULN|4CDMG|5RCR|6MDPS|7aASPD|9DUR
146	32433 23642	   	172.03	ACR|2ASPD|2VULN|1DMG|1CDMG	1DMG|2ERES|38VULN|4CDMG|5RCR|6MDPS|7aASPD|9LWND
147	32433 41531	   	172.03	ACR|2DMG|2VULN|1ASPD|1CDMG	19DMG|2ERES|36VULN|4CDMG|5RCR|7ZMB|8ASPD|aMSLTOX
148	32433 41532	   	172.03	ACR|2DMG|2VULN|1ASPD|1CDMG	19DMG|2ERES|36VULN|4CDMG|5RCR|7ZMB|8ASPD|aDUST
149	33433 15531	   	172.03	ACR|2DMG|2VULN|1ASPD|1CDMG	19DMG|2CGEN|37VULN|4CDMG|5RCR|6ERES|8ASPD|aLSRICY
150	33433 15532	   	172.03	ACR|2DMG|2VULN|1ASPD|1CDMG	19DMG|2CGEN|37VULN|4CDMG|5RCR|6ERES|8ASPD|aDUST
151	33433 42531	   	172.03	ACR|2DMG|2VULN|1ASPD|1CDMG	19DMG|2CGEN|36VULN|4CDMG|5RCR|7ERES|8ASPD|aLSRICY
152	33433 42532	   	172.03	ACR|2DMG|2VULN|1ASPD|1CDMG	19DMG|2CGEN|36VULN|4CDMG|5RCR|7ERES|8ASPD|aDUST
