0	Index      	 *	Score 	Summary	Detail	
68	16352 15212	   	168.81	DCR|3VULN|2DMG|1CDMG	19ERES|29DMG|3LIT|4CDMG|579VULN|6RCR|8LEGI|9BPWR|aRCVC
69	16352 15211	   	168.71	DCR|3VULN|2DMG|1CDMG	19ERES|29DMG|3LIT|4CDMG|579VULN|6RCR|8LEGI|9BPWR|aDUST
70	14621 22253	   	168.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2aVULN|3MGNSTR|4DMG|5LIT|6CDMG|7RCR|8AART|9ZMB
71	16321 41111	 * 	168.52	DCR|3VULN|3DMG	189ERES|26aDMG|3LIT|4aFEWX|56aVULN|6aBPWR|7RCR
72	16361 41111	   	168.52	DCR|3VULN|3DMG	189ERES|26aDMG|3LIT|4aBEXP|56aVULN|6aBPWR|7RCR
73	16321 41411	   	168.45	DCR|2VULN|2DMG|1AART|1DUR	1ERES|26DMG|3LIT|4FEWX|56VULN|6BPWR|7RCR|8AART|9LEGI|aDUR
74	16331 41421	   	168.45	DCR|2VULN|2DMG|1AART|1DUR	1ERES|26DMG|3LIT|4DUST|56VULN|6BPWR|7RCR|8AART|9FEWX|aDUR
75	16331 41431	   	168.45	DCR|2VULN|2DMG|1AART|1DUR	1ERES|26DMG|3LIT|4DUST|56VULN|6BPWR|7RCR|8AART|9LHND|aDUR
76	31321 23416	 * 	168.43	DCR|3VULN|1AART|1DMG|2ASPD	18ASPD|2TLV|38BEXP|4AART|568VULN|7MBVNT|8BPWR|9DMG|aRCR
77	22564 21331	 * 	168.42	DCR|2VULN|1AART|2ZMB|1CDMG|2ASPD	1DUST|24ZMB|34VULN|4BPWR|5LIT|6RCR|7aASPD|8AART|9CDMG
78	16331 41411	   	168.35	DCR|2VULN|2DMG|1AART|1DUR	1ERES|26DMG|3LIT|4DUST|56VULN|6BPWR|7RCR|8AART|9LEGI|aDUR
79	16331 41111	   	168.32	DCR|3VULN|3DMG	189ERES|26aDMG|3LIT|4aDUST|56aVULN|6aBPWR|7RCR
80	31243 43521	   	168.21	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ASPD|2TLV|3DMG|4ZMB|5AART|6DUR|7RPLT|8RCR|9aVULN
81	35216 23252	   	168.01	DCR|2VULN|1AART|1DMG|2ASPD|2DUR	14ASPD|2FEWX|3AART|56DUR|78VULN|9RCR|aDMG
82	16321 13462	   	167.95	DCR|2VULN|2DMG|1AART|1ASPD	18ERES|28DMG|3LIT|4FEWX|58VULN|6RPLT|7RCR|8BPWR|9AART|aASPD
83	21621 42316	   	167.92	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	12DUST|39DUR|4AART|5VULN|6RCR|7ZMB|8CDMG|aDMG
84	51121 42316	   	167.92	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	19DUR|23DUST|4AART|5VULN|6RCR|7ZMB|8CDMG|aDMG
85	16331 13462	   	167.85	DCR|2VULN|2DMG|1AART|1ASPD	18ERES|28DMG|3LIT|4DUST|58VULN|6RPLT|7RCR|8BPWR|9AART|aASPD
86	16331 41261	   	167.85	DCR|2VULN|2DMG|1AART|1DUR	1ERES|26DMG|3LIT|4DUST|56VULN|6BPWR|7RCR|8FEWX|9AART|aDUR
87	52211 42433	 * 	167.81	DCR|1AART|1VULN|2ZMB|1CDMG|1FLTHEA|1ASPD|1DUR	1DUR|2RMIN|3AART|4ASPD|5VULN|6RCR|7aZMB|8CDMG|9FLTHEA
88	62133 34421	 * 	167.68	DCR|3DMG|2VULN|2ZMB|1SELL	18LWND|2RMIN|3SELL|49aDMG|58ZMB|68VULN|7RCR|8BPWR
89	33323 22355	 * 	167.48	DCR|2DMG|1AART|2CDMG|2ASPD|1ZMB	19ASPD|2BELT|3FEWX|49DMG|5ZMB|6LIT|7RCR|89CDMG|9BPWR|aAART
90	22134 34422	 * 	167.48	DCR|3DMG|2VULN|2ZMB|1SELL	18DUST|2aZMB|3SELL|489DMG|5RMIN|68VULN|7RCR|8BPWR
