0	Index      	 *	Score 	Summary	Detail	
81	31626 53122	   	198.02	ACR|1BASARM|1ASPD|1DMG|1AART	1AEMAG|2RCR|3DMSP|4AART|5ASPD|6BASARM|7RMIN|8LWND|9DMG|aLIT
82	31626 53123	   	198.02	ACR|1BASARM|1ASPD|1DMG|1AART	1AEMAG|2RCR|3DMSP|4AART|5ASPD|6BASARM|7RMIN|8LWND|9DMG|aRPLT
83	31626 53222	   	198.02	ACR|1BASARM|1ASPD|1DMG|1AART	1AEMAG|2RCR|3DMSP|4AART|5ASPD|6BASARM|7RMIN|8DUR|9DMG|aLIT
84	31626 53223	   	198.02	ACR|1BASARM|1ASPD|1DMG|1AART	1AEMAG|2RCR|3DMSP|4AART|5ASPD|6BASARM|7RMIN|8DUR|9DMG|aRPLT
85	31125 14522	   	197.99	ACR|1BASARM|3VULN|1BEXP|1AAC	1AEMAG|2RCR|389VULN|4DUST|5AAC|6LWND|7BASARM|aBEXP
86	31162 34521	   	197.99	ACR|1BASARM|3VULN|1BEXP|1AAC	1AEMAG|2RCR|389VULN|4BEXP|5RMIN|6DUST|7BASARM|aAAC
87	31533 34522	   	197.99	ACR|1BASARM|3VULN|1BEXP|1AAC	1AEMAG|2RCR|3FEWX|4AAC|589VULN|6DUST|7BASARM|aBEXP
88	31626 51212	   	197.92	ACR|1BASARM|1ASPD|1DMG|1AART	1AEMAG|2RCR|3DMSP|4AART|5ASPD|6BASARM|79LHND|8DMG|aAME
89	31626 51232	   	197.92	ACR|1BASARM|1ASPD|1DMG|1AART	1AEMAG|2RCR|3DMSP|4AART|5ASPD|6BASARM|7LHND|8DMG|9ERES|aLIT
90	31626 51233	   	197.92	ACR|1BASARM|1ASPD|1DMG|1AART	1AEMAG|2RCR|3DMSP|4AART|5ASPD|6BASARM|7LHND|8DMG|9ERES|aRPLT
91	31162 34335	   	197.82	ACR|1BASARM|2VULN|1ASPD|1BEXP	1AEMAG|2RCR|3aVULN|4BEXP|5RMIN|6DUST|7BASARM|8RPLT|9ASPD
