0	Index      	 *	Score 	Summary	Detail	
70	12644 11131	   	209.43	ACR|2ASPD|2VULN|1BASICY|1BEXP|1AART|1CDMG	15TLV|26VULN|3RCR|46ASPD|6BPWR|7AART|8BASICY|9CDMG|aBEXP
71	15263 62322	   	209.20	ACR|2DMG|2BEXP|2VULN|1AART|1CDMG	1TLV|2RCR|37DMG|46BEXP|5CDMG|89VULN|aAART
72	15236 24313	   	209.19	ACR|1BASARM|2DMG|1BEXP|1CDMG	17TLV|2RCR|37DMG|4ERES|5BEXP|67LHND|7BPWR|8BASARM|9CDMG|aFEWX
73	15236 24323	   	209.19	ACR|1BASARM|2DMG|1BEXP|1CDMG	17TLV|2RCR|37DMG|4ERES|5BEXP|67LHND|7BPWR|8BASARM|9FEWX|aCDMG
74	15112 62353	   	209.19	ACR|1BASARM|2DMG|1BEXP|1CDMG	1TLV|2RCR|3BEXP|46FEWX|5CGEN|79DMG|8BASARM|aCDMG
75	15332 62353	   	209.19	ACR|1BASARM|2DMG|1BEXP|1CDMG	1TLV|2RCR|36FEWX|4BEXP|5CGEN|79DMG|8BASARM|aCDMG
76	15236 24311	   	209.09	ACR|1BASARM|2DMG|1BEXP|1CDMG	17TLV|2RCR|37DMG|4ERES|5BEXP|67LHND|7BPWR|8BASARM|9CDMG|aAEFBLL
77	15316 12353	   	209.09	ACR|1BASARM|2DMG|1BEXP|1CDMG	1TLV|2RCR|34FEWX|5BEXP|6ERES|79DMG|8BASARM|aCDMG
78	15316 22353	   	209.09	ACR|1BASARM|2DMG|1BEXP|1CDMG	1TLV|2RCR|34FEWX|5BEXP|6AME|79DMG|8BASARM|aCDMG
79	15116 12353	   	208.99	ACR|1BASARM|2DMG|1BEXP|1CDMG	15TLV|2RCR|3BEXP|4FEWX|6ERES|79DMG|8BASARM|aCDMG
80	15116 22353	   	208.99	ACR|1BASARM|2DMG|1BEXP|1CDMG	15TLV|2RCR|3BEXP|4FEWX|6AME|79DMG|8BASARM|aCDMG
81	15336 12353	   	208.99	ACR|1BASARM|2DMG|1BEXP|1CDMG	15TLV|2RCR|3FEWX|4BEXP|6ERES|79DMG|8BASARM|aCDMG
82	15336 22353	   	208.99	ACR|1BASARM|2DMG|1BEXP|1CDMG	15TLV|2RCR|3FEWX|4BEXP|6AME|79DMG|8BASARM|aCDMG
83	15222 12241	   	208.90	ACR|1BASARM|2DMG|1ASPD	1TLV|2RCR|35DMG|4CGEN|6DUR|7LHND|8ASPD|9BASARM|aVULN
84	15222 16141	   	208.90	ACR|1BASARM|2DMG|1ASPD	1TLV|2RCR|35DMG|4CGEN|6DUR|7ASPD|8FEWX|9BASARM|aVULN
85	15222 22241	   	208.90	ACR|1BASARM|2DMG|1ASPD	1TLV|2RCR|35DMG|4CGEN|6FEWX|7LHND|8ASPD|9BASARM|aVULN
86	15222 26341	   	208.90	ACR|1BASARM|2DMG|1ASPD	1TLV|2RCR|35DMG|4CGEN|6FEWX|7ASPD|8LHND|9BASARM|aVULN
87	45222 12241	   	208.90	ACR|1BASARM|2DMG|1ASPD	1AME|2RCR|35DMG|4CGEN|6DUR|7LHND|8ASPD|9BASARM|aVULN
88	45222 22241	   	208.90	ACR|1BASARM|2DMG|1ASPD	1AME|2RCR|35DMG|4CGEN|6FEWX|7LHND|8ASPD|9BASARM|aVULN
89	15233 24241	   	208.90	ACR|1BASARM|2DMG|1ASPD	17TLV|2RCR|37DMG|4ERES|5DUR|67LHND|7BPWR|8ASPD|9BASARM|aVULN
