0	Index      	 *	Score 	Summary	Detail	
97	52213 23353	   	225.31	ACR|1BASARM|1VULN|2BEXP|1ASPD|1AART	1MLV|2ASPD|3RCR|4VULN|5AART|6FEWX|7BASARM|89BEXP|aLHND
98	54213 23351	 * 	225.31	ACR|1BASARM|1VULN|2BEXP|1DMG|1AART	1MLV|2DMG|3RCR|4VULN|5AART|6FEWX|7BASARM|89BEXP|aLWND
99	54213 23352	   	225.31	ACR|1BASARM|1VULN|2BEXP|1DMG|1AART	1MLV|2DMG|3RCR|4VULN|5AART|6FEWX|7BASARM|89BEXP|aRMIN
100	54213 23353	   	225.31	ACR|1BASARM|1VULN|2BEXP|1DMG|1AART	1MLV|2DMG|3RCR|4VULN|5AART|6FEWX|7BASARM|89BEXP|aLHND
101	52213 23355	   	225.21	ACR|1BASARM|1VULN|2BEXP|1ASPD|1AART	1MLV|2ASPD|3RCR|4VULN|5AART|6FEWX|7BASARM|89BEXP|aMDPS
102	52213 23341	   	225.12	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1CDMG	1MLV|2ASPD|3RCR|4VULN|5AART|6FEWX|7BASARM|8BEXP|9BELT|aCDMG
103	54213 23341	   	225.12	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1MLV|2DMG|3RCR|4VULN|5AART|6FEWX|7BASARM|8BEXP|9BELT|aCDMG
104	52213 23422	 * 	225.10	ACR|1BASARM|2VULN|1ASPD|1AART|1CDMG	1MLV|2ASPD|3RCR|4aVULN|5AART|6FEWX|7BASARM|8LIT|9CDMG
105	54213 23422	 * 	225.10	ACR|1BASARM|2VULN|1DMG|1AART|1CDMG	1MLV|2DMG|3RCR|4aVULN|5AART|6FEWX|7BASARM|8LIT|9CDMG
106	52266 13212	   	224.54	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP|1CDMG	1MLV|2ASPD|3RCR|4CDMG|5LIT|6ZMB|7BEXP|8BASARM|9VULN|aDMG
107	14221 61214	   	224.44	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1ASPD|2DMG|3RCR|4AME|5LIT|6DUR|7CDMG|8BASARM|9VULN|aBEXP
108	14231 61214	   	224.44	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1ASPD|2DMG|3RCR|4TLV|5LIT|6LHND|7CDMG|8BASARM|9VULN|aBEXP
109	14261 22353	   	224.44	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP|1CDMG	1ASPD|2DMG|3RCR|4CDMG|5DUST|6BEXP|7CGEN|8BASARM|9LWND|aVULN
110	14261 22363	   	224.44	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP|1CDMG	1ASPD|2DMG|3RCR|4CDMG|5DUST|6BEXP|7CGEN|8BASARM|9RPLT|aVULN
111	14266 33211	   	224.44	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1ASPD|2DMG|3RCR|4CDMG|5LIT|6TLV|7BEXP|8BASARM|9VULN|aRPLT
112	14266 33222	   	224.44	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP|1CDMG	1ASPD|2DMG|3RCR|4CDMG|5LIT|6TLV|7BEXP|8BASARM|9MLV|aVULN
113	11266 33212	   	224.44	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP|1CDMG	1ASPD|2ZMB|3RCR|4CDMG|5LIT|6TLV|7BEXP|8BASARM|9VULN|aDMG
114	14264 22322	   	224.36	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1ASPD|2aDMG|3RCR|4CDMG|5FEWX|6BEXP|7CGEN|8BASARM|9LIT
115	14264 22331	   	224.36	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1ASPD|29DMG|3RCR|4CDMG|5FEWX|6BEXP|7CGEN|8BASARM|aDUR
116	14264 22332	   	224.36	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1ASPD|29DMG|3RCR|4CDMG|5FEWX|6BEXP|7CGEN|8BASARM|aLWND
117	14264 22333	   	224.36	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1ASPD|29DMG|3RCR|4CDMG|5FEWX|6BEXP|7CGEN|8BASARM|aZMB
118	11264 22333	   	224.36	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1ASPD|2ZMB|3RCR|4CDMG|5FEWX|6BEXP|7CGEN|8BASARM|9aDMG
119	11265 35333	   	224.36	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1ASPD|2ZMB|3RCR|4CDMG|5CGEN|6LHND|7BEXP|8BASARM|9aDMG
120	11265 42333	   	224.36	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1ASPD|2ZMB|3RCR|4CDMG|5CGEN|6BEXP|7LWND|8BASARM|9aDMG
