0	Index      	 *	Score 	Summary	Detail	
62	11612 14523	   	176.00	ACR|3DMG|1VULN|2CDMG|1ZMB|1DUR	19CDMG|2RMIN|3RCR|478DMG|5DUR|6ZMB|aVULN
63	14225 21332	 * 	175.77	DCR|3DMG|3CDMG|1AART|2ASPD	13aCDMG|23aDMG|3aBPWR|47LWND|5ERES|6AART|8aASPD|9RCR
64	14211 45311	   	175.58	DCR|3DMG|1VULN|2CDMG|1ZMB|1DUR	13CDMG|238DMG|3BPWR|4TLV|5DUR|6RCR|7VULN|9FEWX|aZMB
65	14242 12511	   	175.33	DCR|3DMG|2VULN|2CDMG	13CDMG|234DMG|3BPWR|5CGEN|6RCR|7FEWX|8aVULN|9BELT
66	14216 42222	 * 	175.23	DCR|3VULN|2DMG|2CDMG	13CDMG|23DMG|3BPWR|4TLV|5BEXP|6RCR|7LIT|89aVULN
67	14216 42223	   	175.23	DCR|3DMG|2VULN|2CDMG	13CDMG|23aDMG|3BPWR|4TLV|5BEXP|6RCR|7LIT|89VULN
68	32352 33151	   	174.70	ACR|3VULN|1AART|1DMG|1ZMB	1LWND|2AART|3FEWX|4RCR|5ZMB|6BEXP|7DMG|89aVULN
69	13326 14151	   	174.65	ACR|3DMG|2VULN|2CDMG	1aCDMG|2RCVC|37aDMG|4LWND|5RCR|6LHND|8MBVNT|9aVULN|aBPWR
70	12326 14241	   	174.45	ACR|3DMG|2VULN|2CDMG	1aCDMG|2LWND|3RCVC|47aDMG|5RCR|6LHND|8FEWX|9aVULN|aBPWR
71	21343 11512	   	174.42	DCR|2AART|2DMG|1VULN|1CDMG	1LIT|2DLOT|35AART|4LWND|6RCR|79DMG|8CDMG|aVULN
72	14236 33533	 * 	174.38	DCR|2VULN|2DMG|1AART|2CDMG	13CDMG|23DMG|3BPWR|46VULN|5MLV|7LWND|8AART|9DUST|aRCR
73	14211 23461	 * 	174.37	DCR|3DMG|2AART|2CDMG|1DUR	13CDMG|238DMG|3BPWR|4TLV|5DUR|67AART|9RCR|aRMIN
74	14211 23462	   	174.37	DCR|3DMG|2AART|2CDMG|1DUR	13CDMG|238DMG|3BPWR|4TLV|5DUR|67AART|9RCR|aFEWX
75	14211 23463	   	174.37	DCR|3DMG|2AART|2CDMG|1DUR	13CDMG|238DMG|3BPWR|4TLV|5DUR|67AART|9RCR|aRPLT
76	32125 26531	   	174.29	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1LWND|2AART|36DMG|4BEXP|5ASPD|7aVULN|8DUR|9RCR
