0	Index      	 *	Score 	Summary	Detail	
105	33331 35265	   	184.76	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|2DUR	14DUR|2AART|34ASPD|4BPWR|5CDMG|69DMG|7VULN|8RCR|aLIT
106	33331 35266	   	184.76	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|2DUR	14DUR|2AART|34ASPD|4BPWR|5CDMG|69DMG|7VULN|8RCR|aFEWX
107	33331 35231	   	184.66	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|2DUR	14DUR|2AART|34ASPD|4BPWR|5CDMG|6DMG|7aVULN|8RCR|9ERES
108	33331 35261	   	184.66	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|2DUR	14DUR|2AART|34ASPD|4BPWR|5CDMG|69DMG|7VULN|8RCR|aMBVNT
109	33331 35264	   	184.66	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|2DUR	14DUR|2AART|34ASPD|4BPWR|5CDMG|69DMG|7VULN|8RCR|aDUST
110	44124 13254	   	184.61	DCR|3DMG|2VULN|1AART|1DUR	135DMG|2MBVNT|45VULN|5BPWR|6DUR|7RCR|8FEWX|9RCVC|aAART
111	31331 35262	   	184.06	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|2DUR	12DUR|3AART|4aASPD|5CDMG|69DMG|7VULN|8RCR
112	32331 35262	   	184.06	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|2DUR	12DUR|2BPWR|3AART|4aASPD|5CDMG|69DMG|7VULN|8RCR
113	31331 35253	   	184.06	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|2DUR	12DUR|3AART|49ASPD|5CDMG|6DMG|7aVULN|8RCR
114	32331 35253	   	184.06	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|2DUR	12DUR|2BPWR|3AART|49ASPD|5CDMG|6DMG|7aVULN|8RCR
115	43122 12146	   	183.97	DCR|3VULN|1AART|1DMG|1FLTHEA|1ASPD	1DMG|2AART|347VULN|5FLTHEA|6RCVC|8RCR|9LWND|aASPD
116	43122 33356	   	183.77	DCR|3VULN|1AART|1DMG|1FLTHEA|1ASPD	1DMG|2AART|349VULN|5FLTHEA|6CGEN|7RCR|8TLV|aASPD
117	44124 13462	   	183.61	DCR|3DMG|2VULN|1AART|1DUR	135DMG|2MBVNT|45VULN|5BPWR|6DUR|7RCR|8CGEN|9AART|aLIT
118	44124 13162	   	183.51	DCR|3DMG|2VULN|1AART|1DUR	135DMG|2MBVNT|45VULN|5BPWR|6DUR|7RCR|8ERES|9AART|aLIT
119	44124 13463	   	183.51	DCR|3DMG|2VULN|1AART|1DUR	135DMG|2MBVNT|45VULN|5BPWR|6DUR|7RCR|8CGEN|9AART|aDUST
120	43144 41381	   	183.43	DCR|3AART|2DMG|2VULN	18DMG|279AART|38VULN|4MBVNT|58CGEN|6RCR|8BPWR|aBEXP
121	43144 41382	   	183.43	DCR|3AART|2VULN|2DMG	18DMG|279AART|38VULN|4MBVNT|58CGEN|6RCR|8BPWR|aMLV
122	43144 41383	   	183.43	DCR|3AART|2DMG|2VULN	18DMG|279AART|38VULN|4MBVNT|58aCGEN|6RCR|8BPWR
123	44124 13163	   	183.41	DCR|3DMG|2VULN|1AART|1DUR	135DMG|2MBVNT|45VULN|5BPWR|6DUR|7RCR|8ERES|9AART|aDUST
124	43144 42311	   	183.37	DCR|3VULN|2DMG|1AART	18DMG|2AART|38aVULN|4MBVNT|578CGEN|6RCR|8BPWR|9FEWX
125	43144 42371	   	183.37	DCR|3VULN|2DMG|1AART	18DMG|2AART|389VULN|4MBVNT|578CGEN|6RCR|8BPWR|aLHND
126	43144 42372	   	183.37	DCR|3VULN|2DMG|1AART	18DMG|2AART|389VULN|4MBVNT|578CGEN|6RCR|8BPWR|aDMSP
127	43144 42373	   	183.37	DCR|3VULN|2DMG|1AART	18DMG|2AART|389VULN|4MBVNT|578CGEN|6RCR|8BPWR|aFEWX
128	43144 41384	   	183.33	DCR|3AART|2DMG|2VULN	18DMG|279AART|38VULN|4MBVNT|58CGEN|6RCR|8BPWR|aDUST
