0	Index      	 *	Score 	Summary	Detail	
85	21115 34343	   	182.63	ACR|4VULN|1AART|1CDMG|1DUR	1AART|2RCVC|359aVULN|4RCR|6LHND|7DUR|8CDMG
86	24112 21433	   	182.59	ACR|3DMG|2AART|1VULN|1DUR	13AART|2DUR|4RCR|5MGNSTR|6VULN|78aDMG|9LEGI
87	21115 42135	   	182.43	ACR|3VULN|1AART|1DMG|1ZMB|3RCVC	1AART|26aRCVC|357VULN|4RCR|8ZMB|9DMG
88	22152 61236	 * 	182.21	DCR|4VULN|1AART|2ZMB|1DUR	1AART|2CGEN|359aVULN|45ZMB|5BPWR|6RCR|7LWND|8DUR
89	22152 63236	   	182.21	DCR|4VULN|1AART|2ZMB|1DUR	1AART|2CGEN|359aVULN|45ZMB|5BPWR|6RCR|7FEWX|8DUR
90	21111 56362	   	182.10	ACR|4VULN|1AART|1DMG	1AART|2RCVC|368aVULN|4RCR|5FEWX|7BEXP|9DMG
91	21115 21362	   	182.10	ACR|4VULN|1AART|1DMG	1AART|2RCVC|358aVULN|4RCR|6BEXP|7LWND|9DMG
92	21115 23362	   	182.10	ACR|4VULN|1AART|1DMG	1AART|2RCVC|358aVULN|4RCR|6BEXP|7FEWX|9DMG
93	21112 23463	   	181.90	ACR|4VULN|1AART|1DMG	1AART|2RCVC|3689VULN|4RCR|5LSRREG|7DUST|aDMG
94	21112 41363	   	181.90	ACR|4VULN|1AART|1DMG	1AART|2RCVC|389aVULN|4RCR|5LSRREG|6DUST|7DMG
95	22632 21142	 * 	181.88	DCR|2DMG|1AART|3ZMB|1CDMG|1DUR|1ASPD	1AART|27CGEN|37DMG|4CDMG|5ASPD|67aZMB|7BPWR|8RCR|9DUR
96	22152 64311	   	181.76	DCR|3VULN|1AART|2ZMB|1CDMG|1DUR	1AART|2CGEN|359VULN|45ZMB|5BPWR|6RCR|7DUR|8CDMG|aFEWX
97	22152 64312	   	181.76	DCR|3VULN|1AART|2ZMB|1CDMG|1DUR	1AART|2aCGEN|359VULN|45ZMB|5BPWR|6RCR|7DUR|8CDMG
98	22152 64313	   	181.76	DCR|3VULN|1AART|2ZMB|1CDMG|1DUR	1AART|2CGEN|359VULN|45ZMB|5BPWR|6RCR|7DUR|8CDMG|aLHND
99	21315 32443	   	181.74	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	16AART|2RCVC|3LWND|4RCR|57VULN|8ZMB|9ASPD|aDMG
100	21315 32553	   	181.74	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	16AART|2RCVC|3LWND|4RCR|57VULN|8DMG|9ZMB|aASPD
101	21312 21366	   	181.65	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCVC|3LWND|4RCR|5MGNSTR|689VULN|7DMG|aCDMG
102	21316 21413	   	181.65	ACR|3DMG|1AART|1VULN|1FLTHEA	1AART|2RCVC|3LWND|4RCR|5FLTHEA|6VULN|78aDMG|9BEXP
103	21316 21443	   	181.65	ACR|3DMG|1AART|1VULN|1FLTHEA	1AART|2RCVC|3LWND|4RCR|5FLTHEA|6VULN|78aDMG|9FEWX
104	22121 21353	   	181.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2CGEN|35VULN|4BEXP|6CDMG|7aDMG|8DUR|9RCR
105	21112 62366	   	181.55	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCVC|389VULN|4RCR|5LSRREG|6DMG|7LHND|aCDMG
106	21316 21361	   	181.55	ACR|3VULN|1AART|1DMG|1FLTHEA	1AART|2RCVC|3LWND|4RCR|5FLTHEA|689VULN|7DMG|aDUST
107	21316 21362	   	181.55	ACR|3VULN|1AART|1DMG|1FLTHEA	1AART|2RCVC|3LWND|4RCR|5FLTHEA|689VULN|7DMG|aTLV
108	21316 21363	   	181.55	ACR|3VULN|1AART|1DMG|1FLTHEA	1AART|2RCVC|3LWND|4RCR|5FLTHEA|689VULN|7DMG|aAIRHEL
109	21316 21365	   	181.55	ACR|3VULN|1AART|1DMG|1FLTHEA	1AART|2RCVC|3LWND|4RCR|5FLTHEA|689VULN|7DMG|aERES
110	22632 21132	 * 	181.47	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG|1ASPD	1AART|27CGEN|37DMG|4CDMG|5ASPD|67ZMB|7BPWR|8RCR|9LIT|aVULN
111	21112 41366	   	181.45	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCVC|389VULN|4RCR|5LSRREG|6DUST|7DMG|aCDMG
112	26131 25213	   	181.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|27ERES|3aVULN|4CDMG|56DMG|8DUR|9RCR
